Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3109-01-00	중급회계(1)	3	김종태	화7,8,9	경영103	80	117	72 (Y)	0	8	40	32	O	24	1	24	15.68
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	Y	N	0.8968	0.8888	4	O	 
2	24	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
3	24	Y (Y)	6	N	Y	0.5674	0.9722	3	O	 
4	24	Y (Y)	6	N	Y	0.5277	0.8888	3	O	 
5	24	Y (Y)	6	N	Y	0.5185	0.7894	3	O	 
6	24	Y (Y)	6	N	Y	0.4880	0.9722	2	O	 
7	24	Y (Y)	6	N	N	0.4523	0.6666	3	O	 
8	24	Y (Y)	5	N	Y	0.5793	1.0000	3	O	 
9	24	Y (Y)	4	Y	N	0.9603	1.0000	4	O	 
10	24	Y (Y)	4	N	Y	1.0000	1.0000	4	O	 
11	24	Y (Y)	4	N	Y	0.5595	1.0000	3	O	 
12	24	Y (Y)	4	N	Y	0.5555	1.0000	3	O	 
13	24	Y (Y)	3	Y	N	0.9761	0.8333	4	O	 
14	24	Y (Y)	3	N	Y	0.8333	0.8333	4	O	 
15	24	Y (Y)	3	N	Y	0.7301	1.0000	3	O	 
16	24	Y (Y)	2	N	N	0.9603	0.5000	4	O	 
17	24	Y (Y)	1	Y	N	1.0000	0.8333	4	O	 
18	24	N (N)	6	Y	Y	0.9523	0.3333	4	O	 
19	24	N (N)	6	N	Y	0.7851	0.8421	4	O	 
20	24	N (N)	6	N	Y	0.6428	0.9444	3	O	 
21	24	N (N)	6	N	Y	0.6031	1.0000	3	O	 
22	24	N (N)	6	N	Y	0.5873	1.0000	3	O	 
23	24	N (N)	6	N	N	0.7777	0.8333	4	O	 
24	24	N (N)	5	N	Y	0.8095	0.8333	4	O	 
25	24	N (N)	5	N	Y	0.4365	0.7222	2	O	 
26	24	N (N)	4	Y	Y	0.9126	1.0000	4	X	 
27	24	N (N)	4	N	Y	0.6592	0.9473	4	X	 
28	24	N (N)	4	N	Y	0.5317	0.8333	3	X	 
29	22	Y (Y)	6	N	Y	0.8472	0.8333	4	O	 
30	22	Y (Y)	5	N	Y	0.5158	1.0000	3	O	 
31	21	Y (Y)	4	N	N	0.8015	0.6666	4	O	* 
32	21	Y (Y)	6	N	Y	0.6904	0.6666	3	O	 
33	20	Y (Y)	6	Y	Y	0.9047	0.8333	4	O	 
34	20	Y (Y)	6	N	Y	0.7599	1.0000	4	O	 
35	20	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
36	20	Y (Y)	6	N	Y	0.5555	0.8888	3	O	 
37	20	Y (Y)	6	N	Y	0.5396	0.6944	3	O	 
38	20	Y (Y)	6	N	Y	0.5238	0.8888	3	O	 
39	20	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
40	20	Y (Y)	6	N	N	0.8253	1.0000	3	O	 
41	20	N (N)	5	N	Y	0.3571	1.0000	2	X	 
42	19	Y (Y)	6	Y	Y	0.8730	0.6666	4	O	 
43	19	Y (Y)	6	N	Y	0.8015	0.9444	4	O	 
44	19	Y (Y)	6	N	Y	0.7619	0.8333	4	O	 
45	19	Y (Y)	6	N	Y	0.7301	0.6666	3	O	 
46	18	Y (Y)	6	N	Y	0.5000	0.9444	3	O	 
47	18	Y (Y)	6	N	N	0.8412	1.0000	4	O	 
48	18	Y (Y)	5	N	Y	0.6825	1.0000	3	O	 
49	18	Y (Y)	4	N	Y	0.5952	0.8888	3	O	 
50	18	Y (Y)	4	N	N	0.8253	0.8333	4	O	 
51	18	N (N)	5	N	Y	0.5396	1.0000	3	X	 
52	17	Y (Y)	6	N	Y	0.5317	0.9444	3	O	 
53	17	Y (Y)	6	N	Y	0.4682	0.8333	3	O	 
54	17	Y (Y)	6	N	Y	0.4603	0.6666	3	O	 
55	17	Y (Y)	6	N	N	0.6825	1.0000	3	O	 
56	17	Y (Y)	5	N	Y	0.7837	1.0000	4	O	 
57	17	Y (Y)	5	N	Y	0.4920	0.8333	3	O	 
58	17	N (N)	6	N	Y	0.4814	0.7894	3	X	 
59	16	Y (Y)	6	N	Y	0.7301	0.5000	3	O	 
