Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3120-01-00	투자론	3	한재훈	월3,4,수4	경영B101	48	52	43 (Y)	0	0	24	24	10	24	1	24	15.27
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	N	Y	0.7500	0.8750	4	O	교환학생 
2	24	Y (Y)	5	N	Y	0.6666	0.9444	3	O	 
3	24	Y (Y)	4	Y	Y	0.8809	1.0000	4	O	 
4	24	Y (Y)	4	N	Y	0.7500	0.8750	4	O	교환학생 
5	24	Y (Y)	4	N	Y	0.7460	1.0000	3	O	 
6	24	Y (Y)	4	N	Y	0.5000	0.8750	3	O	교환학생 
7	24	Y (Y)	3	Y	Y	1.0000	0.3333	4	O	 
8	24	N (N)	6	Y	Y	0.9126	0.8333	4	O	 
9	24	N (N)	6	N	Y	0.8730	0.8333	4	O	 
10	24	N (N)	6	N	Y	0.4920	0.8333	3	O	 
11	22	Y (Y)	5	N	Y	0.8650	1.0000	4	O	 
12	22	Y (Y)	5	N	Y	0.8412	0.8333	4	O	 
13	22	Y (Y)	5	N	Y	0.7500	0.8750	4	O	교환학생 
14	20	Y (Y)	6	N	Y	0.6984	0.8333	3	O	 
15	20	Y (Y)	6	N	Y	0.4841	0.6666	3	O	 
16	20	Y (Y)	5	N	Y	0.5000	0.8750	3	O	교환학생 
17	20	Y (Y)	5	N	Y	0.5000	0.8750	3	O	교환학생 
18	20	Y (Y)	3	N	Y	0.7500	0.8750	4	X	교환학생 
19	17	Y (Y)	6	Y	N	0.9285	1.0000	4	O	 
20	17	Y (Y)	6	Y	N	0.8571	1.0000	4	O	 
21	17	Y (Y)	6	N	Y	0.9047	1.0000	4	O	 
22	17	Y (Y)	5	N	Y	0.7698	1.0000	4	O	 
23	16	Y (Y)	5	N	Y	0.7142	1.0000	3	O	 
24	15	Y (Y)	6	N	Y	0.9777	1.0000	4	O	 
25	15	Y (Y)	6	N	Y	0.7619	0.8055	3	O	 
26	15	Y (Y)	6	N	Y	0.7222	1.0000	3	O	 
27	15	Y (Y)	6	N	Y	0.5873	0.8333	3	O	 
28	15	Y (Y)	5	N	Y	0.5000	0.8750	3	X	교환학생 
29	15	Y (Y)	4	N	Y	0.7500	0.8750	4	X	교환학생 
30	14	Y (Y)	6	N	Y	0.7301	0.8888	3	O	 
31	14	Y (Y)	6	N	Y	0.6746	1.0000	4	O	 
32	14	Y (Y)	6	N	Y	0.4007	1.0000	3	O	 
33	14	Y (Y)	5	Y	Y	0.9365	0.5000	4	O	 
34	14	N (N)	5	N	Y	0.7500	0.8750	4	X	교환학생 
35	12	Y (Y)	6	N	Y	0.8571	1.0000	4	O	 
36	12	Y (Y)	6	N	Y	0.7936	1.0000	4	O	 
37	12	Y (Y)	6	N	Y	0.7539	1.0000	4	O	 
38	12	Y (Y)	6	N	Y	0.5000	0.8750	3	X	교환학생 
39	12	N (N)	6	N	Y	0.6666	1.0000	3	O	 
40	10	Y (Y)	6	N	Y	0.7202	1.0000	3	O	 
41	10	Y (Y)	6	N	Y	0.5238	0.8055	3	O	 
42	6	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
43	5	Y (Y)	6	N	Y	0.8174	1.0000	4	O	 
44	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
45	1	Y (Y)	6	N	Y	0.7301	0.8333	4	O	 
46	1	N (N)	6	Y	Y	0.9603	1.0000	4	O	 
47	1	N (N)	6	Y	Y	0.9047	0.5000	4	X	 
48	1	N (N)	5	N	Y	0.5000	0.6666	3	X	 
0	12	Y (Y)	6	N	Y	0.0000	0.8750	4	O	*교환학생 
0	12	Y (Y)	6	N	Y	0.0000	0.8750	3	O	*교환학생 
0	12	Y (Y)	6	N	Y	0.0000	0.8750	3	O	*교환학생 
0	12	Y (Y)	6	N	Y	0.0000	0.8750	3	O	*교환학생 
