Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3129-01-00	유통경로론	3	오세조	목5,6,7	경영103	65	61	59 (Y)	0	0	33	32	O	24	1	24	10.77
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	N	Y	0.7851	0.9473	4	O	 
2	24	Y (Y)	6	N	Y	0.6428	1.0000	4	O	 
3	24	Y (Y)	5	Y	N	0.9761	0.0000	4	O	 
4	24	Y (Y)	3	Y	Y	1.0000	0.7894	4	O	 
5	24	Y (Y)	3	Y	Y	0.9481	0.7894	4	O	 
6	24	Y (Y)	3	N	Y	0.7380	0.3333	4	O	 
7	24	N (N)	6	Y	Y	0.9777	1.0000	4	O	 
8	24	N (N)	4	N	Y	0.8809	0.6666	4	O	 
9	21	Y (Y)	6	N	Y	0.6746	0.8333	3	O	 
10	20	Y (Y)	6	N	Y	0.8412	0.8333	4	O	 
11	20	Y (Y)	6	N	Y	0.7857	1.0000	4	O	 
12	20	N (N)	5	N	Y	0.9111	0.8333	4	O	 
13	16	Y (Y)	6	N	Y	0.5990	0.7894	3	O	 
14	15	Y (Y)	6	N	Y	0.7619	0.8333	4	O	 
15	15	N (N)	6	N	Y	0.8968	0.8333	4	O	 
16	14	Y (Y)	6	Y	Y	0.8174	1.0000	4	O	 
17	14	Y (Y)	6	N	Y	0.7222	0.6666	4	O	 
18	13	Y (Y)	6	N	Y	0.8333	0.9444	4	O	 
19	13	Y (Y)	6	N	Y	0.8253	1.0000	4	O	 
20	13	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
21	13	Y (Y)	6	N	Y	0.7142	0.8333	3	O	 
22	13	Y (Y)	6	N	Y	0.6349	0.8333	3	O	 
23	12	Y (Y)	6	Y	Y	0.9523	1.0000	4	O	 
24	12	Y (Y)	6	Y	Y	0.9365	0.6666	4	O	 
25	12	Y (Y)	6	Y	Y	0.9285	0.9444	4	O	 
26	12	Y (Y)	6	N	Y	0.8412	1.0000	4	O	 
27	12	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
28	12	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
29	12	Y (Y)	6	N	Y	0.6587	1.0000	4	O	 
30	11	Y (Y)	6	Y	Y	0.9407	0.6315	4	O	 
31	11	N (N)	5	N	Y	0.7341	0.8888	3	O	 
32	10	Y (Y)	6	Y	Y	0.9285	1.0000	4	O	 
33	10	Y (Y)	6	N	Y	0.8492	0.8888	4	O	 
34	10	N (N)	6	Y	Y	0.9111	1.0000	4	O	 
35	9	Y (Y)	6	Y	Y	0.9206	0.8333	4	O	 
36	9	Y (Y)	6	Y	Y	0.8809	0.6666	4	O	 
37	9	Y (Y)	5	N	Y	0.8174	0.8333	4	O	 
38	8	Y (Y)	6	N	Y	0.7407	0.7894	4	O	 
39	8	Y (Y)	6	N	Y	0.6428	0.8333	3	O	 
40	8	N (N)	6	Y	Y	1.0000	0.4736	4	X	 
41	6	Y (Y)	6	N	Y	0.8769	1.0000	4	X	 
42	6	Y (Y)	6	N	Y	0.6666	0.7777	3	O	 
43	6	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
44	6	Y (Y)	5	Y	Y	1.0000	1.0000	4	X	 
45	5	Y (Y)	6	N	Y	0.8015	0.8333	4	X	 
46	5	Y (Y)	6	N	Y	0.6984	0.8333	3	O	 
47	5	Y (Y)	6	N	Y	0.5555	0.8611	3	O	 
48	3	Y (Y)	6	N	Y	0.7857	1.0000	4	X	 
49	2	Y (Y)	6	Y	Y	0.9523	1.0000	4	X	 
50	2	Y (Y)	6	N	Y	0.6666	0.8333	3	O	 
51	2	Y (Y)	5	Y	Y	0.8888	0.8333	4	X	 
52	1	Y (Y)	6	Y	Y	1.0000	0.9473	4	X	 
53	1	Y (Y)	6	Y	Y	1.0000	0.5000	4	X	 
54	1	Y (Y)	6	Y	Y	0.8730	0.8333	4	X	 
55	1	Y (Y)	6	Y	Y	0.8650	0.8333	4	X	 
56	1	Y (Y)	6	N	Y	0.9206	1.0000	4	X	 
57	1	Y (Y)	6	N	Y	0.9126	1.0000	4	X	 
58	1	Y (Y)	6	N	Y	0.9126	0.8333	4	X	 
59	1	Y (Y)	6	N	Y	0.7619	1.0000	4	X	 
60	1	Y (Y)	6	N	Y	0.7202	1.0000	3	O	 
61	1	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
