Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3147-07-00	전략경영	3	김지현	월3,4,수4	경영101	48	90	48 (Y)	0	0	19	29	6	12	1	12	11.11
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	Y	Y	0.8492	0.6666	4	O	 
2	12	Y (Y)	6	Y	Y	0.8333	1.0000	4	O	 
3	12	Y (Y)	6	Y	Y	0.7619	1.0000	4	O	 
4	12	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
5	12	Y (Y)	6	N	Y	0.9603	0.6666	4	O	 
6	12	Y (Y)	6	N	Y	0.9583	0.8333	4	O	 
7	12	Y (Y)	6	N	Y	0.8412	0.6666	4	O	 
8	12	Y (Y)	6	N	Y	0.8313	1.0000	4	O	 
9	12	Y (Y)	6	N	Y	0.8095	1.0000	4	O	 
10	12	Y (Y)	6	N	Y	0.8095	0.6666	4	O	 
11	12	Y (Y)	6	N	Y	0.8015	0.6666	4	O	 
12	12	Y (Y)	6	N	Y	0.7916	0.9444	4	O	 
13	12	Y (Y)	6	N	Y	0.7698	1.0000	4	O	 
14	12	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
15	12	Y (Y)	6	N	Y	0.7519	1.0000	4	O	 
16	12	Y (Y)	6	N	Y	0.7500	0.8750	4	O	교환학생 
17	12	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
18	12	Y (Y)	6	N	Y	0.7460	0.8333	4	O	 
19	12	Y (Y)	6	N	Y	0.7301	0.8333	4	O	 
20	12	Y (Y)	6	N	Y	0.7301	0.8333	3	O	 
21	12	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
22	12	Y (Y)	6	N	Y	0.6904	0.8333	4	O	 
23	12	Y (Y)	6	N	Y	0.6904	0.5000	4	O	 
24	12	Y (Y)	6	N	Y	0.6746	0.8333	3	O	 
25	12	Y (Y)	6	N	Y	0.6746	0.6666	3	O	 
26	12	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
27	12	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
28	12	Y (Y)	6	N	Y	0.6587	0.8333	3	O	 
29	12	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
30	12	Y (Y)	6	N	Y	0.6408	1.0000	3	O	 
31	12	Y (Y)	6	N	Y	0.6388	1.0000	3	O	 
32	12	Y (Y)	6	N	Y	0.6361	0.8421	3	O	 
33	12	Y (Y)	6	N	Y	0.6349	1.0000	3	O	 
34	12	Y (Y)	6	N	Y	0.6349	0.6666	3	O	 
35	12	Y (Y)	6	N	Y	0.6269	0.8333	3	O	 
36	12	Y (Y)	6	N	Y	0.6269	0.8333	3	O	 
37	12	Y (Y)	6	N	Y	0.6190	0.9166	3	O	 
38	12	Y (Y)	6	N	Y	0.6051	1.0000	3	O	 
39	12	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
40	12	Y (Y)	6	N	Y	0.6031	1.0000	3	O	 
41	12	Y (Y)	6	N	Y	0.6031	0.8333	3	X	 
42	12	Y (Y)	6	N	Y	0.5873	1.0000	3	X	 
43	12	Y (Y)	6	N	Y	0.5793	1.0000	3	X	 
44	12	Y (Y)	6	N	Y	0.5714	1.0000	3	X	 
45	12	Y (Y)	6	N	Y	0.5714	0.6944	3	X	 
46	12	Y (Y)	6	N	Y	0.5674	0.8611	3	X	 
47	12	Y (Y)	6	N	Y	0.5634	1.0000	3	X	 
48	12	Y (Y)	6	N	Y	0.5634	0.8333	3	X	 
49	12	Y (Y)	6	N	Y	0.5595	1.0000	3	X	 
50	12	Y (Y)	6	N	Y	0.5595	0.8333	3	X	 
51	12	Y (Y)	6	N	Y	0.5555	1.0000	3	X	 
52	12	Y (Y)	6	N	Y	0.5515	0.6666	3	X	 
53	12	Y (Y)	6	N	Y	0.5317	1.0000	3	X	 
54	12	Y (Y)	6	N	Y	0.5317	1.0000	3	X	 
55	12	Y (Y)	6	N	Y	0.5317	0.8888	3	X	 
56	12	Y (Y)	6	N	Y	0.5317	0.8333	3	X	 
57	12	Y (Y)	6	N	Y	0.5238	1.0000	3	X	 
58	12	Y (Y)	6	N	Y	0.5238	0.9166	3	X	 
