Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ3189-06-00	경영정보시스템	3	김승현	수7,금7,8	경영101	52	104	0 (Y)	0	0	36	16	5	12	1	12	11.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	Y	Y	0.8492	0.6666	4	O	 
2	12	Y (Y)	6	Y	N	0.8095	0.5000	4	O	 
3	12	Y (Y)	6	N	Y	0.8869	1.0000	4	O	 
4	12	Y (Y)	6	N	Y	0.8650	1.0000	4	O	 
5	12	Y (Y)	6	N	Y	0.8571	0.8333	4	O	 
6	12	Y (Y)	6	N	Y	0.8313	1.0000	4	O	 
7	12	Y (Y)	6	N	Y	0.8074	1.0000	4	O	 
8	12	Y (Y)	6	N	Y	0.8015	0.6666	4	O	 
9	12	Y (Y)	6	N	Y	0.7936	0.8333	4	O	 
10	12	Y (Y)	6	N	Y	0.7698	1.0000	4	O	 
11	12	Y (Y)	6	N	Y	0.7539	0.6666	4	O	 
12	12	Y (Y)	6	N	Y	0.7222	1.0000	4	O	 
13	12	Y (Y)	6	N	Y	0.6962	0.8947	3	O	 
14	12	Y (Y)	6	N	Y	0.6904	0.6666	3	O	 
15	12	Y (Y)	6	N	Y	0.6825	0.8333	3	O	 
16	12	Y (Y)	6	N	Y	0.6746	0.6666	3	O	 
17	12	Y (Y)	6	N	Y	0.6657	0.9473	3	O	 
18	12	Y (Y)	6	N	Y	0.6587	1.0000	3	O	 
19	12	Y (Y)	6	N	Y	0.6547	0.8333	3	O	 
20	12	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
21	12	Y (Y)	6	N	Y	0.6428	0.8888	3	O	 
22	12	Y (Y)	6	N	Y	0.6428	0.8333	3	O	 
23	12	Y (Y)	6	N	Y	0.6349	0.7777	3	O	 
24	12	Y (Y)	6	N	Y	0.6349	0.6666	3	O	 
25	12	Y (Y)	6	N	Y	0.6296	1.0000	3	O	 
26	12	Y (Y)	6	N	Y	0.6269	0.8333	3	O	 
27	12	Y (Y)	6	N	Y	0.6269	0.6666	3	O	 
28	12	Y (Y)	6	N	Y	0.6269	0.6666	4	O	 
29	12	Y (Y)	6	N	Y	0.6190	0.8888	3	O	 
30	12	Y (Y)	6	N	Y	0.6031	0.8333	3	O	 
31	12	Y (Y)	6	N	Y	0.5952	0.6666	3	O	 
32	12	Y (Y)	6	N	Y	0.5912	0.8333	3	O	 
33	12	Y (Y)	6	N	Y	0.5892	0.9166	3	O	 
34	12	Y (Y)	6	N	Y	0.5892	0.8611	3	O	 
35	12	Y (Y)	6	N	Y	0.5873	1.0000	3	O	 
36	12	Y (Y)	6	N	Y	0.5873	1.0000	3	O	 
37	12	Y (Y)	6	N	Y	0.5813	1.0000	3	O	 
38	12	Y (Y)	6	N	Y	0.5813	0.9722	3	O	 
39	12	Y (Y)	6	N	Y	0.5793	0.6666	3	O	 
40	12	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
41	12	Y (Y)	6	N	Y	0.5714	0.7222	3	O	 
42	12	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
43	12	Y (Y)	6	N	Y	0.5634	0.6666	3	O	 
44	12	Y (Y)	6	N	Y	0.5629	0.8157	3	O	 
45	12	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
46	12	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
47	12	Y (Y)	6	N	Y	0.5481	0.7894	3	O	 
48	12	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
49	12	Y (Y)	6	N	Y	0.5476	0.9722	3	O	 
50	12	Y (Y)	6	N	Y	0.5476	0.8055	3	X	 
51	12	Y (Y)	6	N	Y	0.5476	0.5000	3	X	 
52	12	Y (Y)	6	N	Y	0.5436	1.0000	3	X	 
53	12	Y (Y)	6	N	Y	0.5436	0.8888	3	X	 
54	12	Y (Y)	6	N	Y	0.5407	0.8157	3	X	 
55	12	Y (Y)	6	N	Y	0.5396	0.9166	3	X	 
56	12	Y (Y)	6	N	Y	0.5317	1.0000	3	X	 
57	12	Y (Y)	6	N	Y	0.5317	0.8333	3	X	 
58	12	Y (Y)	6	N	Y	0.5277	0.8611	3	X	 
59	12	Y (Y)	6	N	Y	0.5238	1.0000	3	X	 
60	12	Y (Y)	6	N	Y	0.5238	0.9166	3	X	 
61	12	Y (Y)	6	N	Y	0.5238	0.8611	3	X	 
62	12	Y (Y)	6	N	Y	0.5238	0.8333	3	X	 
63	12	Y (Y)	6	N	Y	0.5158	1.0000	3	X	 
64	12	Y (Y)	6	N	Y	0.5158	1.0000	3	X	 
65	12	Y (Y)	6	N	Y	0.5079	1.0000	3	X	 
66	12	Y (Y)	6	N	Y	0.5079	0.8611	3	X	 
67	12	Y (Y)	6	N	Y	0.5000	0.9444	3	X	 
68	12	Y (Y)	6	N	Y	0.5000	0.8333	3	X	 
69	12	Y (Y)	6	N	Y	0.5000	0.8333	3	X	 
70	12	Y (Y)	6	N	Y	0.4841	1.0000	3	X	 
71	12	Y (Y)	6	N	Y	0.4841	0.8333	3	X	 
72	12	Y (Y)	6	N	Y	0.4761	0.8611	3	X	 
73	12	Y (Y)	6	N	Y	0.4523	0.8333	3	X	 
74	12	Y (Y)	6	N	Y	0.4206	1.0000	3	X	 
75	12	Y (Y)	6	N	N	0.8730	1.0000	4	O	 
76	12	Y (Y)	6	N	N	0.7301	0.8333	4	O	 
77	12	Y (Y)	5	N	Y	0.9682	0.8333	4	O	 
78	12	Y (Y)	5	N	Y	0.8472	1.0000	4	X	 
79	12	Y (Y)	5	N	Y	0.6329	1.0000	3	X	 
80	12	Y (Y)	5	N	Y	0.5793	1.0000	3	X	 
81	12	Y (Y)	5	N	Y	0.5793	1.0000	3	X	 
82	12	Y (Y)	5	N	Y	0.5634	0.9444	3	X	 
83	12	Y (Y)	5	N	Y	0.5000	0.8750	3	X	 
84	12	Y (Y)	5	N	Y	0.5000	0.8333	3	X	 
85	12	Y (Y)	5	N	Y	0.4920	0.8333	3	X	 
86	12	Y (Y)	3	N	Y	0.5000	0.8750	3	O	교환학생 
87	12	N (N)	6	N	Y	0.8174	0.9444	4	X	 
88	12	N (N)	6	N	Y	0.7380	0.8333	4	X	 
89	12	N (N)	6	N	Y	0.5476	0.8611	3	X	 
90	12	N (N)	6	N	Y	0.5175	1.0000	3	X	 
91	12	N (N)	4	N	Y	0.5000	0.8750	3	O	교환학생 
92	11	Y (Y)	6	N	Y	0.7500	0.8750	4	O	교환학생 
93	10	Y (Y)	6	N	Y	0.9285	1.0000	4	X	 
94	10	Y (Y)	6	N	Y	0.5238	1.0000	3	X	 
95	10	Y (Y)	6	N	Y	0.5119	0.8611	3	X	 
96	10	N (N)	6	N	Y	0.9407	0.9473	4	X	 
97	9	Y (Y)	6	N	Y	0.4047	0.8333	3	X	 
98	7	Y (Y)	6	Y	Y	0.8968	0.6666	4	X	 
99	5	Y (Y)	6	N	Y	0.7857	0.6666	4	X	 
