Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BIZ4157-01-00	연경리더스포럼	3	엄영호,양정미	화8,9,10	경영103	54	71	49 (Y)	0	0	27	27	O	24	1	24	13.89
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	Y (Y)	6	Y	Y	1.0000	0.1111	4	O	 
2	24	Y (Y)	6	Y	Y	0.9523	0.1666	4	O	 
3	24	Y (Y)	6	Y	Y	0.9259	0.9473	4	O	 
4	24	Y (Y)	6	Y	Y	0.8968	1.0000	4	O	 
5	24	Y (Y)	6	N	Y	1.0000	0.8333	4	O	 
6	24	Y (Y)	6	N	Y	0.7851	1.0000	4	O	 
7	24	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
8	24	Y (Y)	6	N	Y	0.6746	0.8333	4	O	 
9	24	Y (Y)	5	Y	Y	0.8888	0.8333	4	O	 
10	24	Y (Y)	4	Y	Y	0.9285	0.6666	4	O	 
11	24	Y (Y)	4	N	Y	0.9365	0.8333	4	O	 
12	24	Y (Y)	4	N	Y	0.9206	0.8333	4	O	 
13	24	Y (Y)	4	N	Y	0.6150	0.6944	3	O	 
14	24	Y (Y)	3	Y	Y	1.0000	0.5000	4	O	 
15	24	Y (Y)	3	Y	Y	1.0000	0.3333	4	O	 
16	24	Y (Y)	3	Y	Y	0.9603	0.0000	4	O	 
17	24	Y (Y)	3	Y	Y	0.9523	1.0000	4	O	 
18	24	Y (Y)	3	Y	Y	0.9285	0.1666	4	O	 
19	24	Y (Y)	2	Y	Y	1.0000	1.0000	4	O	 
20	24	N (N)	5	Y	Y	0.9603	1.0000	4	O	 
21	23	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
22	23	Y (Y)	6	N	Y	0.5515	0.9166	3	O	 
23	22	Y (Y)	6	Y	Y	0.9642	0.8888	4	O	 
24	22	Y (Y)	6	Y	Y	0.8571	1.0000	4	O	 
25	22	Y (Y)	6	Y	Y	0.8412	1.0000	4	O	 
26	22	Y (Y)	5	Y	Y	0.9444	0.8333	4	O	 
27	21	N (N)	5	N	Y	0.8888	1.0000	4	O	 
28	20	Y (Y)	6	Y	Y	1.0000	0.7222	4	O	 
29	20	Y (Y)	6	Y	Y	0.9047	0.8888	4	O	 
30	20	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
31	18	Y (Y)	5	N	Y	0.6190	0.6666	3	O	 
32	17	Y (Y)	6	Y	Y	0.9186	0.8333	4	X	 
33	16	Y (Y)	6	N	Y	0.8296	0.9473	4	X	 
34	16	Y (Y)	6	N	Y	0.6984	1.0000	3	O	 
35	15	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
36	15	Y (Y)	6	Y	Y	0.8968	0.8333	4	X	 
37	12	Y (Y)	6	Y	Y	1.0000	0.9473	4	X	 
38	12	Y (Y)	6	N	Y	0.7857	1.0000	4	X	 
39	12	Y (Y)	6	N	Y	0.7380	1.0000	3	O	 
40	11	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
41	11	Y (Y)	5	N	Y	0.8968	0.6666	4	X	 
42	10	Y (Y)	6	Y	Y	0.8095	0.8333	4	X	 
43	10	Y (Y)	6	N	Y	0.8571	0.8333	4	X	 
44	10	Y (Y)	6	N	Y	0.7698	1.0000	4	X	 
45	10	Y (Y)	6	N	Y	0.7142	0.8333	4	X	 
46	10	Y (Y)	6	N	Y	0.4444	0.8333	3	O	 
47	10	Y (Y)	5	N	Y	0.6904	0.9444	3	O	 
48	9	Y (Y)	6	Y	Y	1.0000	0.1666	4	X	 
49	9	Y (Y)	6	N	Y	0.7063	1.0000	4	X	 
50	8	Y (Y)	6	N	Y	0.6746	1.0000	3	O	 
51	7	Y (Y)	6	N	Y	0.7936	1.0000	4	X	 
52	6	Y (Y)	6	N	Y	0.7000	0.8947	3	O	 
53	5	Y (Y)	6	Y	Y	0.9285	0.9444	4	X	 
54	5	Y (Y)	6	N	Y	0.8333	1.0000	4	X	 
55	5	Y (Y)	6	N	Y	0.8015	0.8333	4	X	 
56	5	Y (Y)	6	N	Y	0.6666	0.7777	3	O	 
57	2	Y (Y)	6	Y	Y	0.8888	0.6666	4	X	 
58	2	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
59	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
60	1	Y (Y)	6	Y	Y	1.0000	0.8333	4	X	 
61	1	Y (Y)	6	Y	Y	1.0000	0.7894	4	X	 
62	1	Y (Y)	6	Y	Y	1.0000	0.1666	4	X	 
63	1	Y (Y)	6	Y	Y	0.9603	0.1666	4	X	 
64	1	Y (Y)	6	Y	Y	0.9206	0.8333	4	X	 
65	1	Y (Y)	6	Y	Y	0.9047	0.0555	4	X	 
66	1	Y (Y)	6	N	Y	1.0000	0.6666	4	X	 
67	1	Y (Y)	6	N	Y	0.9047	0.6666	4	X	 
68	1	Y (Y)	6	N	Y	0.7619	1.0000	4	X	 
69	1	Y (Y)	6	N	Y	0.6666	0.8333	3	O	 
70	1	Y (Y)	5	Y	Y	1.0000	1.0000	4	X	 
71	1	N (N)	6	Y	Y	1.0000	0.5000	4	X	 
