Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BTE2200-01-00	유기화학(1)	3	한균희	월3/목5,6	공A528/공A505	60	44	0 (N)	0	0	0	0	O	36	1	30	5.84
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	30	N (N)	3	N	Y	0.2500	0.9722	2	O	 
2	17	Y (Y)	6	N	N	0.5428	0.9736	3	O	 
3	16	N (N)	5	N	Y	0.2500	0.9375	2	O	 
4	13	Y (Y)	6	N	Y	0.3035	0.5000	2	O	 
5	11	Y (Y)	5	N	N	0.5285	0.8421	3	O	 
6	11	N (N)	6	N	Y	0.5000	0.7894	3	O	 
7	10	Y (Y)	6	N	Y	0.2714	0.9736	2	O	 
8	10	Y (Y)	6	N	N	0.5142	0.7105	3	O	 
9	10	Y (Y)	6	N	N	0.5071	1.0000	3	O	 
10	10	Y (Y)	6	N	N	0.3571	0.8157	2	O	 
11	10	Y (Y)	5	N	Y	0.5928	0.6842	3	O	 
12	9	Y (Y)	6	N	N	0.7428	0.9473	4	O	 
13	8	Y (Y)	6	N	Y	0.2571	1.0000	2	O	 
14	6	Y (Y)	6	N	Y	0.2535	0.8157	2	O	 
15	6	Y (Y)	6	N	N	0.8000	1.0000	4	O	 
16	6	Y (Y)	6	N	N	0.5000	0.7894	3	O	 
17	6	Y (Y)	5	N	Y	0.4500	1.0000	3	O	 
18	5	Y (Y)	6	N	Y	0.3857	1.0000	2	O	 
19	5	Y (Y)	6	N	Y	0.2714	0.8947	2	O	 
20	5	Y (Y)	6	N	Y	0.1892	0.7105	2	O	 
21	5	Y (Y)	6	N	N	0.4785	0.9473	3	O	 
22	4	Y (Y)	6	N	Y	0.3071	1.0000	2	O	 
23	4	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
24	4	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
25	4	Y (Y)	6	N	Y	0.2500	0.7894	2	O	 
26	4	N (N)	6	N	Y	0.9500	0.5833	4	O	 
27	3	Y (Y)	6	N	Y	0.1785	0.6315	2	O	 
28	3	Y (Y)	5	N	Y	0.2857	0.8947	2	O	 
29	2	Y (Y)	6	N	Y	0.6928	0.9473	4	O	 
30	2	Y (Y)	6	N	Y	0.3000	1.0000	2	O	 
31	2	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
32	2	Y (Y)	6	N	Y	0.2714	1.0000	2	O	 
33	2	Y (Y)	6	N	Y	0.2571	1.0000	2	O	 
34	2	Y (Y)	6	N	Y	0.2107	0.7105	2	O	 
35	1	Y (Y)	6	N	Y	0.3928	0.8684	3	O	 
36	1	Y (Y)	6	N	Y	0.3071	0.9473	2	O	 
37	1	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
38	1	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
39	1	Y (Y)	6	N	Y	0.2642	0.9473	2	O	 
40	1	Y (Y)	6	N	Y	0.2214	0.7631	2	O	 
41	1	Y (Y)	6	N	Y	0.1892	0.6578	2	O	 
42	1	Y (Y)	6	N	N	0.7642	1.0000	4	O	 
43	1	Y (Y)	6	N	N	0.4964	0.9736	3	O	 
44	1	Y (Y)	6	N	N	0.4142	0.7105	3	O	 
