Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
BTE3404-01-00	식품생물재료공학	3	박지용	화7,8,목3	공B001	50	43	0 (N)	0	0	0	0	O	36	1	20	5.02
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	N (N)	6	N	Y	0.8392	1.0000	4	O	 
2	15	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
3	14	Y (Y)	6	N	Y	0.5714	0.7894	3	O	 
4	12	Y (Y)	6	N	Y	0.6928	0.9473	4	O	 
5	10	Y (Y)	6	N	Y	0.6142	1.0000	3	O	 
6	10	Y (Y)	4	Y	Y	0.9500	0.7894	4	O	 
7	9	Y (Y)	6	N	Y	0.5285	0.8421	3	O	 
8	7	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
9	7	Y (Y)	6	N	Y	0.5642	0.9736	3	O	 
10	7	Y (Y)	6	N	Y	0.4678	1.0000	2	O	 
11	6	Y (N)	6	Y	Y	0.8814	0.7894	4	O	 
12	6	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
13	6	Y (N)	5	N	Y	0.7259	0.8333	3	O	 
14	5	Y (N)	6	Y	Y	0.9285	0.8333	4	O	 
15	5	Y (Y)	6	N	Y	0.7428	1.0000	3	O	 
16	5	Y (Y)	6	N	Y	0.6857	0.9473	3	O	 
17	5	Y (Y)	6	N	Y	0.6642	1.0000	3	O	 
18	5	Y (Y)	6	N	Y	0.6571	0.8947	3	O	 
19	5	Y (Y)	5	N	Y	0.4750	1.0000	3	O	 
20	5	N (N)	6	N	Y	0.6150	0.7894	3	O	 
21	4	Y (Y)	6	N	Y	0.6714	0.8947	3	O	 
22	4	Y (Y)	6	N	Y	0.5392	1.0000	2	O	 
23	4	Y (Y)	6	N	Y	0.4035	0.8684	2	O	 
24	4	Y (Y)	6	N	Y	0.3678	0.9210	2	O	 
25	3	Y (Y)	6	N	Y	0.6928	0.9736	3	O	 
26	3	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
27	3	Y (Y)	6	N	Y	0.4250	1.0000	2	O	 
28	3	Y (Y)	6	N	Y	0.4250	0.8684	2	O	 
29	3	Y (Y)	5	N	Y	0.8000	0.8947	4	O	 
30	2	Y (Y)	6	N	Y	0.6500	0.6315	4	O	 
31	2	Y (Y)	6	N	Y	0.6428	0.8421	3	O	 
32	2	Y (Y)	6	N	Y	0.6142	0.7894	3	O	 
33	2	Y (Y)	6	N	Y	0.4964	0.7105	3	O	 
34	2	Y (Y)	6	N	Y	0.4714	1.0000	3	O	 
35	2	Y (Y)	6	N	Y	0.4250	1.0000	2	O	 
36	2	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
37	1	Y (Y)	6	Y	Y	1.0000	0.5263	4	O	 
38	1	Y (Y)	6	Y	Y	0.8571	0.4736	4	O	 
39	1	Y (Y)	6	Y	Y	0.8500	0.9473	4	O	 
40	1	Y (Y)	6	N	Y	0.7285	0.9473	3	O	 
41	1	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
42	1	Y (Y)	6	N	Y	0.6642	0.8947	3	O	 
43	1	Y (Y)	6	N	Y	0.4678	0.9736	3	O	 
