Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CEE4413-01-00	건설환경공학세미나	3	임윤묵	수9,10,11	공A685	40	59	0 (N)	0	0	0	0	O	36	1	36	11.83
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	4	Y	Y	0.9142	0.7894	4	O	 
2	35	Y (Y)	2	Y	Y	0.9642	0.3157	4	O	 
3	33	Y (Y)	6	Y	Y	0.9500	0.7894	4	O	 
4	33	Y (Y)	5	Y	Y	0.9357	0.7894	4	O	 
5	32	Y (Y)	6	N	Y	0.6214	0.8421	3	O	 
6	29	Y (Y)	3	Y	Y	0.9285	0.3157	4	O	 
7	28	Y (Y)	6	Y	Y	0.9142	0.9473	4	O	 
8	26	Y (Y)	5	N	Y	0.8535	1.0000	4	O	 
9	25	Y (Y)	5	Y	Y	0.9142	0.9473	4	O	 
10	21	Y (Y)	6	N	Y	0.7214	0.7894	3	O	 
11	21	Y (Y)	6	N	Y	0.6928	0.9473	4	O	 
12	20	Y (Y)	6	N	Y	0.7500	0.9473	4	O	 
13	18	Y (Y)	6	N	Y	0.7285	1.0000	4	O	 
14	16	Y (Y)	6	N	Y	0.7071	0.9473	4	O	 
15	15	Y (Y)	6	Y	Y	0.9500	0.9473	4	O	 
16	15	Y (Y)	5	Y	Y	0.9000	0.9473	4	O	 
17	15	Y (Y)	5	N	Y	0.8357	0.0000	4	O	 
18	15	Y (Y)	4	N	Y	0.8571	0.9473	4	O	 
19	15	Y (Y)	4	N	Y	0.7500	1.0000	4	O	 
20	14	Y (Y)	6	N	Y	0.8357	0.9473	4	O	 
21	13	Y (Y)	5	N	Y	0.4357	0.7894	3	O	 
22	12	Y (Y)	6	N	Y	0.8142	0.7894	4	O	 
23	12	Y (Y)	6	N	Y	0.7857	0.9473	4	O	 
24	12	Y (Y)	6	N	Y	0.6785	1.0000	3	O	 
25	11	Y (Y)	6	Y	Y	0.8857	0.9473	4	O	 
26	11	Y (Y)	6	N	Y	0.8857	0.9473	4	O	 
27	10	Y (Y)	6	Y	Y	0.9428	0.9473	4	O	 
28	10	Y (Y)	6	N	Y	0.8785	0.9473	4	O	 
29	10	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
30	10	Y (Y)	5	N	Y	0.8857	0.9473	4	O	 
31	10	Y (Y)	5	N	Y	0.8714	1.0000	4	O	 
32	10	Y (Y)	4	Y	Y	0.9357	0.7894	4	O	 
33	9	Y (Y)	6	Y	Y	0.8928	0.9473	4	O	 
34	9	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
35	9	Y (Y)	6	N	Y	0.9000	0.9473	4	O	 
36	8	Y (Y)	6	Y	Y	0.8928	0.9473	4	O	 
37	8	Y (Y)	6	N	Y	0.9285	1.0000	4	O	 
38	8	Y (Y)	6	N	Y	0.8142	0.9473	4	O	 
39	8	Y (Y)	6	N	Y	0.7000	0.9473	3	O	 
40	6	Y (Y)	6	Y	Y	0.9142	0.7894	4	O	 
41	5	Y (Y)	6	Y	Y	0.8642	1.0000	4	X	 
42	5	Y (Y)	6	N	Y	0.6928	1.0000	3	X	 
43	5	Y (Y)	3	Y	Y	0.9928	0.9473	4	X	 
44	4	Y (Y)	6	Y	Y	0.8928	0.7894	4	X	 
45	3	Y (Y)	6	N	Y	0.6785	0.9473	3	X	 
46	2	Y (Y)	6	Y	Y	0.9714	1.0000	4	X	 
47	2	Y (Y)	6	Y	Y	0.8857	1.0000	4	X	 
48	2	Y (Y)	6	N	Y	0.7857	1.0000	4	X	 
49	2	Y (Y)	5	N	Y	0.9071	0.9473	4	X	 
50	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
51	1	Y (Y)	6	Y	Y	0.9785	0.8421	4	X	 
52	1	Y (Y)	6	Y	Y	0.9571	0.8947	4	X	 
53	1	Y (Y)	6	Y	Y	0.8428	0.9473	4	X	 
54	1	Y (Y)	6	N	Y	0.9857	0.9473	4	X	 
55	1	Y (Y)	6	N	Y	0.7928	0.9473	4	X	 
56	1	Y (Y)	6	N	Y	0.7714	0.8421	4	X	 
57	1	Y (Y)	6	N	Y	0.6785	1.0000	3	X	 
58	1	Y (Y)	6	N	Y	0.6642	1.0000	4	X	 
59	1	Y (Y)	5	N	Y	0.7857	0.1578	4	X	 
