Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CFS3125-01-00	아동관찰및행동연구	3	박주희	화5,6,목2	삼221	50	32	30 (Y)	0	15	20	15	O	36	1	28	6.19
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	28	Y (Y)	6	N	Y	0.9523	1.0000	4	O	 
2	19	N (N)	6	N	Y	0.5000	0.8611	3	O	 
3	17	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
4	12	Y (Y)	6	N	Y	0.8444	0.8333	4	O	 
5	12	Y (Y)	6	N	Y	0.8000	0.8888	4	O	 
6	12	Y (Y)	6	N	Y	0.6428	0.9722	3	O	 
7	12	Y (Y)	4	N	Y	0.6984	0.6666	4	O	 
8	11	Y (Y)	6	N	Y	0.9365	0.8333	4	O	 
9	10	Y (Y)	6	N	Y	0.6190	0.8888	3	O	 
10	8	Y (Y)	6	N	Y	0.2777	0.1944	2	O	 
11	7	Y (Y)	5	N	Y	0.7857	1.0000	4	O	 
12	6	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
13	6	Y (Y)	6	N	Y	0.5317	0.8611	3	O	 
14	6	Y (Y)	6	N	Y	0.5079	1.0000	3	O	 
15	5	N (N)	6	N	Y	0.2740	1.0000	2	O	 
16	4	Y (Y)	6	N	N	0.7619	1.0000	4	O	 
17	2	Y (Y)	6	N	Y	0.7619	1.0000	4	O	 
18	2	Y (Y)	6	N	Y	0.5476	0.9166	3	O	 
19	2	Y (Y)	6	N	Y	0.4285	0.8333	3	O	 
20	2	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
21	2	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
22	2	Y (Y)	6	N	Y	0.2619	1.0000	2	O	 
23	2	Y (Y)	5	N	Y	0.2857	1.0000	2	O	 
24	1	Y (Y)	6	N	Y	0.7460	1.0000	4	O	 
25	1	Y (Y)	6	N	Y	0.7361	0.9166	3	O	 
26	1	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
27	1	Y (Y)	6	N	Y	0.5436	0.9444	3	O	 
28	1	Y (Y)	6	N	Y	0.5277	1.0000	3	O	 
29	1	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
30	1	Y (Y)	6	N	Y	0.2698	0.8333	2	O	 
31	1	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
32	1	Y (Y)	6	N	Y	0.2261	0.8888	2	O	 
