Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CFS4113-01-00	노화와가족	3	전혜정	화4,금6,7	삼206	50	31	0 (N)	0	0	0	0	O	36	1	36	6.97
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	1	Y	Y	1.0000	1.0000	4	O	 
2	24	Y (N)	3	Y	Y	0.9523	0.5000	4	O	 
3	15	Y (N)	6	N	Y	0.7777	0.8333	4	O	 
4	14	Y (Y)	4	Y	Y	1.0000	1.0000	4	O	 
5	13	Y (Y)	6	N	Y	0.7857	1.0000	4	O	 
6	12	Y (Y)	6	Y	Y	0.7619	1.0000	4	O	 
7	12	Y (Y)	6	N	Y	0.7698	1.0000	4	O	 
8	12	Y (Y)	3	N	Y	0.5674	1.0000	3	O	 
9	8	Y (Y)	6	N	Y	0.5793	1.0000	3	O	 
10	8	Y (Y)	6	N	Y	0.5158	0.8611	3	O	 
11	7	Y (Y)	6	N	Y	0.6825	1.0000	4	O	 
12	7	Y (Y)	6	N	Y	0.5238	0.9444	3	O	 
13	7	Y (Y)	6	N	Y	0.5198	0.8333	3	O	 
14	7	N (N)	6	Y	Y	0.9206	1.0000	4	O	 
15	5	Y (Y)	6	N	Y	0.7936	1.0000	4	O	 
16	4	Y (Y)	6	N	Y	0.6547	1.0000	3	O	 
17	4	Y (Y)	5	Y	Y	1.0000	0.8888	4	O	 
18	3	Y (Y)	6	N	Y	0.7698	1.0000	4	O	 
19	3	N (N)	6	N	Y	0.5317	0.8333	3	O	 
20	2	Y (Y)	6	N	Y	0.6904	0.8333	4	O	 
21	2	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
22	2	N (N)	6	Y	Y	0.9365	1.0000	4	O	 
23	1	Y (Y)	6	N	Y	0.8869	1.0000	4	O	 
24	1	Y (Y)	6	N	Y	0.7301	1.0000	4	O	 
25	1	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
26	1	Y (Y)	6	N	Y	0.5595	0.9166	3	O	 
27	1	Y (Y)	6	N	Y	0.5476	0.8333	3	O	 
28	1	Y (Y)	6	N	Y	0.5277	0.8611	3	O	 
29	1	Y (Y)	6	N	Y	0.5079	0.8333	3	O	 
30	1	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
31	1	Y (Y)	5	N	Y	0.2777	1.0000	2	O	 
