Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CHE2103-01-00	유기화학(1)	3	전철호	월5,6,수5	과325	40	53	0 (N)	0	0	0	0	O	36	1	36	18.21
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	4	N	Y	0.2703	0.1842	2	O	 
2	36	Y (Y)	1	N	Y	0.2500	0.8881	2	O	 
3	36	N (N)	6	N	Y	0.4037	0.9210	2	O	 
4	36	N (N)	6	N	Y	0.3962	0.8684	2	O	 
5	36	N (N)	5	N	Y	0.5333	0.6315	3	O	 
6	36	N (N)	2	Y	Y	1.0000	0.0526	4	O	 
7	30	Y (Y)	6	N	Y	0.2888	0.8421	2	O	 
8	30	Y (Y)	6	N	N	0.4259	0.9736	2	O	 
9	30	N (N)	6	Y	Y	0.9851	0.8947	4	O	 
10	30	N (N)	5	N	Y	0.4296	0.9736	2	O	 
11	29	N (N)	6	N	Y	0.5238	0.7777	3	O	 
12	28	N (N)	6	N	Y	0.5952	0.8333	3	O	 
13	28	N (N)	6	N	Y	0.3357	0.9473	2	O	 
14	25	Y (Y)	6	N	Y	0.6481	1.0000	3	O	 
15	25	Y (N)	6	N	Y	0.5555	0.9736	3	O	 
16	25	Y (Y)	6	N	N	0.3703	0.8947	2	O	 
17	25	N (N)	6	N	Y	0.4444	0.8333	2	O	 
18	25	N (N)	5	N	Y	0.5396	0.7500	3	O	 
19	24	N (N)	6	N	Y	0.5357	0.8333	3	O	 
20	22	Y (Y)	6	N	N	0.6518	1.0000	3	O	 
21	21	Y (Y)	6	N	N	0.3259	0.6842	2	O	 
22	19	N (N)	6	N	Y	0.3814	0.6842	2	O	 
23	18	N (N)	6	Y	Y	0.9920	0.6666	4	O	 
24	17	N (N)	6	N	Y	0.4629	1.0000	2	O	 
25	17	N (N)	6	N	Y	0.4407	1.0000	2	O	 
26	17	N (N)	6	N	Y	0.3809	0.8421	2	O	 
27	17	N (N)	6	N	Y	0.3777	0.8157	2	O	 
28	15	N (N)	6	N	Y	0.5000	0.9444	3	O	 
29	15	N (N)	6	N	Y	0.4111	0.9736	2	O	 
30	15	N (N)	6	N	Y	0.4037	0.9736	2	O	 
31	15	N (N)	6	N	Y	0.3888	0.8157	2	O	 
32	15	N (N)	5	N	Y	0.4814	1.0000	3	O	 
33	14	Y (Y)	5	N	Y	0.2814	0.9736	2	O	 
34	14	Y (Y)	5	N	N	0.3740	0.7631	2	O	 
35	13	N (N)	6	N	Y	0.4087	0.8611	2	O	 
36	13	N (N)	5	N	Y	0.4523	1.0000	2	O	 
37	12	Y (Y)	6	N	Y	0.2666	1.0000	2	O	 
38	11	Y (Y)	4	N	Y	0.2814	1.0000	2	O	 
39	10	Y (N)	6	N	Y	0.6190	0.8684	3	O	 
40	10	N (N)	6	N	Y	0.3769	0.8611	2	O	 
41	10	N (N)	6	N	N	0.8657	0.9473	4	X	 
42	10	N (N)	6	N	N	0.4888	0.6315	3	X	 
43	8	N (N)	6	N	Y	0.3777	0.6315	2	X	 
44	7	N (N)	6	N	Y	0.4185	0.8684	2	X	 
45	7	N (N)	6	N	Y	0.4071	0.9473	2	X	 
46	7	N (N)	6	N	Y	0.3629	0.9210	2	X	 
47	7	N (N)	4	N	Y	0.4259	0.9210	2	X	 
48	5	Y (Y)	6	N	N	0.4259	0.9736	2	X	 
49	5	N (N)	6	N	Y	0.3703	0.8421	2	X	 
50	5	N (N)	6	N	N	0.3464	0.5526	2	X	 
51	2	Y (Y)	6	Y	N	0.8962	1.0000	4	X	 
52	1	Y (Y)	6	N	Y	0.2444	0.7894	2	X	 
53	1	Y (Y)	6	N	Y	0.2222	0.6315	2	X	 
