Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CHE3103-01-00	무기화학(2)	3	오문현	화4,5,목4	과325	63	59	0 (N)	0	0	0	0	O	36	1	35	5.49
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	Y (Y)	2	Y	Y	1.0000	0.9473	4	O	 
2	14	N (N)	6	N	Y	0.5000	0.7894	4	O	 
3	13	Y (Y)	6	N	Y	0.5370	0.7368	3	O	 
4	13	N (N)	6	N	Y	0.7714	1.0000	3	O	 
5	12	Y (Y)	6	N	Y	0.6000	0.9473	3	O	 
6	10	Y (Y)	6	N	Y	0.7851	1.0000	4	O	 
7	10	Y (Y)	6	N	Y	0.6814	0.7894	4	O	 
8	10	Y (Y)	6	N	Y	0.6592	0.9473	3	O	 
9	10	N (N)	6	N	Y	0.8000	0.9166	3	O	 
10	9	Y (Y)	6	Y	Y	0.9777	0.9473	4	O	 
11	9	Y (Y)	6	N	Y	0.6444	0.9473	3	O	 
12	8	Y (Y)	6	Y	Y	0.8666	0.9473	4	O	 
13	8	Y (Y)	6	N	Y	0.7111	0.8947	3	O	 
14	8	Y (Y)	6	N	Y	0.6592	0.8947	3	O	 
15	7	Y (Y)	6	Y	Y	0.9037	0.7894	4	O	 
16	7	Y (Y)	6	N	Y	0.6444	0.8947	3	O	 
17	6	Y (Y)	6	Y	Y	0.8666	0.7368	4	O	 
18	6	Y (Y)	6	N	Y	0.6888	1.0000	3	O	 
19	6	Y (Y)	6	N	Y	0.6888	0.8947	4	O	 
20	6	Y (Y)	6	N	Y	0.6518	0.9473	3	O	 
21	5	Y (Y)	6	N	Y	0.7555	0.9473	4	O	 
22	5	Y (Y)	6	N	Y	0.6888	1.0000	4	O	 
23	5	Y (Y)	6	N	Y	0.6740	0.8947	3	O	 
24	5	Y (Y)	6	N	Y	0.6740	0.8421	3	O	 
25	5	Y (Y)	6	N	Y	0.6518	0.9473	3	O	 
26	5	Y (Y)	6	N	Y	0.6148	0.7368	3	O	 
27	5	Y (Y)	5	N	Y	0.6074	0.8947	3	O	 
28	4	Y (Y)	6	N	Y	0.7111	0.9473	3	O	 
29	4	Y (Y)	6	N	Y	0.6962	0.9473	3	O	 
30	4	Y (Y)	6	N	Y	0.6518	0.9473	3	O	 
31	4	Y (Y)	6	N	Y	0.6481	0.8421	3	O	 
32	4	Y (Y)	6	N	Y	0.6000	0.8947	3	O	 
33	3	Y (Y)	6	Y	Y	0.8962	0.8421	4	O	 
34	3	Y (Y)	6	N	Y	0.7037	1.0000	3	O	 
35	3	Y (Y)	6	N	Y	0.6962	0.8947	3	O	 
36	3	Y (Y)	6	N	Y	0.6814	1.0000	3	O	 
37	3	Y (Y)	6	N	Y	0.6814	0.8947	3	O	 
38	3	Y (Y)	6	N	Y	0.6740	1.0000	3	O	 
39	3	Y (Y)	6	N	Y	0.6518	1.0000	3	O	 
40	3	Y (Y)	6	N	Y	0.6481	1.0000	3	O	 
41	3	Y (Y)	6	N	Y	0.6444	0.8947	3	O	 
42	3	Y (Y)	6	N	Y	0.6444	0.8421	3	O	 
43	3	Y (Y)	6	N	Y	0.6222	0.8947	3	O	 
44	3	Y (Y)	6	N	Y	0.6222	0.8947	3	O	 
45	3	Y (N)	6	N	Y	0.6190	0.8684	3	O	 
46	3	Y (Y)	6	N	Y	0.5259	0.8947	3	O	 
47	2	Y (Y)	6	Y	Y	1.0000	0.8947	4	O	 
48	2	Y (Y)	6	N	Y	0.7259	0.6842	4	O	 
49	2	Y (Y)	6	N	Y	0.6740	0.8421	3	O	 
50	2	Y (Y)	6	N	Y	0.6592	0.9473	3	O	 
51	2	Y (Y)	6	N	Y	0.6592	0.7894	3	O	 
52	2	Y (Y)	6	N	Y	0.5925	0.9473	3	O	 
53	2	Y (Y)	4	N	Y	0.2703	0.1842	2	O	 
54	1	Y (Y)	6	N	Y	0.8074	0.7368	4	O	 
55	1	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
56	1	Y (Y)	6	N	Y	0.6592	0.8421	3	O	 
57	1	Y (Y)	6	N	Y	0.6259	0.8684	3	O	 
58	1	Y (Y)	6	N	Y	0.5777	0.8947	3	O	 
59	1	Y (Y)	5	N	Y	0.5481	1.0000	3	O	 
