Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CHE3104-01-00	생물유기화학	3	신인재	월7,8,수8	과B132	41	43	0 (N)	0	0	0	0	O	36	1	36	8.23
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	3	N	Y	0.7500	0.9375	4	O	 
2	17	Y (Y)	5	N	Y	0.7851	1.0000	4	O	 
3	16	N (N)	6	N	Y	0.6962	0.9473	4	O	 
4	15	Y (Y)	6	N	Y	0.7333	0.9473	4	O	 
5	14	Y (N)	6	N	Y	0.8148	0.8421	4	O	 
6	13	Y (Y)	6	N	Y	0.8148	0.9473	4	O	 
7	13	Y (Y)	6	N	Y	0.8074	1.0000	4	O	 
8	13	Y (Y)	6	N	Y	0.2500	0.8881	2	O	 
9	12	Y (Y)	6	N	Y	0.7851	0.8947	4	O	 
10	12	Y (Y)	6	N	Y	0.7259	0.8947	4	O	 
11	11	Y (Y)	6	N	Y	0.8296	0.8947	4	O	 
12	10	Y (Y)	6	N	Y	0.7555	0.8947	4	O	 
13	10	Y (Y)	6	N	Y	0.6444	0.7894	3	O	 
14	10	Y (Y)	6	N	Y	0.5777	1.0000	3	O	 
15	10	Y (Y)	6	N	Y	0.5259	1.0000	3	O	 
16	8	Y (Y)	6	N	Y	0.5407	0.8684	3	O	 
17	8	Y (Y)	6	N	Y	0.5333	0.6842	3	O	 
18	8	Y (Y)	6	N	Y	0.5111	0.8157	3	O	 
19	8	Y (Y)	6	N	N	0.6296	0.9473	4	O	 
20	7	Y (Y)	6	N	Y	0.7555	0.9473	4	O	 
21	7	Y (Y)	6	N	Y	0.5629	0.7894	3	O	 
22	7	Y (Y)	6	N	Y	0.5037	0.9210	3	O	 
23	6	Y (Y)	6	N	Y	0.8814	1.0000	4	O	 
24	6	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
25	6	Y (Y)	6	N	Y	0.6296	0.7894	3	O	 
26	5	Y (N)	6	N	Y	0.8444	1.0000	4	O	 
27	5	Y (Y)	6	N	Y	0.6666	0.9473	4	O	 
28	5	Y (Y)	6	N	Y	0.4592	0.7105	3	O	 
29	5	Y (Y)	5	N	Y	0.5703	0.8947	3	O	 
30	5	Y (Y)	4	Y	Y	0.9185	0.6315	4	O	 
31	4	Y (Y)	6	N	Y	0.5925	0.8947	3	O	 
32	4	Y (Y)	6	N	Y	0.5185	0.9473	3	O	 
33	3	Y (Y)	6	N	Y	0.7777	0.8947	4	O	 
34	3	Y (Y)	6	N	Y	0.7037	1.0000	4	O	 
35	3	Y (Y)	6	N	Y	0.5333	0.9210	3	O	 
36	3	Y (Y)	6	N	Y	0.5296	0.9736	3	O	 
37	3	Y (Y)	6	N	Y	0.5185	0.9473	3	O	 
38	3	Y (Y)	6	N	Y	0.5037	0.8421	3	O	 
39	3	Y (Y)	5	N	Y	0.7481	0.8947	4	O	 
40	2	Y (Y)	6	N	Y	0.5629	0.7894	3	O	 
41	2	Y (Y)	6	N	Y	0.5185	0.7368	3	X	 
42	1	Y (Y)	6	N	Y	0.5407	0.8947	3	X	 
0	12	Y (Y)	6	N	Y	0.7555	0.8947	4	O	* 
