Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CHE4109-01-00	무기신소재화학	3	천진우	화1,목1,2	과325	54	42	0 (N)	0	0	0	0	O	36	1	31	6.52
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	31	Y (Y)	3	N	Y	1.0000	1.0000	4	O	 
2	16	Y (N)	6	N	Y	0.7407	0.7368	4	O	 
3	13	Y (Y)	5	N	Y	0.7851	1.0000	4	O	 
4	12	Y (Y)	6	N	Y	0.8148	0.9473	4	O	 
5	12	Y (Y)	6	N	Y	0.7851	0.8947	4	O	 
6	12	Y (Y)	6	N	Y	0.5185	0.7368	3	O	 
7	12	Y (Y)	6	N	Y	0.2500	0.8881	2	O	 
8	12	Y (Y)	5	N	Y	0.7777	0.8947	4	O	 
9	11	Y (Y)	6	N	Y	0.7925	0.7368	4	O	 
10	10	Y (Y)	6	N	Y	0.8222	0.8947	4	O	 
11	10	Y (Y)	6	N	Y	0.7555	0.8947	4	O	 
12	10	Y (Y)	6	N	Y	0.6444	0.7894	3	O	 
13	8	Y (N)	6	N	Y	0.8074	1.0000	4	O	 
14	7	Y (Y)	6	N	Y	0.8814	1.0000	4	O	 
15	7	Y (Y)	6	N	Y	0.6740	0.5789	4	O	 
16	7	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
17	5	Y (Y)	6	N	Y	0.8074	1.0000	4	O	 
18	5	Y (Y)	6	N	Y	0.8074	0.9473	4	O	 
19	5	Y (Y)	6	N	Y	0.7777	0.8947	4	O	 
20	5	Y (Y)	6	N	Y	0.7777	0.8421	4	O	 
21	5	Y (Y)	6	N	Y	0.6000	0.8947	3	O	 
22	5	Y (Y)	6	N	Y	0.5185	0.8421	3	O	 
23	5	Y (Y)	6	N	Y	0.5148	0.7368	3	O	 
24	4	Y (Y)	6	N	Y	0.5925	0.8947	3	O	 
25	3	Y (Y)	6	N	Y	0.7259	0.8947	4	O	 
26	3	Y (Y)	6	N	Y	0.6296	0.7894	3	O	 
27	3	Y (Y)	6	N	Y	0.5333	0.6842	3	O	 
28	3	Y (Y)	6	N	Y	0.5148	0.9210	3	O	 
29	3	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
30	2	Y (Y)	6	N	Y	0.8296	0.8947	4	O	 
31	2	Y (Y)	6	N	Y	0.7555	0.9473	4	O	 
32	2	Y (Y)	6	N	Y	0.5481	0.9210	3	O	 
33	2	Y (Y)	6	N	Y	0.5259	0.8947	3	O	 
34	2	Y (Y)	5	Y	Y	0.9259	0.8947	4	O	 
35	2	Y (Y)	5	N	Y	0.7481	0.8947	4	O	 
36	1	Y (Y)	6	Y	Y	0.9185	0.9473	4	O	 
37	1	Y (Y)	6	N	Y	0.8592	1.0000	4	O	 
38	1	Y (Y)	6	N	Y	0.7851	0.8421	4	O	 
39	1	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
40	1	Y (Y)	6	N	Y	0.5000	0.8881	3	O	 
41	1	Y (Y)	6	N	Y	0.4814	0.8947	3	O	 
0	12	Y (Y)	6	N	Y	0.7555	0.8947	4	O	* 
