Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CLL3409-01-00	중국근세문학사	3	김장환	월6,수6,7	위209	40	26	0 (N)	0	0	0	0	O	36	1	18	4.38
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	5	N	Y	0.6444	0.8421	3	O	 
2	12	Y (N)	6	Y	Y	0.9037	0.9473	4	O	 
3	9	Y (N)	5	N	Y	0.9603	0.6666	4	O	 
4	8	Y (Y)	6	N	Y	0.5555	0.9210	3	O	 
5	5	Y (N)	6	N	Y	0.7851	1.0000	4	O	 
6	5	Y (Y)	6	N	Y	0.6740	0.5789	4	O	 
7	5	Y (Y)	6	N	Y	0.6370	0.6842	4	O	 
8	5	Y (Y)	6	N	Y	0.6185	0.8157	3	O	 
9	5	Y (Y)	6	N	Y	0.5555	0.9736	3	O	 
10	5	Y (Y)	6	N	Y	0.4333	0.8157	2	O	 
11	5	Y (Y)	6	N	Y	0.4037	0.9736	2	O	 
12	5	Y (Y)	6	N	Y	0.3925	0.8947	2	O	 
13	4	Y (Y)	6	N	Y	0.8000	0.6315	4	O	 
14	4	Y (Y)	6	N	Y	0.4037	0.8157	2	O	 
15	4	Y (Y)	6	N	Y	0.3777	0.7894	2	O	 
16	2	Y (N)	6	N	Y	0.6666	0.8333	3	O	 
17	2	Y (Y)	6	N	Y	0.6296	0.9473	4	O	 
18	2	Y (Y)	6	N	Y	0.4037	0.8157	2	O	 
19	2	Y (Y)	6	N	Y	0.3333	0.9210	2	O	 
20	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
21	1	Y (Y)	6	N	Y	0.4296	0.9473	2	O	 
22	1	Y (Y)	6	N	Y	0.4259	0.9736	2	O	 
23	1	Y (Y)	6	N	Y	0.4037	1.0000	2	O	 
24	1	Y (Y)	6	N	Y	0.4037	0.8157	2	O	 
25	1	Y (Y)	6	N	Y	0.3962	0.8684	2	O	 
26	1	Y (Y)	6	N	Y	0.3962	0.7631	2	O	 
