Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CLL3413-01-00	중국사곡선독	3	하경심	월7,8,수8	위209	40	33	0 (N)	0	0	0	0	O	36	3	20	12.24
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	N (N)	3	Y	Y	0.9555	0.9473	4	O	 
2	19	N (N)	5	Y	Y	0.8888	0.9473	4	O	 
3	18	N (N)	6	N	N	0.7324	0.4736	4	O	 
4	18	N (N)	5	N	Y	0.7777	1.0000	4	O	 
5	16	N (N)	5	N	Y	0.9365	0.8888	4	O	 
6	15	N (N)	6	N	Y	0.7407	0.7894	4	O	 
7	15	N (N)	6	N	Y	0.5407	0.9736	3	O	 
8	15	N (N)	4	Y	Y	0.9185	0.7894	4	O	 
9	14	N (N)	6	N	Y	0.7768	0.9473	4	O	 
10	14	N (N)	6	N	N	0.6546	0.8157	3	O	 
11	13	N (N)	6	N	Y	0.8492	0.8333	4	O	 
12	13	N (N)	6	N	Y	0.7851	0.9473	4	O	 
13	13	N (N)	6	N	Y	0.7111	0.4736	4	O	 
14	13	N (N)	6	N	Y	0.6481	0.9473	3	O	 
15	13	N (N)	6	N	Y	0.3111	1.0000	2	O	 
16	13	N (N)	6	N	Y	0.2814	0.9473	2	O	 
17	13	N (N)	5	N	Y	0.5000	0.8881	3	O	 
18	12	N (N)	6	N	Y	0.7619	0.8333	4	O	 
19	12	N (N)	6	N	Y	0.7101	0.7894	4	O	 
20	12	N (N)	6	N	Y	0.7000	0.8684	4	O	 
21	12	N (N)	6	N	Y	0.5000	0.8881	3	O	 
22	12	N (N)	6	N	Y	0.3555	1.0000	2	O	 
23	11	N (N)	6	N	Y	0.7027	0.9736	3	O	 
24	11	N (N)	6	N	Y	0.5777	0.9473	3	O	 
25	11	N (N)	6	N	Y	0.2888	0.8947	2	O	 
26	11	N (N)	6	N	Y	0.2666	1.0000	2	O	 
27	11	N (N)	6	N	Y	0.2518	0.8947	2	O	 
28	10	N (N)	6	N	Y	0.3037	1.0000	2	O	 
29	8	N (N)	6	N	Y	0.7462	0.9473	4	O	 
30	5	N (N)	6	N	Y	0.2370	0.8421	2	O	 
31	4	N (N)	6	N	Y	0.6518	0.9473	4	O	 
32	4	N (N)	6	N	Y	0.2666	1.0000	2	O	 
33	3	N (N)	6	N	Y	0.2666	0.8421	2	O	 
