Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CLL3504-01-00	중국어음운론	3	이지영	월1,2,수1	위203	40	47	0 (N)	0	0	0	0	O	36	1	24	10.45
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	N (N)	6	N	Y	0.5000	0.8881	3	O	 
2	23	N (N)	3	N	Y	1.0000	0.8333	4	O	 
3	22	N (N)	4	N	Y	0.5333	0.9473	3	O	 
4	20	N (N)	6	Y	Y	0.8814	0.9473	4	O	 
5	19	N (N)	6	N	Y	0.3555	0.2105	3	O	 
6	19	N (N)	6	N	Y	0.2888	0.8947	2	O	 
7	18	N (N)	6	N	Y	0.5407	0.9736	3	O	 
8	18	N (N)	6	N	Y	0.5111	0.8684	3	O	 
9	17	N (N)	6	N	Y	0.5185	0.8157	3	O	 
10	16	N (N)	6	N	Y	0.4037	0.8684	2	O	 
11	16	N (N)	6	N	Y	0.2444	0.8421	2	O	 
12	15	N (N)	6	N	Y	0.9175	0.9473	4	O	 
13	15	N (N)	6	N	Y	0.4888	0.7894	3	O	 
14	15	N (N)	5	N	Y	0.6370	0.6842	4	O	 
15	14	N (N)	6	N	Y	0.2740	0.8947	2	O	 
16	14	N (N)	5	N	Y	0.4851	0.9736	2	O	 
17	13	N (N)	6	N	Y	0.5000	0.8881	3	O	 
18	12	N (N)	6	N	Y	0.8222	0.7894	4	O	 
19	12	N (N)	6	N	Y	0.2888	1.0000	2	O	 
20	10	N (N)	6	N	Y	0.5407	1.0000	3	O	 
21	10	N (N)	6	N	Y	0.5000	0.8881	3	O	 
22	10	N (N)	6	N	Y	0.5000	0.8881	3	O	 
23	10	N (N)	6	N	Y	0.4185	0.7631	2	O	 
24	10	N (N)	6	N	Y	0.3814	0.8157	2	O	 
25	10	N (N)	6	N	Y	0.2888	1.0000	2	O	 
26	10	N (N)	6	N	Y	0.2740	1.0000	2	O	 
27	10	N (N)	5	N	Y	0.7444	0.7894	4	O	 
28	9	N (N)	6	N	Y	0.2740	0.9473	2	O	 
29	8	N (N)	6	N	Y	0.4666	0.6578	3	O	 
30	7	N (N)	6	N	Y	0.6222	0.9473	3	O	 
31	7	N (N)	6	N	Y	0.4407	0.8684	2	O	 
32	6	N (N)	6	N	Y	0.5037	0.8947	3	O	 
33	6	N (N)	6	N	Y	0.2962	1.0000	2	O	 
34	5	N (N)	6	N	Y	0.7777	0.9473	4	O	 
35	5	N (N)	6	N	Y	0.5000	0.8881	3	O	 
36	5	N (N)	6	N	N	0.8444	0.6315	4	O	 
37	5	N (N)	5	N	Y	1.0000	1.0000	4	O	 
38	5	N (N)	5	N	Y	0.5238	0.6944	3	O	 
39	4	N (N)	6	N	Y	0.6074	0.9736	3	O	 
40	4	N (N)	6	N	Y	0.4666	1.0000	3	O	 
41	3	N (N)	6	N	Y	0.7629	0.6315	4	X	 
42	3	N (N)	6	N	Y	0.2888	1.0000	2	X	 
43	3	N (N)	6	N	Y	0.2518	0.8421	2	X	 
44	1	N (N)	6	Y	Y	1.0000	0.1666	4	X	 
45	1	N (N)	6	Y	Y	0.9761	0.8333	4	X	 
46	1	N (N)	5	N	Y	0.9761	0.3888	4	X	 
47	1	N (N)	5	N	Y	0.8814	0.9473	4	X	 
