Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CNT3133-01-00	패션색채와의류기획	3	이주현	화2,3,4,5	삼312	25	45	22 (Y)	0	0	20	5	X	36	4	36	17.93
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	4	Y	Y	0.9126	0.6111	4	O	 
2	34	Y (Y)	6	N	N	0.3809	1.0000	4	O	 
3	32	Y (Y)	6	N	Y	0.8015	0.6666	4	O	 
4	30	Y (Y)	6	N	Y	0.6142	1.0000	3	O	 
5	28	Y (Y)	6	N	Y	0.6349	0.8333	3	O	 
6	27	Y (Y)	6	N	Y	0.6785	0.7777	3	O	 
7	27	Y (Y)	6	N	Y	0.6706	0.6666	3	O	 
8	27	Y (Y)	4	N	Y	0.6984	0.7777	3	O	 
9	25	Y (Y)	6	N	Y	0.4518	0.8421	3	O	 
10	24	Y (Y)	5	N	Y	0.5912	0.8611	3	O	 
11	22	Y (Y)	5	N	Y	0.6865	0.6666	3	O	 
12	21	Y (Y)	6	N	Y	0.6428	1.0000	4	O	 
13	21	N (N)	5	N	Y	0.3855	0.9473	3	O	 
14	20	Y (Y)	6	N	Y	0.7936	0.8333	4	O	 
15	20	Y (Y)	6	N	Y	0.7380	0.8333	4	X	 
16	20	Y (Y)	6	N	Y	0.6468	0.8055	3	O	 
17	20	Y (Y)	5	N	Y	0.7341	0.8888	3	O	 
18	20	N (N)	6	N	Y	0.6642	0.8333	3	O	 
19	19	Y (Y)	6	N	Y	0.8174	1.0000	4	X	 
20	19	Y (Y)	5	N	Y	0.7222	0.8333	4	X	 
21	18	Y (Y)	6	N	Y	0.7539	1.0000	4	X	 
22	17	Y (Y)	6	N	Y	0.7222	0.6666	4	X	 
23	16	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
24	16	Y (Y)	6	N	Y	0.4841	0.8333	3	O	 
25	16	N (N)	6	N	Y	0.6190	0.6666	3	O	 
26	15	Y (Y)	6	N	Y	0.8968	1.0000	4	X	 
27	15	Y (Y)	6	N	Y	0.8253	1.0000	4	X	 
28	15	Y (Y)	6	N	Y	0.5476	0.8611	3	O	 
29	15	Y (Y)	6	N	Y	0.2420	0.6666	3	O	 
30	15	Y (Y)	5	N	Y	0.5515	0.8333	3	O	 
31	14	Y (Y)	6	N	Y	0.7579	0.8333	3	O	 
32	14	Y (Y)	6	N	Y	0.7222	0.6111	4	X	 
33	13	Y (Y)	6	N	Y	0.8551	0.8333	4	X	 
34	12	Y (Y)	6	N	Y	0.7703	0.7777	4	X	 
35	12	Y (Y)	6	N	Y	0.7259	0.8333	4	X	 
36	12	Y (Y)	5	N	Y	0.6190	0.6666	3	O	 
37	12	Y (Y)	4	Y	Y	0.9365	1.0000	4	X	 
38	12	Y (Y)	3	N	Y	0.5714	1.0000	3	X	 
39	12	N (N)	6	N	Y	0.6507	1.0000	3	X	 
40	10	Y (Y)	6	N	Y	0.7857	1.0000	4	X	 
41	10	Y (Y)	5	N	Y	0.8174	0.8333	4	X	 
42	8	Y (Y)	6	N	Y	0.7698	1.0000	4	X	 
43	7	Y (Y)	6	N	Y	0.6230	0.8611	3	X	 
44	5	Y (Y)	6	N	Y	0.6706	1.0000	3	X	 
45	4	Y (Y)	6	N	Y	0.6230	0.8611	3	X	 
