Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
COM2101-01-00	언론학연구방법론	3	백영민	수3,금3,4	연402	90	82	90 (Y)	0	60	15	15	X	18	1	18	16.24
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	N	Y	0.7916	1.0000	4	O	 
2	18	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
3	18	Y (Y)	6	N	Y	0.6388	0.8333	3	O	 
4	18	Y (Y)	6	N	Y	0.6190	0.9444	3	O	 
5	18	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
6	18	Y (Y)	6	N	Y	0.5793	1.0000	3	O	 
7	18	Y (Y)	6	N	Y	0.5317	1.0000	3	O	 
8	18	Y (Y)	6	N	Y	0.5158	0.8333	3	O	 
9	18	Y (Y)	6	N	Y	0.5079	0.8888	3	O	 
10	18	Y (Y)	6	N	Y	0.4841	0.6944	3	O	 
11	18	Y (Y)	6	N	Y	0.4484	0.8611	2	O	 
12	18	Y (Y)	6	N	Y	0.3928	0.8611	2	O	 
13	18	Y (Y)	6	N	Y	0.3690	0.8055	2	O	 
14	18	Y (Y)	6	N	Y	0.3571	0.8333	2	O	 
15	18	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
16	18	Y (Y)	6	N	Y	0.3134	1.0000	2	O	 
17	18	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
18	18	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
19	18	Y (Y)	6	N	Y	0.3095	0.9444	2	O	 
20	18	Y (Y)	6	N	Y	0.3095	0.9444	2	O	 
21	18	Y (Y)	6	N	Y	0.3055	1.0000	2	O	 
22	18	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
23	18	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
24	18	Y (Y)	6	N	Y	0.2976	1.0000	2	O	 
25	18	Y (Y)	6	N	Y	0.2936	0.7777	2	O	 
26	18	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
27	18	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
28	18	Y (Y)	6	N	Y	0.2857	0.8888	2	O	 
29	18	Y (Y)	6	N	Y	0.2857	0.8888	2	O	 
30	18	Y (Y)	6	N	Y	0.2857	0.7777	2	O	 
31	18	Y (Y)	6	N	Y	0.2817	0.7777	2	O	 
32	18	Y (Y)	6	N	Y	0.2777	1.0000	2	O	 
33	18	Y (Y)	6	N	Y	0.2777	0.8888	2	O	 
34	18	Y (Y)	6	N	Y	0.2698	0.8888	2	O	 
35	18	Y (Y)	6	N	Y	0.2698	0.8888	2	O	 
36	18	Y (Y)	6	N	Y	0.2698	0.7777	2	O	 
37	18	Y (Y)	6	N	Y	0.2619	1.0000	2	O	 
38	18	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
39	18	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
40	18	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
41	18	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
42	18	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
43	18	Y (Y)	6	N	Y	0.2619	0.7777	2	O	 
44	18	Y (Y)	6	N	Y	0.2539	0.8888	2	O	 
45	18	Y (Y)	6	N	Y	0.2539	0.8333	2	O	 
46	18	Y (Y)	6	N	Y	0.2500	0.8611	2	O	 
47	18	Y (Y)	6	N	Y	0.2380	0.8888	2	O	 
48	18	Y (Y)	6	N	Y	0.2341	0.7222	2	O	 
49	18	Y (Y)	6	N	Y	0.2103	0.6944	2	O	 
50	18	Y (Y)	6	N	N	0.5753	1.0000	3	O	 
51	18	Y (Y)	6	N	N	0.5119	0.8055	3	O	 
52	18	Y (Y)	5	N	Y	0.8214	0.9444	4	O	 
53	18	Y (Y)	5	N	Y	0.4166	0.8611	2	O	 
54	18	Y (Y)	5	N	Y	0.4126	0.8333	2	O	 
55	18	Y (Y)	5	N	Y	0.4007	1.0000	2	O	 
56	18	Y (Y)	5	N	Y	0.3095	1.0000	2	O	 
57	18	Y (Y)	5	N	Y	0.2857	1.0000	2	O	 
58	18	Y (Y)	5	N	Y	0.2857	0.8888	2	O	 
59	18	Y (Y)	5	N	Y	0.2698	0.9166	2	O	 
60	17	Y (Y)	6	N	Y	0.3095	0.9444	2	O	 
61	17	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
