Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
COM3145-01-00	P.R사례분석	3	강두선	화8,9,목9	연108	35	28	30 (Y)	0	0	0	0	O	18	1	18	8.5
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
2	18	Y (Y)	6	N	Y	0.8444	0.9473	4	O	 
3	18	Y (Y)	6	N	Y	0.8333	1.0000	4	O	 
4	18	Y (Y)	6	N	Y	0.7380	0.8333	4	O	 
5	18	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
6	18	N (N)	6	N	Y	0.7259	0.9473	3	O	 
7	18	N (N)	6	N	Y	0.4563	0.9166	2	O	 
8	14	N (N)	6	N	Y	0.2962	1.0000	2	O	 
9	13	Y (Y)	6	N	Y	0.5634	0.8888	3	O	 
10	11	N (N)	6	N	Y	0.8666	0.7894	4	O	 
11	11	N (N)	6	N	Y	0.8253	0.8888	4	O	 
12	10	Y (Y)	6	N	Y	0.5238	0.8611	3	O	 
13	9	Y (Y)	6	N	Y	0.7842	0.9473	4	O	 
14	9	Y (Y)	5	N	Y	0.8551	1.0000	4	O	 
15	5	Y (Y)	6	N	Y	0.7857	0.8333	4	O	 
16	5	Y (Y)	6	N	Y	0.6269	0.7777	3	O	 
17	4	Y (Y)	6	N	Y	0.6884	0.9444	3	O	 
18	4	Y (Y)	6	N	Y	0.6428	1.0000	3	O	 
19	3	Y (Y)	6	N	Y	0.5277	1.0000	3	O	 
20	3	N (N)	6	N	Y	0.8888	1.0000	4	X	 
21	2	Y (Y)	6	N	Y	0.6587	0.6666	3	O	 
22	2	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
23	2	N (N)	6	N	Y	0.5333	0.9210	3	X	 
24	1	Y (Y)	6	Y	Y	0.8253	0.8333	4	O	 
25	1	Y (Y)	6	N	Y	0.7142	0.8333	4	O	 
26	1	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
27	1	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
28	1	Y (Y)	5	N	Y	0.5000	0.8750	3	O	 
