Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
COM4112-01-00	텔레커뮤니케이션론	3	이상엽	화4,목5,6	연108	50	80	0 (Y)	0	0	0	0	O	18	1	18	12.75
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	18	Y (Y)	6	N	Y	0.8650	0.9444	4	O	 
2	18	Y (Y)	6	N	Y	0.7857	1.0000	4	O	 
3	18	Y (Y)	6	N	Y	0.7842	0.9473	4	O	 
4	18	Y (Y)	6	N	Y	0.7777	1.0000	4	O	 
5	18	Y (Y)	6	N	Y	0.7777	0.8333	4	O	 
6	18	Y (Y)	6	N	Y	0.7407	0.9473	4	O	 
7	18	Y (Y)	6	N	Y	0.6904	0.8333	3	O	 
8	18	Y (Y)	6	N	Y	0.6587	0.6666	3	O	 
9	18	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
10	18	Y (Y)	6	N	Y	0.6507	1.0000	4	O	 
11	18	Y (Y)	6	N	Y	0.6349	0.8333	4	O	 
12	18	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
13	18	Y (Y)	6	N	Y	0.5873	0.9722	3	O	 
14	18	Y (Y)	6	N	Y	0.5793	1.0000	3	O	 
15	18	Y (Y)	6	N	Y	0.5753	1.0000	3	O	 
16	18	Y (Y)	6	N	Y	0.5674	0.9722	3	O	 
17	18	Y (Y)	6	N	Y	0.5634	1.0000	3	O	 
18	18	Y (Y)	6	N	Y	0.5515	0.8333	3	O	 
19	18	Y (Y)	6	N	Y	0.5396	0.8888	3	O	 
20	18	Y (Y)	6	N	Y	0.5277	0.9444	3	O	 
21	18	Y (Y)	6	N	Y	0.5238	1.0000	3	O	 
22	18	Y (Y)	6	N	Y	0.5119	0.8055	3	O	 
23	18	Y (Y)	6	N	Y	0.4484	0.8611	2	O	 
24	18	Y (Y)	6	N	Y	0.3571	0.8333	2	O	 
25	18	Y (Y)	5	N	Y	0.8174	0.8333	4	O	 
26	18	Y (Y)	5	N	Y	0.7936	0.8333	4	O	 
27	18	Y (Y)	5	N	Y	0.4206	0.6666	3	O	 
28	18	Y (Y)	4	N	Y	0.5238	1.0000	3	O	 
29	18	Y (Y)	3	Y	Y	0.9523	0.8333	4	O	 
30	18	N (N)	6	N	Y	0.8740	0.9473	4	O	 
31	18	N (N)	6	N	Y	0.7837	1.0000	4	O	 
32	18	N (N)	6	N	Y	0.6269	0.6666	3	O	 
33	18	N (N)	6	N	Y	0.5476	0.8611	3	O	 
34	18	N (N)	4	Y	Y	1.0000	0.2222	4	O	 
35	17	Y (Y)	6	N	Y	0.6904	0.8333	4	O	 
36	17	Y (Y)	6	N	Y	0.5079	0.8611	3	O	 
37	17	Y (Y)	5	N	Y	0.6349	0.8333	3	O	 
38	17	N (N)	6	N	Y	0.5873	0.9166	3	O	 
39	16	Y (Y)	6	N	Y	0.8174	1.0000	4	O	 
40	16	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
41	16	Y (Y)	6	N	Y	0.5396	0.8333	3	O	 
42	16	Y (Y)	6	N	Y	0.5000	0.9444	3	O	 
43	16	Y (Y)	5	N	Y	0.8293	1.0000	4	O	 
44	15	Y (Y)	6	N	Y	0.7324	0.9473	4	O	 
45	15	N (N)	6	N	Y	0.5000	0.9722	3	O	 
46	13	Y (Y)	6	N	Y	0.6666	1.0000	3	O	 
47	13	N (N)	6	N	Y	0.5793	0.9722	3	O	 
48	12	Y (Y)	6	Y	Y	0.7857	1.0000	4	O	 
49	12	Y (Y)	6	N	Y	0.8154	0.9444	4	O	 
50	12	Y (Y)	6	N	Y	0.7817	1.0000	4	O	 
51	12	Y (Y)	6	N	Y	0.5714	0.8333	3	X	 
