Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CRP2630-01-00	도시형태및역사	3	이제선	화2,목1,2	공B038	50	42	25 (Y)	0	30	15	5	X	36	1	36	5.69
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	2	Y	Y	1.0000	0.9473	5	O	 
2	19	N (N)	5	N	Y	0.7385	0.9473	4	O	 
3	18	Y (Y)	6	N	Y	0.8650	1.0000	4	O	 
4	14	Y (Y)	6	N	Y	0.5214	0.8421	3	O	 
5	14	N (N)	5	Y	Y	1.0000	0.6315	5	O	 
6	12	Y (Y)	6	N	Y	0.5714	0.8611	3	O	 
7	12	N (N)	6	N	Y	0.7168	0.9473	4	O	 
8	11	N (N)	6	N	Y	0.6984	0.5555	4	X	 
9	9	Y (Y)	6	N	Y	0.5785	0.6315	4	X	 
10	7	Y (Y)	5	N	Y	0.2357	0.8421	2	O	 
11	6	Y (Y)	6	N	Y	0.3142	0.9473	2	O	 
12	6	Y (Y)	6	N	Y	0.2357	0.8421	2	O	 
13	5	Y (Y)	6	N	Y	0.4841	0.8888	3	O	 
14	5	Y (Y)	6	N	Y	0.2928	1.0000	2	O	 
15	5	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
16	4	Y (Y)	6	N	Y	0.2714	0.9473	2	O	 
17	4	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
18	4	Y (Y)	6	N	Y	0.2500	0.9473	2	O	 
19	3	Y (Y)	6	N	Y	0.5214	1.0000	3	O	 
20	3	Y (Y)	6	N	Y	0.4071	0.9473	3	O	 
21	3	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
22	3	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
23	3	Y (Y)	6	N	Y	0.2750	1.0000	2	O	 
24	3	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
25	3	Y (Y)	6	N	Y	0.2357	0.8421	2	O	 
26	3	Y (Y)	6	N	Y	0.2142	0.8421	2	O	 
27	3	Y (Y)	5	N	Y	0.2892	0.9736	2	O	 
28	3	Y (Y)	5	N	Y	0.2785	0.7894	2	O	 
29	2	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
30	2	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
31	2	Y (Y)	6	N	Y	0.2571	1.0000	2	O	 
32	2	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
33	1	Y (Y)	6	N	Y	0.7928	0.9473	4	X	 
34	1	Y (Y)	6	N	Y	0.7571	0.9473	4	X	 
35	1	Y (Y)	6	N	Y	0.5238	0.8333	3	O	 
36	1	Y (Y)	6	N	Y	0.2857	0.8947	2	O	 
37	1	Y (Y)	6	N	Y	0.2571	1.0000	2	O	 
38	1	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
39	1	Y (Y)	6	N	Y	0.2428	0.9473	2	O	 
40	1	Y (Y)	6	N	Y	0.2357	0.8421	2	O	 
41	1	Y (Y)	6	N	Y	0.2321	0.8157	2	O	 
42	1	Y (Y)	6	N	Y	0.2250	0.6842	2	O	 
