Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
CTM1002-01-00	IT FOUNDATION	3	이기헌	월4,5,6	I진B318	35	39	35 (Y)	0	0	0	0	X	36	1	27	7.03
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	27	Y (Y)	6	N	Y	0.5198	1.0000	3	O	 
2	25	Y (Y)	6	N	Y	0.6507	1.0000	3	O	 
3	16	Y (Y)	5	N	Y	0.6428	0.8611	3	O	 
4	16	Y (Y)	4	N	Y	0.6587	0.6944	3	O	 
5	15	Y (Y)	6	N	Y	0.7857	0.9473	4	O	 
6	15	Y (Y)	6	N	Y	0.4563	0.8611	2	O	 
7	13	Y (Y)	6	N	Y	0.2896	1.0000	2	O	 
8	13	Y (Y)	5	N	Y	0.3452	0.6944	2	O	 
9	12	Y (Y)	5	N	Y	0.3928	0.8055	2	O	 
10	12	Y (Y)	5	N	Y	0.3214	0.5277	2	O	 
11	11	Y (Y)	6	N	Y	0.4087	1.0000	2	O	 
12	8	Y (Y)	5	N	Y	0.4087	0.8611	2	O	 
13	7	Y (Y)	6	N	Y	0.7063	1.0000	3	O	 
14	7	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
15	7	Y (Y)	6	N	Y	0.3809	1.0000	2	O	 
16	7	Y (Y)	6	N	Y	0.3452	0.8333	2	O	 
17	6	Y (Y)	6	N	Y	0.4166	1.0000	2	O	 
18	6	Y (Y)	6	N	Y	0.4126	1.0000	2	O	 
19	5	Y (Y)	6	N	Y	0.3492	0.9444	2	O	 
20	5	Y (Y)	5	Y	N	0.9365	1.0000	4	O	 
21	4	Y (Y)	6	N	Y	0.5198	1.0000	2	O	 
22	4	Y (Y)	6	N	Y	0.3015	0.6578	2	O	 
23	4	Y (Y)	5	N	Y	0.5753	0.9444	3	O	 
24	4	Y (Y)	5	N	Y	0.4087	0.8611	2	O	 
25	3	Y (Y)	6	N	N	0.7142	0.8333	3	O	 
26	3	Y (Y)	6	N	N	0.6587	0.9444	3	O	 
27	3	Y (Y)	6	N	N	0.4404	0.9166	2	O	 
28	3	Y (Y)	5	N	Y	0.4007	0.8611	2	O	 
29	2	Y (Y)	6	N	Y	0.3928	0.8055	2	O	 
30	2	Y (Y)	5	N	Y	0.4246	0.9166	2	O	 
31	1	Y (Y)	6	N	Y	0.6111	0.8333	3	O	 
32	1	Y (Y)	6	N	Y	0.6031	0.9166	3	O	 
33	1	Y (Y)	6	N	Y	0.4563	0.8611	2	O	 
34	1	Y (Y)	6	N	Y	0.4246	0.8611	2	O	 
35	1	Y (Y)	6	N	Y	0.4087	0.8611	2	O	 
36	1	Y (Y)	6	N	Y	0.3968	1.0000	2	X	 
37	1	Y (Y)	6	N	Y	0.3769	0.8611	2	X	 
38	1	Y (Y)	5	N	Y	0.4563	0.8611	2	X	 
39	1	Y (Y)	5	N	Y	0.2777	0.9444	2	X	 
