Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DAA3690-01-00	환경공학	3	이민구	월3,4,목9(목10)	공A343(공A343)	35	33	0 (N)	0	0	0	0	O	36	1	15	6.03
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	15	N (N)	6	N	Y	0.7357	1.0000	4	O	 
2	14	N (N)	6	N	Y	0.7785	0.9473	4	O	 
3	13	N (N)	6	N	Y	0.7714	0.7894	4	O	 
4	12	N (N)	6	N	Y	0.5000	0.9473	4	O	 
5	11	N (N)	6	N	Y	0.8071	0.9473	4	O	 
6	11	N (N)	6	N	Y	0.7500	0.9473	4	O	 
7	10	N (N)	6	N	Y	0.7857	1.0000	4	O	 
8	10	N (N)	6	N	Y	0.7714	0.9473	4	O	 
9	10	N (N)	6	N	Y	0.5571	0.1578	3	O	 
10	10	N (N)	5	Y	Y	0.8928	0.9473	4	O	 
11	10	N (N)	5	N	Y	0.8571	0.9473	4	O	 
12	8	N (N)	6	N	Y	0.7857	0.9473	4	O	 
13	8	N (N)	6	N	Y	0.7642	0.9473	4	O	 
14	7	N (N)	6	N	Y	0.7928	0.9473	4	O	 
15	7	N (N)	6	N	Y	0.6500	0.9473	3	O	 
16	6	N (N)	6	N	Y	0.7642	0.7894	4	O	 
17	6	N (N)	4	Y	Y	0.9357	0.9473	4	O	 
18	5	N (N)	6	N	Y	0.6571	0.7894	4	O	* 
19	4	N (N)	6	N	Y	0.8035	1.0000	4	O	 
20	4	N (N)	6	N	Y	0.8000	1.0000	4	O	 
21	3	N (N)	6	N	Y	0.9250	1.0000	4	O	 
22	3	N (N)	6	N	Y	0.7857	0.9473	4	O	 
23	2	N (N)	6	N	Y	0.7928	0.9473	4	O	 
24	1	N (N)	6	Y	Y	1.0000	0.8421	4	O	 
25	1	N (N)	6	Y	Y	1.0000	0.3157	4	O	 
26	1	N (N)	6	N	Y	0.9250	1.0000	4	O	 
27	1	N (N)	6	N	Y	0.8642	0.8421	4	O	 
28	1	N (N)	6	N	Y	0.8500	0.9473	4	O	 
29	1	N (N)	6	N	Y	0.8321	0.9473	4	O	 
30	1	N (N)	6	N	Y	0.8071	0.9473	4	O	 
31	1	N (N)	6	N	Y	0.7857	1.0000	4	O	 
32	1	N (N)	6	N	Y	0.7785	1.0000	4	O	 
33	1	N (N)	6	N	Y	0.7571	0.8421	4	O	 
