Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DAA3800-01-00	전기화학공학	3	김한성	월5,화7,8(월4)	석산홀세미나실(석산홀세미나실)	45	40	0 (Y)	0	0	0	0	O	36	1	26	8.53
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	26	Y (Y)	5	Y	Y	0.9142	0.7894	4	O	 
2	20	Y (Y)	6	N	Y	0.9357	0.8333	4	O	 
3	20	Y (Y)	6	N	Y	0.7380	0.7894	4	O	 
4	20	Y (Y)	4	N	Y	0.8928	0.8947	4	O	 
5	20	N (N)	5	N	Y	0.7341	0.9736	3	O	 
6	17	Y (Y)	4	Y	Y	0.9214	0.7894	4	O	 
7	16	Y (Y)	6	Y	Y	0.9571	1.0000	4	O	 
8	14	Y (Y)	6	N	Y	0.6000	0.7894	4	O	 
9	14	Y (Y)	4	Y	Y	1.0000	0.6315	4	O	 
10	14	Y (Y)	3	Y	Y	0.9642	0.6315	4	O	 
11	12	N (N)	6	Y	Y	0.9047	0.7894	4	O	 
12	11	Y (Y)	6	Y	Y	0.9142	0.6842	4	O	 
13	11	Y (Y)	6	N	Y	0.7678	0.9473	4	O	 
14	10	Y (Y)	6	Y	Y	0.9714	0.9473	4	O	 
15	10	Y (Y)	6	N	Y	0.9464	0.9473	4	O	 
16	10	Y (Y)	6	N	Y	0.8571	0.7894	4	O	 
17	10	Y (Y)	6	N	Y	0.2698	1.0000	2	O	 
18	10	Y (Y)	5	Y	Y	0.9071	1.0000	4	O	 
19	6	Y (Y)	6	Y	Y	0.9357	1.0000	4	O	 
20	6	Y (Y)	6	Y	Y	0.9071	1.0000	4	O	 
21	6	Y (Y)	6	N	Y	0.9285	0.8421	4	O	 
22	5	Y (Y)	6	Y	Y	0.9642	1.0000	4	O	 
23	5	Y (Y)	6	Y	Y	0.9071	0.9473	4	O	 
24	5	Y (Y)	6	Y	Y	0.8888	0.9473	4	O	 
25	5	Y (Y)	6	Y	Y	0.8785	0.9473	4	O	 
26	4	Y (Y)	6	Y	Y	0.9285	1.0000	4	O	 
27	4	Y (Y)	6	Y	Y	0.8928	0.9473	4	O	 
28	4	Y (Y)	6	N	Y	0.9214	0.8947	4	O	 
29	3	Y (Y)	6	Y	Y	0.9428	0.9473	4	O	 
30	3	Y (Y)	6	N	Y	0.8571	0.7894	4	O	 
31	3	Y (Y)	6	N	Y	0.7428	0.7894	4	O	 
32	3	Y (Y)	5	Y	Y	0.8928	0.8421	4	O	 
33	3	Y (Y)	5	N	Y	0.8892	1.0000	4	O	 
34	2	Y (Y)	6	Y	Y	0.9714	0.9473	4	O	 
35	2	Y (Y)	6	Y	Y	0.9642	0.9473	4	O	 
36	2	Y (Y)	6	Y	Y	0.8714	1.0000	4	O	 
37	2	Y (Y)	5	Y	Y	0.9428	1.0000	4	O	 
38	1	Y (Y)	6	Y	Y	1.0000	0.3157	4	O	 
39	1	Y (Y)	6	N	Y	0.6714	0.8421	3	O	 
40	1	Y (Y)	5	Y	Y	0.9714	0.7894	4	O	 
