Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
DAA4300-01-00	유체이동현상	3	함승주	월5,6,수8(수9)	공B038(공B038)	70	43	0 (N)	0	0	0	0	O	36	1	35	5.95
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	N (N)	6	Y	N	1.0000	0.7894	4	O	 
2	19	N (N)	4	N	Y	0.5357	0.9736	3	O	 
3	14	N (N)	6	N	Y	0.8285	1.0000	4	O	 
4	13	N (N)	6	N	Y	0.5071	1.0000	3	O	 
5	12	N (N)	6	N	Y	0.5428	0.9473	3	O	 
6	12	N (N)	6	N	Y	0.3500	0.4210	3	O	 
7	10	N (N)	5	N	Y	0.6857	1.0000	3	O	 
8	9	N (N)	6	N	Y	0.6071	0.9736	3	O	 
9	9	N (N)	6	N	Y	0.5214	0.8421	3	O	 
10	9	N (N)	6	N	Y	0.5000	0.9210	3	O	 
11	8	N (N)	6	N	Y	0.5642	1.0000	3	O	 
12	8	N (N)	6	N	Y	0.5571	0.1578	3	O	 
13	7	N (N)	6	N	Y	0.4285	0.7894	3	O	 
14	6	N (N)	6	N	Y	0.5357	1.0000	3	O	 
15	6	N (N)	6	N	Y	0.4428	1.0000	3	O	 
16	5	N (N)	6	N	Y	0.8592	1.0000	4	O	 
17	5	N (N)	6	N	Y	0.6571	0.9473	4	O	 
18	5	N (N)	6	N	Y	0.6428	0.9473	4	O	 
19	5	N (N)	6	N	Y	0.5214	0.7894	3	O	 
20	5	N (N)	6	N	Y	0.4928	0.8421	3	O	 
21	5	N (N)	6	N	Y	0.3607	0.7631	2	O	 
22	4	N (N)	6	N	Y	0.5642	0.9473	3	O	 
23	4	N (N)	6	N	Y	0.4642	0.9473	3	O	 
24	4	N (N)	6	N	Y	0.2928	0.4736	3	O	 
25	3	N (N)	6	N	Y	0.7500	1.0000	4	O	 
26	3	N (N)	6	N	Y	0.7142	0.8947	4	O	 
27	3	N (N)	6	N	Y	0.4571	0.7894	3	O	 
28	3	N (N)	6	N	Y	0.4357	0.6315	3	O	 
29	3	N (N)	5	N	Y	0.5000	0.9473	3	O	 
30	2	N (N)	6	N	Y	0.8250	0.9473	4	O	 
31	2	N (N)	6	N	Y	0.7071	1.0000	3	O	 
32	2	N (N)	6	N	Y	0.5928	1.0000	3	O	 
33	2	N (N)	6	N	Y	0.5000	0.9210	3	O	 
34	2	N (N)	6	N	Y	0.5000	0.9210	3	O	 
35	2	N (N)	6	N	Y	0.4857	0.9473	3	O	 
36	2	N (N)	6	N	Y	0.4000	0.9473	2	O	 
37	2	N (N)	5	N	Y	0.5357	0.9473	3	O	 
38	1	N (N)	6	N	Y	0.5428	0.9473	3	O	 
39	1	N (N)	6	N	Y	0.5428	0.7894	3	O	 
40	1	N (N)	6	N	Y	0.5000	0.9210	3	O	 
41	1	N (N)	6	N	Y	0.5000	0.9210	3	O	 
42	1	N (N)	5	N	Y	0.5214	0.9473	3	O	 
43	1	N (N)	5	N	N	0.6571	0.9473	3	O	 
