Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ECO1103-05-00	미시경제원론	3	이지영	화4,목5,6	상본B103	63	97	35 (N)	0	37	16	10	O	12	1	12	11.19
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (Y)	6	N	Y	0.9126	0.6666	4	O	 
2	12	Y (N)	6	N	Y	0.6051	1.0000	3	O	 
3	12	Y (N)	6	N	Y	0.5851	1.0000	3	O	 
4	12	Y (N)	6	N	Y	0.5555	0.9722	3	O	 
5	12	Y (N)	6	N	Y	0.5333	0.9210	3	O	 
6	12	Y (Y)	6	N	Y	0.5000	0.8750	3	O	 
7	12	Y (N)	6	N	Y	0.4037	0.8157	2	O	 
8	12	Y (Y)	6	N	Y	0.2460	0.8333	2	O	 
9	12	Y (Y)	6	N	N	0.8888	1.0000	4	O	 
10	12	Y (N)	6	N	N	0.5925	1.0000	3	O	 
11	12	Y (N)	5	N	Y	0.4444	0.8684	3	O	 
12	12	N (N)	6	Y	Y	0.8928	0.9473	4	O	 
13	12	N (N)	6	Y	Y	0.8492	1.0000	4	O	 
14	12	N (N)	6	N	Y	0.9037	0.9473	4	O	 
15	12	N (N)	6	N	Y	0.7619	1.0000	4	O	 
16	12	N (N)	6	N	Y	0.7380	1.0000	4	O	 
17	12	N (N)	6	N	Y	0.7063	1.0000	3	O	 
18	12	N (N)	6	N	Y	0.7063	1.0000	3	O	 
19	12	N (N)	6	N	Y	0.6904	1.0000	3	O	 
20	12	N (N)	6	N	Y	0.6666	1.0000	4	O	 
21	12	N (N)	6	N	Y	0.6428	0.6666	3	O	 
22	12	N (N)	6	N	Y	0.6370	0.7894	4	O	 
23	12	N (N)	6	N	Y	0.6349	0.8333	3	O	 
24	12	N (N)	6	N	Y	0.6349	0.6666	3	O	 
25	12	N (N)	6	N	Y	0.6269	0.8333	3	O	 
26	12	N (N)	6	N	Y	0.6111	1.0000	3	O	 
27	12	N (N)	6	N	Y	0.5952	0.8611	3	O	 
28	12	N (N)	6	N	Y	0.5634	1.0000	3	X	 
29	12	N (N)	6	N	Y	0.5396	0.8888	3	X	 
30	12	N (N)	6	N	Y	0.5357	1.0000	3	X	 
31	12	N (N)	6	N	Y	0.5357	1.0000	3	X	 
32	12	N (N)	6	N	Y	0.5317	1.0000	3	X	 
33	12	N (N)	6	N	Y	0.5317	0.8333	3	X	 
34	12	N (N)	6	N	Y	0.5259	0.9473	3	X	 
35	12	N (N)	6	N	Y	0.5238	0.8333	3	X	 
36	12	N (N)	6	N	Y	0.4523	0.8333	3	X	 
37	12	N (N)	6	N	Y	0.4444	0.8333	3	X	 
38	12	N (N)	6	N	Y	0.4296	0.9473	3	X	 
39	12	N (N)	6	N	Y	0.4285	0.8888	2	O	 
40	12	N (N)	6	N	Y	0.3412	0.8333	2	O	 
41	12	N (N)	6	N	Y	0.3333	1.0000	2	O	 
42	12	N (N)	6	N	Y	0.3333	1.0000	2	O	 
43	12	N (N)	6	N	Y	0.3333	0.8947	2	O	 
44	12	N (N)	6	N	Y	0.3185	1.0000	2	X	 
45	12	N (N)	6	N	Y	0.3095	1.0000	2	X	 
46	12	N (N)	6	N	Y	0.3015	1.0000	2	X	 
47	12	N (N)	6	N	Y	0.2936	1.0000	2	X	 
48	12	N (N)	6	N	Y	0.2936	1.0000	2	X	 
49	12	N (N)	6	N	Y	0.2888	0.8947	2	X	 
50	12	N (N)	6	N	Y	0.2857	1.0000	2	X	 
51	12	N (N)	6	N	Y	0.2857	1.0000	2	X	 
52	12	N (N)	6	N	Y	0.2857	1.0000	2	X	 
53	12	N (N)	6	N	Y	0.2857	1.0000	2	X	 
54	12	N (N)	6	N	Y	0.2857	0.9444	2	X	 
55	12	N (N)	6	N	Y	0.2817	1.0000	2	X	 
56	12	N (N)	6	N	Y	0.2698	1.0000	2	X	 
57	12	N (N)	6	N	Y	0.2698	1.0000	2	X	 
58	12	N (N)	6	N	Y	0.2698	0.8888	2	X	 
59	12	N (N)	6	N	Y	0.2698	0.7777	2	X	 
60	12	N (N)	6	N	Y	0.2666	1.0000	2	X	 
61	12	N (N)	6	N	Y	0.2666	0.8947	2	X	 
62	12	N (N)	6	N	Y	0.2619	0.8888	2	X	 
63	12	N (N)	6	N	Y	0.2619	0.8888	2	X	 
64	12	N (N)	6	N	Y	0.2579	0.8333	2	X	 
65	12	N (N)	6	N	Y	0.2539	0.9722	2	X	 
66	12	N (N)	6	N	Y	0.2539	0.9444	2	X	 
67	12	N (N)	6	N	Y	0.2539	0.8888	2	X	 
68	12	N (N)	6	N	Y	0.2296	0.6315	2	X	 
69	12	N (N)	6	N	N	0.9365	1.0000	4	X	 
70	12	N (N)	6	N	N	0.5317	1.0000	3	X	 
71	12	N (N)	5	N	Y	0.7936	0.8333	4	X	 
72	12	N (N)	5	N	Y	0.6888	0.7894	4	X	 
73	12	N (N)	5	N	Y	0.6587	0.8333	3	X	 
74	12	N (N)	5	N	Y	0.5714	1.0000	3	X	 
75	12	N (N)	5	N	Y	0.5634	0.9444	3	X	 
76	12	N (N)	5	N	Y	0.5396	0.8055	3	X	 
77	12	N (N)	5	N	Y	0.3174	1.0000	2	X	 
78	12	N (N)	5	N	Y	0.2518	0.7368	2	X	 
79	12	N (N)	5	N	N	0.9365	0.6666	4	X	 
80	12	N (N)	5	N	N	0.5317	0.8333	3	X	 
81	12	N (N)	5	N	N	0.4126	0.8333	2	X	 
82	11	N (N)	6	N	Y	0.7460	0.8333	4	X	 
83	11	N (N)	5	N	Y	0.4761	0.6666	3	X	 
84	10	N (N)	6	N	Y	0.6031	0.6666	3	X	 
85	10	N (N)	6	N	Y	0.3095	1.0000	2	X	 
86	10	N (N)	6	N	Y	0.2592	0.9473	2	X	 
87	10	N (N)	6	N	Y	0.2555	0.9736	2	X	 
88	9	Y (Y)	6	N	Y	0.2698	0.8888	2	O	 
89	9	Y (Y)	6	N	Y	0.2261	1.0000	2	O	 
90	9	Y (N)	5	N	N	0.6984	0.6666	4	X	 
91	6	Y (Y)	6	N	N	0.2817	0.8611	2	O	 
92	5	Y (Y)	6	N	N	0.2460	0.7222	2	O	 
93	4	N (N)	6	N	Y	0.5714	0.6944	3	X	 
94	4	N (N)	5	N	N	0.5714	0.6666	3	X	 
95	3	N (N)	6	N	Y	0.7500	0.9473	4	X	 
96	1	Y (Y)	4	N	Y	0.3095	1.0000	2	O	 
97	1	N (N)	6	N	Y	0.7185	0.7894	4	X	 
