Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ECO2102-06-00	미시경제학	3	한원용	월1,2,수2	상본B120	126	30	70 (N)	0	76	32	18	O	12	1	12	7.8
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	Y (N)	6	N	Y	0.7777	0.7894	4	O	 
2	12	Y (N)	6	N	Y	0.7380	0.8333	4	O	 
3	12	Y (Y)	6	N	Y	0.3015	0.9444	2	O	 
4	12	Y (N)	6	N	N	0.8000	0.9473	4	O	 
5	12	Y (Y)	6	N	N	0.6428	0.8333	3	O	 
6	12	Y (Y)	6	N	N	0.4603	0.8333	3	O	 
7	12	Y (N)	5	Y	N	1.0000	1.0000	4	O	 
8	12	N (N)	6	Y	Y	0.8714	0.9473	4	O	 
9	12	N (N)	6	N	Y	0.9037	0.9473	4	O	 
10	12	N (N)	6	N	Y	0.8000	0.9473	4	O	 
11	12	N (N)	6	N	Y	0.6587	1.0000	3	O	 
12	12	N (N)	6	N	Y	0.5555	1.0000	3	O	 
13	12	N (N)	6	N	N	1.0000	0.6666	4	O	 
14	12	N (N)	6	N	N	0.5357	0.7894	3	O	 
15	12	N (N)	5	Y	Y	0.8809	0.5000	4	O	 
16	12	N (N)	4	N	N	0.9047	0.1666	4	O	 
17	9	N (N)	6	Y	Y	0.8592	0.9473	4	O	 
18	7	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
19	6	Y (Y)	6	N	Y	0.6190	0.6666	3	O	 
20	6	N (N)	6	N	Y	0.8000	0.7894	4	O	 
21	5	Y (Y)	6	N	Y	0.2619	1.0000	2	O	 
22	1	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
23	1	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
24	1	Y (Y)	6	N	N	0.7857	0.8333	4	O	 
25	1	N (N)	6	Y	Y	1.0000	0.0000	4	O	 
26	1	N (N)	6	N	Y	0.8642	1.0000	4	O	 
27	1	N (N)	6	N	Y	0.7619	1.0000	4	O	 
28	1	N (N)	6	N	Y	0.5277	0.8888	3	O	 
29	1	N (N)	6	N	Y	0.5000	0.8333	3	O	 
30	1	N (N)	6	N	Y	0.3730	1.0000	2	O	 
