Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EDU2108-01-00	교육심리학	3	이희승	화7,목8,9	교517	30	42	0 (N)	0	15	7	8	O	36	1	35	20.86
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	N (N)	3	Y	Y	0.9777	0.6666	4	O	 
2	32	N (N)	6	N	Y	0.6111	1.0000	3	O	 
3	31	N (N)	3	Y	Y	1.0000	1.0000	4	O	 
4	30	N (N)	6	N	Y	0.3333	1.0000	2	O	 
5	30	N (N)	6	N	Y	0.3015	1.0000	2	O	 
6	30	N (N)	6	N	Y	0.2962	0.8947	2	O	 
7	30	N (N)	6	N	Y	0.2619	0.8888	2	O	 
8	29	N (N)	6	N	Y	0.2619	0.8888	2	O	 
9	28	N (N)	6	N	N	0.3412	0.6666	2	O	 
10	28	N (N)	5	N	Y	0.2698	0.8888	2	O	 
11	27	N (N)	6	N	Y	0.2777	1.0000	2	O	 
12	27	N (N)	6	N	Y	0.2777	0.8888	2	O	 
13	27	N (N)	6	N	Y	0.2698	0.9444	2	O	 
14	26	N (N)	6	N	Y	0.2777	0.8888	2	O	 
15	26	N (N)	6	N	Y	0.2539	0.8888	2	O	 
16	25	N (N)	6	N	Y	0.8015	1.0000	3	O	 
17	25	N (N)	6	N	Y	0.7301	1.0000	3	O	 
18	25	N (N)	6	N	Y	0.2936	0.8888	2	O	 
19	25	N (N)	6	N	Y	0.2420	0.9166	2	O	 
20	23	N (N)	6	N	Y	0.5595	1.0000	3	O	 
21	23	N (N)	6	N	Y	0.3492	1.0000	2	O	 
22	23	N (N)	6	N	Y	0.2738	0.8333	2	X	 
23	22	N (N)	6	N	Y	0.6984	1.0000	3	O	 
24	22	N (N)	5	N	Y	0.5793	0.8611	3	O	 
25	21	N (N)	6	N	Y	0.8412	1.0000	4	O	 
26	20	N (N)	6	N	Y	0.6388	1.0000	3	O	 
27	20	N (N)	6	N	Y	0.2857	0.8888	2	X	 
28	20	N (N)	5	N	Y	0.2579	0.8611	2	X	 
29	20	N (N)	4	N	Y	0.3607	0.7894	2	X	 
30	16	N (N)	6	N	Y	0.5079	0.9722	3	X	 
31	16	N (N)	5	N	Y	0.6349	1.0000	3	X	 
32	15	N (N)	6	Y	Y	1.0000	0.8333	4	O	 
33	15	N (N)	5	N	Y	1.0000	0.1666	4	O	 
34	14	N (N)	6	N	Y	0.7407	0.7894	4	O	 
35	13	N (N)	6	Y	Y	0.9111	0.6842	4	O	 
36	10	N (N)	6	N	Y	0.2518	0.8947	2	X	 
37	10	N (N)	4	N	Y	0.2698	0.9444	2	X	 
38	8	N (N)	6	N	Y	0.3095	1.0000	2	X	 
39	5	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
40	2	N (N)	5	N	N	0.8809	0.7222	4	X	 
41	1	N (N)	6	N	Y	0.6190	1.0000	3	X	 
42	1	N (N)	6	N	Y	0.2936	1.0000	2	X	 
