Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EDU4117-01-00	산업교육실습	3	장원섭	월5,6,수6	교519	12	24	0 (N)	0	0	0	12	O	36	1	36	31.42
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
2	36	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
3	36	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
4	36	Y (Y)	6	Y	Y	0.9523	1.0000	4	O	 
5	36	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
6	36	Y (Y)	6	N	Y	1.0000	1.0000	4	O	 
7	36	Y (Y)	6	N	Y	0.8492	1.0000	4	O	 
8	36	Y (Y)	6	N	Y	0.7619	0.9444	4	O	 
9	36	Y (Y)	6	N	Y	0.6666	1.0000	4	O	 
10	36	Y (Y)	5	N	Y	0.8650	1.0000	4	O	 
11	36	Y (Y)	5	N	Y	0.8174	1.0000	4	O	 
12	36	Y (Y)	5	N	Y	0.7222	1.0000	4	O	 
13	36	Y (Y)	2	Y	Y	1.0000	0.1666	4	X	 
14	36	N (N)	4	Y	Y	0.9365	0.8888	4	X	 
15	35	Y (Y)	3	N	Y	0.8571	1.0000	4	X	 
16	33	Y (Y)	6	N	Y	0.8333	0.8333	4	X	 
17	31	Y (Y)	6	Y	Y	1.0000	1.0000	4	X	 
18	31	Y (Y)	5	N	Y	0.8809	0.7222	4	X	 
19	27	Y (Y)	6	N	Y	0.8253	0.7777	4	X	 
20	24	Y (Y)	6	N	Y	0.8253	0.8333	4	X	 
21	23	Y (Y)	6	N	Y	0.8650	1.0000	4	X	 
22	23	Y (Y)	6	N	Y	0.7579	1.0000	4	X	 
23	22	Y (N)	6	Y	Y	1.0000	1.0000	4	X	 
24	1	Y (Y)	5	N	Y	0.7301	1.0000	4	X	 
