Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE2030-01-00	전자기학(1)	3	김동현	월8,수2,3	공B039	80	42	80 (Y)	0	70	5	5	O	36	1	36	8.79
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.7777	1.0000	3	O	 
2	36	Y (Y)	6	N	Y	0.6269	1.0000	3	O	 
3	33	Y (Y)	6	N	Y	0.6500	0.9473	3	O	 
4	18	Y (Y)	6	N	Y	0.5000	0.9722	3	O	 
5	18	Y (Y)	6	N	Y	0.4037	0.7631	2	O	 
6	16	Y (Y)	6	N	Y	0.5285	0.7368	3	O	 
7	16	Y (Y)	6	N	Y	0.4500	0.9473	3	X	 
8	16	Y (Y)	6	N	Y	0.3892	0.8157	2	O	 
9	14	Y (Y)	6	N	Y	0.5035	1.0000	3	X	 
10	14	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
11	12	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
12	11	Y (Y)	6	N	Y	0.3750	0.7631	3	X	 
13	11	Y (Y)	5	N	Y	0.4071	0.9736	2	O	 
14	10	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
15	7	Y (Y)	6	N	Y	0.3857	0.9736	2	O	 
16	6	Y (Y)	6	N	Y	0.4678	1.0000	2	O	 
17	6	Y (Y)	6	N	Y	0.3964	0.8157	2	O	 
18	6	Y (Y)	6	N	Y	0.3857	0.9736	2	O	 
19	6	Y (Y)	6	N	Y	0.3857	0.9473	2	O	 
20	6	Y (Y)	6	N	Y	0.2571	0.9473	2	O	 
21	5	Y (Y)	6	N	Y	0.3678	0.9736	2	O	 
22	5	Y (Y)	5	N	Y	0.3857	0.9736	2	O	 
23	4	Y (Y)	6	Y	N	0.9500	1.0000	4	O	 
24	4	Y (Y)	6	N	Y	0.5642	0.7894	3	X	 
25	4	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
26	4	Y (Y)	6	N	Y	0.3857	0.9736	2	O	 
27	3	Y (Y)	6	N	Y	0.4642	0.9473	3	X	 
28	3	Y (Y)	6	N	Y	0.4178	1.0000	2	O	 
29	3	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
30	3	Y (Y)	6	N	Y	0.3892	0.8157	2	O	 
31	3	Y (Y)	6	N	Y	0.3892	0.8157	2	O	 
32	3	Y (Y)	6	N	Y	0.3464	0.6578	2	O	 
33	3	Y (Y)	5	N	Y	0.3928	0.9736	2	O	 
34	2	Y (Y)	6	N	Y	0.6888	0.9473	3	X	 
35	2	Y (Y)	6	N	Y	0.4535	0.9736	2	O	 
36	2	Y (Y)	6	N	Y	0.3892	0.6578	2	O	 
37	2	Y (Y)	5	N	Y	0.3107	0.9736	2	O	 
38	1	Y (Y)	6	N	Y	0.6904	0.8421	3	X	 
39	1	Y (Y)	6	N	Y	0.4071	0.8157	2	O	 
40	1	Y (Y)	6	N	Y	0.4035	0.9210	2	O	 
41	1	Y (Y)	6	N	Y	0.2892	0.9736	2	O	 
0	12	Y (Y)	6	N	Y	0.3535	0.8684	2	O	* 
