Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE2060-01-00	신호및시스템	3	정종문	월9,수8,9	공B004	60	35	60 (Y)	0	40	15	5	O	36	1	27	12.71
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	27	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
2	24	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
3	24	Y (Y)	6	N	Y	0.4785	0.7894	3	O	 
4	19	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
5	19	Y (Y)	6	N	N	0.5000	0.7894	3	O	 
6	18	Y (Y)	6	N	N	0.3428	0.0000	3	O	 
7	18	Y (Y)	4	N	N	0.7642	0.9473	4	O	 
8	17	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
9	16	Y (Y)	6	N	Y	0.5428	0.8157	3	O	 
10	15	Y (Y)	6	N	Y	0.6071	0.6315	3	O	 
11	15	Y (Y)	6	N	Y	0.4714	0.7368	4	O	 
12	15	Y (Y)	6	N	Y	0.4642	0.9473	3	O	 
13	15	Y (Y)	6	N	Y	0.3428	1.0000	2	O	 
14	14	Y (Y)	6	N	N	0.4785	0.9473	3	O	 
15	13	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
16	13	Y (Y)	6	N	N	0.4428	0.6315	3	O	 
17	13	Y (Y)	5	N	Y	0.4750	0.9736	2	O	 
18	12	Y (Y)	6	N	Y	0.5357	0.6315	3	O	 
19	12	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
20	12	Y (Y)	6	N	Y	0.4892	0.8947	3	O	 
21	11	Y (Y)	6	N	Y	0.5000	0.9210	3	X	 
22	11	Y (Y)	6	N	Y	0.4821	0.6578	3	X	 
23	11	Y (Y)	6	N	Y	0.3571	0.7368	2	O	 
24	10	Y (Y)	6	N	Y	0.7500	0.9722	4	O	 
25	10	Y (Y)	6	N	Y	0.6148	0.6315	4	O	 
26	10	Y (Y)	6	N	Y	0.4285	0.9473	2	O	 
27	10	Y (Y)	5	N	N	0.4321	0.1842	3	X	 
28	8	Y (Y)	6	N	Y	0.3964	0.8684	2	O	 
29	8	Y (Y)	6	N	Y	0.1928	0.6315	2	O	 
30	7	Y (Y)	6	N	Y	0.4964	0.9736	3	X	 
31	5	Y (Y)	6	N	Y	0.3678	0.8157	2	O	 
32	5	Y (Y)	6	N	N	0.4928	0.8421	3	X	 
33	4	Y (Y)	6	N	Y	0.2642	0.7894	2	O	 
34	3	Y (Y)	6	N	Y	0.4250	1.0000	2	O	 
35	1	Y (Y)	6	Y	N	0.8642	1.0000	4	O	 
