Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE2111-05-00	전기전자기초실험	3	테오벵진	목1(목2,3,4,5)	공A128(공A128)	20	32	20 (Y)	0	19	1	0	X	36	1	28	9.97
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	28	Y (Y)	6	N	Y	0.3642	0.7894	2	O	 
2	20	Y (Y)	6	N	Y	0.3857	0.7894	2	O	 
3	18	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
4	16	Y (Y)	6	N	Y	0.5357	0.9473	3	O	 
5	15	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
6	15	Y (Y)	6	N	Y	0.3928	0.7894	2	O	 
7	15	Y (Y)	6	N	Y	0.3678	0.8157	2	O	 
8	13	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
9	12	Y (Y)	6	N	Y	0.4142	1.0000	2	O	 
10	12	Y (Y)	6	N	Y	0.3857	0.9736	2	O	 
11	12	Y (Y)	5	N	Y	0.3892	0.8157	2	O	 
12	11	Y (Y)	6	N	Y	0.3357	0.6842	2	O	 
13	11	Y (Y)	6	N	Y	0.3285	0.6315	2	O	 
14	10	Y (Y)	6	N	Y	0.3928	0.9473	2	O	 
15	10	Y (Y)	6	N	Y	0.3928	0.9473	2	O	 
16	10	Y (Y)	6	N	Y	0.3928	0.7894	2	O	 
17	10	Y (Y)	6	N	Y	0.3785	0.6315	2	O	 
18	10	Y (Y)	6	N	Y	0.3571	0.8421	2	O	 
19	9	Y (Y)	6	N	Y	0.4107	0.9736	2	O	 
20	9	Y (Y)	6	N	Y	0.4107	0.8157	2	O	 
21	7	Y (Y)	6	N	Y	0.3250	0.6315	2	X	 
22	6	Y (Y)	6	N	Y	0.4071	0.9473	2	X	 
23	6	Y (Y)	6	N	Y	0.4071	0.9473	2	X	 
24	5	Y (Y)	6	N	Y	0.4107	0.9736	2	X	 
25	5	Y (Y)	6	N	Y	0.4000	0.7894	2	X	 
26	5	Y (Y)	6	N	Y	0.3928	0.7894	2	X	 
27	5	Y (Y)	6	N	Y	0.3714	0.7894	2	X	 
28	5	Y (Y)	5	N	Y	0.4071	0.7894	2	X	 
29	3	Y (Y)	6	N	Y	0.4107	0.9736	2	X	 
30	3	Y (Y)	6	N	Y	0.4107	0.9736	2	X	 
31	2	Y (Y)	6	N	Y	0.3857	0.8947	2	X	 
32	1	Y (Y)	6	N	Y	0.4107	0.9736	2	X	 
