Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE3313-06-00	전기전자응용실험	3	함범섭	금1(금2,3,4,5)	공A133(공A133)	20	29	20 (Y)	0	0	18	2	X	36	5	36	17.59
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.6428	0.7894	4	O	 
2	32	Y (Y)	5	N	Y	0.6714	0.9473	3	O	 
3	30	Y (Y)	6	N	Y	0.7285	1.0000	3	O	 
4	27	Y (Y)	6	N	Y	0.6535	0.9736	3	O	 
5	23	Y (Y)	6	N	Y	0.7285	0.9473	3	O	 
6	23	Y (Y)	5	N	Y	0.5571	1.0000	3	O	 
7	22	Y (Y)	6	N	Y	0.6785	0.8421	3	O	 
8	22	Y (Y)	6	N	Y	0.6500	0.8157	3	O	 
9	21	Y (Y)	6	N	Y	0.6607	1.0000	3	O	 
10	20	Y (Y)	6	N	Y	0.5035	0.9736	3	O	 
11	19	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
12	19	Y (Y)	6	N	Y	0.6750	0.9736	3	O	 
13	19	Y (Y)	6	N	Y	0.6214	0.7894	4	O	 
14	17	Y (Y)	6	N	Y	0.6785	1.0000	3	O	 
15	17	Y (Y)	6	N	Y	0.6071	0.9473	3	O	 
16	16	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
17	16	Y (Y)	6	N	Y	0.6142	0.9736	3	O	 
18	16	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
19	16	Y (Y)	6	N	Y	0.3785	0.7894	3	O	 
20	15	Y (Y)	6	N	Y	1.0000	1.0000	4	X	 
21	15	Y (Y)	6	N	Y	0.6071	0.7894	3	O	 
22	12	Y (Y)	6	N	Y	0.6071	1.0000	4	X	 
23	10	Y (Y)	6	N	Y	0.6571	0.8421	3	X	 
24	10	Y (Y)	6	N	Y	0.6285	0.7894	3	X	 
25	10	Y (Y)	6	N	Y	0.5785	0.9736	3	X	 
26	8	Y (Y)	6	N	Y	0.6714	0.9473	3	X	 
27	7	Y (Y)	6	N	Y	0.5785	0.9473	3	X	 
28	7	Y (Y)	6	N	Y	0.5071	0.7894	3	X	 
29	5	Y (Y)	6	N	Y	0.6285	0.9736	3	X	 
