Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE3430-04-00	통신이론	3	김동구	화8,목2,3	공B031	60	39	60 (Y)	0	0	50	10	O	36	1	36	7.26
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	2	Y	Y	1.0000	0.4736	4	O	 
2	23	Y (Y)	6	N	Y	0.9071	0.9473	4	O	 
3	16	Y (Y)	5	N	Y	0.5392	0.9736	3	O	 
4	15	Y (Y)	5	N	Y	0.5214	0.8157	3	O	 
5	14	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
6	13	Y (Y)	6	N	Y	0.5785	0.9473	3	O	 
7	13	Y (Y)	6	N	Y	0.5142	0.9473	3	O	 
8	13	Y (Y)	6	N	Y	0.4500	0.7894	3	O	 
9	12	Y (Y)	6	N	Y	0.4250	0.4736	3	O	 
10	10	Y (Y)	6	N	Y	0.5357	0.9473	3	O	 
11	8	Y (Y)	6	N	Y	0.7642	0.9473	4	O	 
12	8	Y (Y)	5	Y	N	0.8857	0.7368	4	O	 
13	7	Y (Y)	6	N	Y	0.6214	0.9473	3	O	 
14	7	Y (Y)	6	N	Y	0.5714	0.4736	4	O	 
15	7	Y (Y)	6	N	Y	0.5428	0.9736	3	O	 
16	7	Y (Y)	6	N	Y	0.5357	0.9473	3	O	 
17	6	Y (Y)	6	N	Y	0.5678	1.0000	3	O	 
18	6	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
19	6	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
20	6	Y (Y)	6	N	Y	0.3857	0.3421	3	O	 
21	5	Y (Y)	6	N	Y	0.5785	0.7894	3	O	 
22	5	Y (Y)	6	N	Y	0.5642	0.8421	3	O	 
23	5	Y (Y)	6	N	Y	0.5285	1.0000	3	O	 
24	5	Y (Y)	5	N	N	0.7642	0.9473	4	O	 
25	4	Y (Y)	6	N	Y	0.5571	1.0000	3	O	 
26	4	Y (Y)	5	N	Y	0.4571	0.9473	3	O	 
27	3	Y (Y)	6	N	Y	0.7642	0.7894	4	O	 
28	3	Y (Y)	6	N	Y	0.4214	0.6315	3	O	 
29	2	Y (Y)	6	N	Y	0.7428	1.0000	4	O	 
30	2	Y (Y)	6	N	Y	0.7357	1.0000	4	O	 
31	2	Y (Y)	6	N	Y	0.6142	1.0000	3	O	 
32	2	Y (Y)	6	N	Y	0.5214	1.0000	3	O	 
33	2	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
34	1	Y (Y)	6	Y	Y	0.9285	0.9473	4	O	 
35	1	Y (Y)	6	N	Y	0.7214	0.9473	4	X	 
36	1	Y (Y)	6	N	Y	0.7142	0.9473	4	X	 
37	1	Y (Y)	6	N	Y	0.6285	0.9473	3	O	 
38	1	Y (Y)	6	N	Y	0.5071	0.8421	3	O	 
39	1	Y (Y)	6	N	Y	0.4785	0.9473	3	O	 
