Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
EEE4476-02-00	전력및제어공학실험	3	허견	수2(수3,4,5,6)	공A130(공A130)	12	24	12 (Y)	0	0	0	12	X	36	2	36	21.5
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	0.8857	1.0000	4	O	 
2	36	Y (Y)	6	Y	Y	0.8857	0.9473	4	O	 
3	36	Y (Y)	6	N	Y	0.8071	0.7894	4	O	 
4	36	Y (Y)	5	Y	Y	0.9142	1.0000	4	O	 
5	36	Y (Y)	5	Y	Y	0.9000	0.6315	4	O	 
6	36	Y (Y)	2	Y	Y	1.0000	0.9473	4	O	 
7	35	Y (Y)	4	N	Y	0.9214	0.7894	4	O	 
8	30	Y (Y)	5	Y	Y	1.0000	0.9473	4	O	 
9	25	Y (Y)	6	N	Y	0.7285	0.8421	4	O	 
10	25	Y (Y)	5	Y	Y	1.0000	0.9473	4	O	 
11	21	Y (Y)	6	N	Y	0.7928	0.9473	4	O	 
12	20	Y (Y)	6	N	Y	0.8071	0.8421	4	O	 
13	20	Y (Y)	6	N	Y	0.7428	0.9473	4	X	 
14	20	Y (Y)	6	N	Y	0.6928	0.8421	4	X	 
15	20	Y (Y)	5	Y	Y	0.9071	1.0000	4	X	 
16	18	Y (Y)	4	Y	Y	0.9285	0.9473	4	X	 
17	18	Y (Y)	4	Y	Y	0.9142	0.7894	4	X	 
18	12	Y (Y)	5	N	Y	0.7071	0.8421	4	X	 
19	11	Y (Y)	6	Y	Y	0.8857	1.0000	4	X	 
20	11	Y (Y)	4	Y	Y	0.9071	0.7894	4	X	 
21	5	Y (Y)	6	N	Y	0.7428	0.6315	4	X	 
22	4	Y (Y)	6	N	Y	0.7928	0.9473	4	X	 
23	3	Y (Y)	6	N	Y	0.8428	0.7894	4	X	 
24	2	Y (Y)	6	N	Y	0.7571	0.9473	4	X	 
