Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL2002-01-00	영어말하기와토론	3	방펄	월7,8,수8	위203	20	50	10 (N)	0	0	0	0	O	36	10	36	30.68
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	0.9851	0.9473	4	O	 
2	36	Y (Y)	6	N	Y	0.8814	1.0000	4	O	 
3	36	Y (Y)	6	N	Y	0.8148	0.9473	4	O	 
4	36	Y (N)	6	N	Y	0.5805	1.0000	3	O	 
5	36	Y (Y)	6	N	Y	0.3333	1.0000	2	O	 
6	36	Y (Y)	6	N	Y	0.3037	1.0000	2	O	 
7	36	Y (Y)	6	N	Y	0.2888	1.0000	2	O	 
8	36	Y (Y)	6	N	Y	0.2666	0.8421	2	O	 
9	36	Y (Y)	6	N	Y	0.2666	0.8421	2	O	 
10	36	Y (Y)	5	Y	Y	0.8888	0.9473	4	O	 
11	36	Y (Y)	5	Y	Y	0.8888	0.8947	4	O	 
12	36	Y (Y)	5	N	Y	0.9037	0.8947	4	O	 
13	36	Y (Y)	5	N	Y	0.8222	0.9473	4	O	 
14	36	Y (Y)	5	N	Y	0.7333	0.9473	4	O	 
15	36	Y (Y)	5	N	Y	0.6740	0.9473	4	O	 
16	36	Y (N)	3	N	Y	1.0000	1.0000	4	O	 
17	35	Y (Y)	6	N	Y	0.8666	0.9473	4	O	 
18	35	Y (Y)	6	N	Y	0.7916	1.0000	4	O	 
19	35	Y (Y)	4	N	Y	0.3333	1.0000	2	O	 
20	35	Y (N)	2	Y	Y	1.0000	0.8333	4	O	 
21	35	N (N)	5	N	Y	0.8253	0.8333	4	X	 
22	32	Y (N)	6	Y	Y	1.0000	1.0000	4	X	 
23	32	Y (Y)	6	N	Y	0.8296	0.7894	4	X	 
24	32	Y (Y)	6	N	Y	0.7777	0.7894	4	X	 
25	32	Y (Y)	6	N	Y	0.6814	0.9473	4	X	 
26	32	Y (Y)	6	N	Y	0.2518	0.8421	2	X	 
27	32	Y (Y)	5	N	Y	0.9851	0.7894	4	X	 
28	32	Y (Y)	5	N	Y	0.7620	0.7894	4	X	 
29	32	Y (Y)	5	N	Y	0.7250	0.7894	4	X	 
30	31	Y (N)	6	N	Y	0.6583	0.7894	4	X	 
31	30	Y (Y)	6	N	Y	0.7685	0.9473	4	X	 
32	30	Y (Y)	6	N	Y	0.3037	0.9473	2	X	 
33	30	Y (Y)	5	N	Y	0.6962	0.7894	4	X	 
34	30	Y (Y)	4	N	Y	0.7777	0.9473	4	X	 
35	30	Y (Y)	3	N	Y	0.3962	0.9736	3	X	 
36	30	N (N)	6	N	Y	0.8492	1.0000	4	X	 
37	29	Y (Y)	6	N	Y	0.7703	0.7894	4	X	 
38	28	Y (Y)	6	N	Y	0.7842	0.9473	4	X	 
39	28	Y (Y)	6	N	Y	0.6666	0.7894	4	X	 
40	28	Y (Y)	5	N	Y	0.4777	0.7894	3	X	 
41	28	Y (Y)	3	N	Y	0.4296	0.8157	3	X	 
42	27	Y (N)	6	N	Y	0.8287	0.7894	4	X	 
43	27	Y (Y)	6	N	Y	0.7185	0.9473	4	X	 
44	27	Y (Y)	5	N	Y	0.4444	0.8684	3	X	 
45	26	Y (N)	6	N	Y	0.6746	0.6666	4	X	 
46	17	Y (Y)	6	N	Y	0.9333	0.9473	4	X	 
47	15	N (N)	6	N	Y	0.7703	0.9473	4	X	 
48	13	N (N)	5	N	Y	0.5000	0.9375	3	X	 
49	13	N (N)	5	N	Y	0.3111	0.8947	2	X	 
50	10	N (N)	5	N	Y	0.7370	0.8421	4	X	 
