Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL2002-02-00	영어말하기와토론	3	이태희	화4,목5,6	위B08	20	22	10 (N)	0	0	0	0	O	36	1	36	18.68
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.7037	0.9473	4	O	 
2	36	Y (Y)	6	N	Y	0.3925	0.8947	3	O	 
3	36	N (N)	6	N	Y	0.7500	0.8750	4	O	 
4	32	N (N)	5	N	Y	0.4107	0.3421	3	O	 
5	32	N (N)	4	N	Y	0.8809	0.5263	4	O	 
6	30	N (N)	5	N	Y	0.7500	0.8750	4	O	 
7	25	Y (N)	6	N	Y	0.7916	0.9473	4	O	 
8	25	Y (Y)	6	N	Y	0.7546	0.9473	4	O	 
9	25	Y (Y)	6	N	Y	0.7111	0.4736	4	O	 
10	23	Y (Y)	6	N	Y	0.4000	0.7894	2	O	 
11	20	Y (Y)	6	N	Y	0.5259	0.7894	4	O	 
12	20	N (N)	6	N	Y	0.3253	1.0000	2	O	 
13	13	Y (Y)	6	N	Y	0.5407	0.7894	4	O	 
14	13	Y (Y)	6	N	Y	0.5296	0.7631	3	O	 
15	12	Y (Y)	6	N	Y	0.6740	0.7894	4	O	 
16	10	N (N)	6	N	Y	0.5793	1.0000	3	O	 
17	8	Y (Y)	6	N	Y	0.8074	1.0000	4	O	 
18	8	Y (Y)	6	N	Y	0.5592	0.9736	3	O	 
19	4	N (N)	6	N	Y	0.3492	1.0000	2	O	 
20	1	Y (Y)	6	N	Y	0.4296	0.7894	3	O	 
21	1	Y (Y)	6	N	Y	0.3111	0.9473	2	X	 
22	1	N (N)	5	N	Y	0.5000	0.8750	3	X	 
