Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL2504-01-00	영국문학개관(2)	3	김준환	화5,6,목4	위215	40	31	0 (N)	0	0	0	0	O	36	1	16	6.61
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	16	Y (N)	6	N	Y	0.8888	1.0000	4	O	 
2	16	Y (N)	6	N	Y	0.8095	1.0000	4	O	 
3	16	Y (Y)	4	N	Y	0.5000	0.9375	3	O	 
4	14	Y (Y)	6	N	Y	0.4666	0.7368	3	O	 
5	13	Y (Y)	6	N	Y	0.4962	0.7894	3	O	 
6	12	Y (Y)	6	N	Y	0.3814	0.8157	2	O	 
7	11	Y (Y)	6	N	Y	0.8444	0.6315	4	O	 
8	10	Y (Y)	6	N	Y	0.3407	0.6315	2	O	 
9	10	Y (Y)	6	N	Y	0.2666	0.6842	2	O	 
10	10	Y (Y)	5	N	Y	0.5629	0.9736	3	O	 
11	9	Y (Y)	6	N	Y	0.9259	0.9473	4	O	 
12	9	Y (Y)	6	N	Y	0.7555	0.9473	4	O	 
13	9	N (N)	6	N	Y	0.6746	0.9722	3	O	 
14	8	Y (Y)	6	N	Y	0.6518	0.8421	3	O	 
15	8	Y (Y)	6	N	Y	0.4259	0.9736	2	O	 
16	5	Y (Y)	6	N	Y	0.6592	0.8947	3	O	 
17	5	N (N)	6	N	Y	0.8962	0.7894	4	O	 
18	3	Y (N)	6	N	Y	1.0000	1.0000	4	O	 
19	3	Y (Y)	6	N	Y	0.3925	0.7894	2	O	 
20	2	Y (Y)	6	N	Y	0.4555	0.8684	2	O	 
21	2	Y (Y)	6	N	Y	0.4111	0.9736	2	O	 
22	2	Y (Y)	6	N	Y	0.4111	0.9210	2	O	 
23	2	Y (Y)	6	N	Y	0.3888	0.9210	2	O	 
24	2	Y (Y)	6	N	Y	0.3629	0.8684	2	O	 
25	2	N (N)	6	N	Y	0.7460	1.0000	3	O	 
26	1	Y (N)	6	N	Y	0.8370	0.9473	4	O	 
27	1	Y (Y)	6	N	Y	0.6685	0.8157	3	O	 
28	1	Y (Y)	6	N	Y	0.6657	0.8684	3	O	 
29	1	Y (Y)	6	N	Y	0.4592	1.0000	2	O	 
30	1	Y (N)	6	N	Y	0.4365	1.0000	2	O	 
31	1	N (N)	6	N	Y	0.5039	1.0000	2	O	 
