Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL3707-01-00	20세기미국소설	3	문상영	화8,9,목7	외106	40	26	0 (N)	0	0	0	0	O	12	1	12	6.23
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	N (N)	6	Y	Y	0.9523	0.8888	4	O	 
2	12	N (N)	6	Y	Y	0.9333	0.7894	4	O	 
3	12	N (N)	6	N	Y	0.4703	0.8421	3	O	 
4	12	N (N)	6	N	Y	0.4365	0.8333	2	O	 
5	12	N (N)	6	N	Y	0.4074	0.9736	2	O	 
6	12	N (N)	6	N	Y	0.4007	0.8611	2	O	 
7	12	N (N)	6	N	Y	0.3925	0.7894	2	O	 
8	12	N (N)	6	N	Y	0.3814	0.6578	2	O	 
9	12	N (N)	5	N	Y	0.8815	0.7083	2	O	 
10	8	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
11	8	N (N)	6	N	Y	0.3740	0.8684	2	O	 
12	7	N (N)	6	N	Y	0.4962	0.8157	3	O	 
13	7	N (N)	6	N	Y	0.3925	0.8157	2	O	 
14	6	N (N)	6	N	Y	0.3925	0.8157	2	O	 
15	3	N (N)	6	N	Y	0.8101	0.8947	4	O	 
16	2	N (N)	6	N	Y	0.8888	0.7894	4	O	 
17	2	N (N)	6	N	Y	0.5777	0.6315	3	O	 
18	2	N (N)	6	N	Y	0.5555	0.9736	3	O	 
19	2	N (N)	6	N	Y	0.3962	0.8157	2	O	 
20	1	N (N)	6	N	Y	0.6666	0.9444	3	O	 
21	1	N (N)	6	N	Y	0.5925	0.8157	3	O	 
22	1	N (N)	6	N	Y	0.4484	1.0000	2	O	 
23	1	N (N)	6	N	Y	0.4259	0.6842	3	O	 
24	1	N (N)	6	N	Y	0.4037	0.8684	2	O	 
25	1	N (N)	6	N	Y	0.3074	0.6578	2	O	 
26	1	N (N)	5	N	Y	0.4404	0.9722	2	O	 
