Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ELL3915-01-00	대화분석의기초	3	이승희	월7,8,수8	외106	40	34	0 (N)	0	0	0	0	O	12	2	12	10.44
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	12	N (N)	6	Y	Y	0.9851	0.3157	4	O	 
2	12	N (N)	6	Y	Y	0.9111	0.6315	4	O	 
3	12	N (N)	6	Y	Y	0.8962	0.9473	4	O	 
4	12	N (N)	6	Y	Y	0.8518	0.9473	4	O	 
5	12	N (N)	6	N	Y	0.8962	0.9473	4	O	 
6	12	N (N)	6	N	Y	0.7990	0.7894	4	O	 
7	12	N (N)	6	N	Y	0.7407	0.6315	4	O	 
8	12	N (N)	6	N	Y	0.7398	0.8421	4	O	 
9	12	N (N)	6	N	Y	0.6296	0.9736	4	O	 
10	12	N (N)	6	N	Y	0.6296	0.9473	3	O	 
11	12	N (N)	6	N	Y	0.6148	0.8947	3	O	 
12	12	N (N)	6	N	Y	0.5407	0.6315	3	O	 
13	12	N (N)	6	N	Y	0.4740	0.8157	3	O	 
14	12	N (N)	6	N	Y	0.4481	0.9736	2	O	 
15	12	N (N)	6	N	Y	0.4407	0.7894	3	O	 
16	12	N (N)	6	N	Y	0.4333	0.9736	2	O	 
17	12	N (N)	6	N	Y	0.4222	0.7894	2	O	 
18	12	N (N)	6	N	Y	0.4037	0.9736	2	O	 
19	12	N (N)	6	N	Y	0.3814	0.8157	2	O	 
20	12	N (N)	6	N	Y	0.3592	0.7105	2	O	 
21	12	N (N)	6	N	Y	0.2740	1.0000	2	O	 
22	12	N (N)	5	N	Y	0.8814	0.7894	4	O	 
23	12	N (N)	5	N	Y	0.5000	0.9375	3	O	 
24	12	N (N)	3	N	Y	0.2500	0.8881	2	O	 
25	11	N (N)	6	N	Y	0.3888	0.8684	2	O	 
26	11	N (N)	6	N	Y	0.3370	0.8157	2	O	 
27	10	N (N)	6	N	Y	0.3185	1.0000	2	O	 
28	8	N (N)	5	N	Y	0.7962	0.9473	3	O	 
29	8	N (N)	4	N	Y	0.5000	0.8750	3	O	 
30	7	N (N)	6	N	Y	0.2814	0.9473	2	O	 
31	5	N (N)	5	N	Y	0.3703	0.8947	2	O	 
32	3	N (N)	6	Y	Y	1.0000	0.3684	4	O	 
33	2	N (N)	6	N	Y	0.4222	0.8157	2	O	 
34	2	N (N)	5	N	Y	0.8518	0.9473	4	O	 
