Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ENG3405-01-00	창업404: 지역사회를위한창의적문제해결	3	강소연	수7,8,9	공D510	27	61	20 (Y)	0	0	0	0	O	36	1	36	24.7
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	0.9285	0.9473	4	O	 
2	36	Y (Y)	6	Y	Y	0.8928	0.7894	4	O	 
3	36	Y (Y)	6	Y	Y	0.8857	0.9473	4	O	 
4	36	Y (Y)	6	N	Y	0.9071	0.7894	4	O	 
5	36	Y (Y)	6	N	Y	0.8857	0.9473	4	O	 
6	36	Y (Y)	6	N	Y	0.6928	0.9473	3	O	 
7	36	Y (Y)	6	N	Y	0.4857	0.9473	3	O	 
8	36	Y (Y)	5	Y	Y	0.9259	1.0000	4	O	 
9	36	Y (Y)	5	Y	Y	0.8928	0.9473	4	O	 
10	36	Y (Y)	4	Y	Y	0.9071	0.8947	4	O	 
11	36	Y (Y)	3	N	Y	0.9642	0.7894	4	O	 
12	36	N (N)	6	Y	Y	0.9047	1.0000	4	O	 
13	36	N (N)	6	N	Y	0.6814	1.0000	3	O	 
14	36	N (N)	6	N	Y	0.6518	0.7894	4	O	 
15	36	N (N)	3	Y	Y	1.0000	0.4736	4	O	 
16	36	N (N)	3	Y	Y	0.9285	1.0000	4	O	 
17	36	N (N)	3	N	Y	0.9285	0.8333	4	O	 
18	35	Y (Y)	6	Y	Y	0.8500	0.6842	4	O	 
19	35	Y (Y)	6	N	Y	0.8357	0.6842	4	O	 
20	35	N (N)	5	Y	Y	0.9185	0.7894	4	O	 
21	35	N (N)	4	N	Y	0.8518	0.8421	4	X	 
22	34	Y (Y)	6	N	Y	0.9214	0.8947	4	O	 
23	34	Y (Y)	4	N	Y	0.8948	1.0000	4	O	 
24	34	N (N)	6	N	Y	0.7857	0.8888	4	X	 
25	34	N (N)	4	N	Y	0.8095	0.8333	4	X	 
26	33	Y (Y)	6	N	Y	0.7928	0.9473	4	O	 
27	31	Y (Y)	6	Y	Y	0.8857	0.7894	4	O	 
28	30	Y (Y)	6	Y	Y	0.8857	0.9473	4	O	 
29	29	Y (Y)	6	N	Y	0.6000	1.0000	3	O	 
30	27	Y (Y)	6	N	Y	0.6142	0.7894	3	O	 
31	27	Y (Y)	6	N	Y	0.5214	0.9473	3	X	 
32	26	Y (Y)	6	Y	Y	0.8857	1.0000	4	X	 
33	26	Y (Y)	6	N	Y	0.6285	0.9473	3	X	 
34	23	Y (Y)	6	N	Y	0.6571	0.8421	3	X	 
35	22	Y (Y)	6	N	Y	0.6571	0.7894	3	X	 
36	22	Y (Y)	6	N	Y	0.4214	1.0000	3	X	 
37	22	N (N)	5	Y	Y	0.8809	0.6666	4	X	 
38	21	Y (Y)	6	N	Y	0.7000	0.9473	3	X	 
39	21	Y (Y)	6	N	Y	0.6642	0.9473	3	X	 
40	21	N (N)	6	Y	Y	0.8571	1.0000	4	X	 
41	20	Y (Y)	5	Y	Y	0.9000	0.9473	4	X	 
42	20	N (N)	5	Y	Y	0.8809	0.8333	4	X	 
43	19	Y (Y)	6	N	Y	0.3892	0.9736	2	X	 
44	16	Y (Y)	6	N	Y	0.7964	0.9166	3	X	 
45	16	Y (Y)	6	N	Y	0.6571	0.8421	3	X	 
46	16	Y (Y)	6	N	Y	0.6571	0.8421	3	X	 
47	16	Y (Y)	6	N	Y	0.6285	0.9473	3	X	 
48	15	Y (Y)	6	N	Y	0.6500	0.9736	3	X	 
49	15	Y (Y)	6	N	Y	0.6000	1.0000	3	X	 
50	14	Y (Y)	6	Y	Y	0.8714	0.9473	4	X	 
51	13	Y (Y)	6	N	Y	0.7428	0.6315	4	X	 
52	13	N (N)	6	Y	Y	1.0000	1.0000	4	X	 
53	13	N (N)	6	N	Y	0.6746	1.0000	3	X	 
54	11	Y (Y)	6	Y	Y	1.0000	0.2631	4	X	 
55	11	N (N)	5	N	Y	0.6785	0.7777	3	X	 
56	4	N (N)	6	N	Y	0.4325	0.8611	2	X	 
57	2	N (N)	6	N	Y	0.3968	0.6666	2	X	 
58	1	Y (Y)	6	Y	Y	0.9571	1.0000	4	X	 
59	1	Y (Y)	6	Y	Y	0.9428	0.8947	4	X	 
60	1	Y (Y)	6	Y	Y	0.9285	1.0000	4	X	 
61	1	Y (Y)	6	N	Y	0.7857	0.9473	4	X	 
