Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ESS2112-01-00	지구화학개론	3	이기현	화8/목7,8	과S222/과B104	50	58	0 (N)	0	0	0	0	O	36	1	36	6.69
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	3	Y	Y	0.9185	0.6315	4	O	 
2	25	N (N)	6	N	Y	0.4370	0.9473	2	O	 
3	16	N (N)	6	N	Y	0.7111	1.0000	3	O	 
4	15	N (N)	6	N	Y	0.7481	0.8947	4	O	 
5	15	N (N)	6	N	Y	0.6407	0.8157	3	O	 
6	15	N (N)	5	N	Y	0.4259	0.9736	2	O	 
7	14	N (N)	6	N	Y	0.2851	1.0000	2	O	 
8	13	N (N)	6	N	Y	0.6888	1.0000	3	O	 
9	12	N (N)	6	N	Y	0.9111	0.8421	4	O	 
10	12	N (N)	6	N	Y	0.5925	0.9473	3	O	 
11	11	N (N)	6	N	Y	0.3777	0.8157	2	O	 
12	10	N (N)	6	N	Y	0.7703	0.9473	4	O	 
13	10	N (N)	6	N	Y	0.6444	0.9473	3	O	 
14	10	N (N)	6	N	Y	0.5925	0.7894	3	O	 
15	10	N (N)	6	N	Y	0.3888	0.8684	2	O	 
16	10	N (N)	5	N	Y	0.6074	1.0000	3	O	 
17	8	N (N)	6	N	Y	0.9629	0.1578	4	O	 
18	8	N (N)	6	N	Y	0.6518	0.9473	3	O	 
19	8	N (N)	6	N	Y	0.6370	0.9473	3	O	 
20	8	N (N)	6	N	Y	0.3370	0.6842	2	O	 
21	8	N (N)	5	Y	Y	1.0000	0.3157	4	O	 
22	7	N (N)	6	N	Y	0.3777	0.9473	2	O	 
23	6	N (N)	6	N	Y	0.3703	0.8421	2	O	 
24	6	N (N)	6	N	Y	0.2962	0.7894	2	O	 
25	5	N (N)	6	N	Y	0.4259	0.9736	2	O	 
26	5	N (N)	6	N	Y	0.3962	0.8157	2	O	 
27	5	N (N)	6	N	Y	0.3777	0.8157	2	O	 
28	5	N (N)	5	N	Y	0.4222	0.8157	2	O	 
29	4	N (N)	6	N	Y	0.7851	0.7894	4	O	 
30	4	N (N)	6	N	Y	0.5407	0.9473	3	O	 
31	4	N (N)	6	N	Y	0.5296	1.0000	2	O	 
32	4	N (N)	6	N	Y	0.4555	1.0000	2	O	 
33	4	N (N)	6	N	Y	0.4111	1.0000	2	O	 
34	3	N (N)	6	N	Y	0.7777	0.9473	4	O	 
35	3	N (N)	6	N	Y	0.7481	0.8947	3	O	 
36	3	N (N)	6	N	Y	0.6592	0.9473	3	O	 
37	3	N (N)	6	N	Y	0.5555	0.7894	3	O	 
38	3	N (N)	6	N	Y	0.5259	0.4736	3	O	 
39	3	N (N)	6	N	Y	0.4629	1.0000	2	O	 
40	3	N (N)	6	N	Y	0.4296	0.8157	3	O	 
41	3	N (N)	6	N	Y	0.4259	0.8684	2	O	 
42	3	N (N)	6	N	Y	0.4222	0.9736	2	O	 
43	3	N (N)	6	N	Y	0.4037	0.8157	2	O	 
44	3	N (N)	6	N	Y	0.2666	0.7105	2	O	 
45	3	N (N)	6	N	Y	0.2148	0.8157	2	O	 
46	3	N (N)	5	N	Y	0.4333	1.0000	2	O	 
47	2	N (N)	6	N	Y	0.8518	0.6842	4	O	 
48	2	N (N)	6	N	Y	0.3814	0.8157	2	O	 
49	2	N (N)	6	N	Y	0.3777	0.6315	2	O	 
50	2	N (N)	4	N	Y	0.4333	0.9210	2	O	 
51	1	N (N)	6	Y	Y	0.8444	0.8421	4	X	 
52	1	N (N)	6	N	Y	0.7777	1.0000	4	X	 
53	1	N (N)	6	N	Y	0.6222	0.8421	3	X	 
54	1	N (N)	6	N	Y	0.3928	0.9473	2	X	 
55	1	N (N)	6	N	Y	0.3592	0.8421	2	X	 
56	1	N (N)	6	N	Y	0.3407	0.7894	2	X	 
57	1	N (N)	6	N	Y	0.2740	0.9473	2	X	 
58	1	N (N)	6	N	Y	0.2666	1.0000	2	X	 
