Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ESS4133-01-00	퇴적환경학	3	김원석	화9,목8,9	과S222	50	25	0 (N)	0	0	0	0	O	36	1	20	6.24
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	20	N (N)	6	N	Y	0.9037	0.8421	4	O	 
2	20	N (N)	4	N	Y	0.5000	0.9375	3	O	 
3	20	N (N)	2	Y	Y	1.0000	0.4736	4	O	 
4	12	N (N)	6	N	Y	0.7740	0.8421	4	O	 
5	12	N (N)	6	N	Y	0.6592	0.9736	4	O	 
6	12	N (N)	6	N	Y	0.4888	0.9736	3	O	 
7	10	N (N)	5	N	Y	0.5592	0.8684	3	O	 
8	10	N (N)	4	N	Y	0.7481	0.7894	4	O	 
9	5	N (N)	6	N	Y	0.6851	0.8157	4	O	 
10	5	N (N)	6	N	Y	0.6518	0.7894	3	O	 
11	5	N (N)	6	N	Y	0.5851	0.6315	3	O	 
12	3	N (N)	6	N	Y	0.9629	1.0000	4	O	 
13	3	N (N)	6	N	Y	0.6814	0.9473	3	O	 
14	3	N (N)	6	N	Y	0.6518	0.9736	3	O	 
15	3	N (N)	6	N	Y	0.5962	0.9473	3	O	 
16	3	N (N)	5	N	Y	0.3518	0.7105	2	O	 
17	2	N (N)	6	N	Y	0.5222	0.8157	3	O	 
18	1	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
19	1	N (N)	6	N	Y	0.7500	0.9722	4	O	 
20	1	N (N)	6	N	Y	0.6518	1.0000	3	O	 
21	1	N (N)	6	N	Y	0.6111	0.7894	3	O	 
22	1	N (N)	6	N	Y	0.4962	0.8684	3	O	 
23	1	N (N)	6	N	Y	0.4888	0.8684	3	O	 
24	1	N (N)	6	N	Y	0.4666	0.7894	3	O	 
25	1	N (N)	6	N	Y	0.3555	0.7894	2	O	 
