Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GER4104-01-00	독일교양소설의역사	3	홍길표	월7,8,수8	위204	30	29	0 (N)	0	0	0	0	O	36	1	36	13.76
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	Y	Y	0.8666	1.0000	4	O	 
2	27	N (N)	6	Y	Y	1.0000	1.0000	4	O	 
3	25	N (N)	5	N	Y	0.8148	0.9473	4	O	 
4	21	N (N)	5	Y	Y	0.9703	0.7894	4	O	 
5	20	N (N)	6	N	Y	0.8148	0.9473	4	O	 
6	20	N (N)	6	N	Y	0.5000	0.8881	3	O	 
7	20	N (N)	5	N	Y	0.9333	0.9473	4	O	 
8	20	N (N)	5	N	Y	0.8592	0.9473	4	O	 
9	18	N (N)	6	N	Y	0.6074	0.7894	4	O	 
10	16	N (N)	6	N	Y	0.8212	0.9473	4	O	 
11	15	N (N)	6	N	Y	0.5037	0.9473	3	O	 
12	15	N (N)	6	N	Y	0.4740	0.9473	3	O	 
13	15	N (N)	5	N	Y	0.8814	0.9473	4	O	 
14	14	N (N)	6	N	Y	0.7555	0.9473	4	O	 
15	14	N (N)	6	N	Y	0.6657	0.9473	3	O	 
16	12	N (N)	6	N	Y	0.7777	1.0000	4	O	 
17	12	N (N)	6	N	Y	0.4888	0.8157	3	O	 
18	11	N (N)	6	N	Y	0.6222	0.9473	3	O	 
19	11	N (N)	6	N	Y	0.4444	0.6315	3	O	 
20	10	N (N)	6	N	Y	0.6666	0.8947	3	O	 
21	10	N (N)	6	N	Y	0.3037	1.0000	2	O	 
22	9	N (N)	6	Y	Y	0.8814	1.0000	4	O	 
23	6	N (N)	6	N	Y	0.5000	0.8881	3	O	 
24	4	N (N)	5	N	Y	0.7407	0.9473	4	O	 
25	3	N (N)	6	N	Y	0.4953	0.7894	3	O	 
26	1	N (N)	6	Y	Y	0.8148	1.0000	4	O	 
27	1	N (N)	6	N	Y	0.9546	0.9473	4	O	 
28	1	N (N)	6	N	Y	0.6666	0.7894	3	O	 
0	12	N (N)	6	N	Y	0.9333	0.9473	4	O	* 
