Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
GIC2304-01-00	세계화:이론과실제	3	이효원	월7,8,수8	상본B106	40	36	40 (N)	0	30	10	0	X	36	1	32	11.06
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	32	Y (Y)	6	N	Y	0.5555	0.8611	3	O	 
2	24	Y (Y)	6	N	Y	0.4920	0.8611	3	O	 
3	20	Y (Y)	6	N	Y	0.5039	0.6944	3	O	 
4	20	Y (Y)	5	N	Y	0.5039	0.3333	3	O	 
5	20	Y (Y)	5	N	Y	0.3174	0.9444	2	O	 
6	18	Y (Y)	6	N	Y	0.4920	0.8611	3	O	 
7	17	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
8	16	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
9	15	Y (Y)	6	N	Y	0.5436	0.9166	3	O	 
10	15	Y (Y)	6	N	Y	0.4325	1.0000	2	O	 
11	14	Y (Y)	6	N	Y	0.2936	0.9444	2	O	 
12	13	Y (Y)	6	N	Y	0.2103	0.3333	2	O	 
13	12	Y (Y)	6	N	Y	0.6071	1.0000	3	O	 
14	12	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
15	10	Y (Y)	6	N	Y	0.5555	0.8611	3	O	 
16	10	Y (Y)	6	N	Y	0.5238	0.8611	3	O	 
17	10	Y (Y)	6	N	Y	0.4920	1.0000	3	X	 
18	10	Y (Y)	6	N	Y	0.4166	0.9166	2	O	 
19	10	Y (Y)	6	N	Y	0.3531	0.5277	2	O	 
20	9	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
21	9	Y (Y)	6	N	Y	0.2857	0.8333	2	O	 
22	8	Y (Y)	6	N	Y	0.5714	1.0000	3	X	 
23	8	Y (Y)	6	N	Y	0.5476	0.8611	3	X	 
24	8	Y (Y)	6	N	Y	0.5357	1.0000	3	X	 
25	7	Y (Y)	6	N	Y	0.5277	0.8611	3	X	 
26	7	Y (Y)	5	N	Y	0.3095	1.0000	2	O	 
27	6	Y (Y)	6	N	Y	0.4603	1.0000	3	X	 
28	6	Y (Y)	6	N	Y	0.3015	1.0000	2	O	 
29	5	Y (Y)	6	N	Y	0.4722	0.8611	3	X	 
30	5	Y (Y)	6	N	Y	0.3690	0.8055	2	O	 
31	5	Y (Y)	6	N	Y	0.3174	1.0000	2	O	 
32	5	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
33	4	Y (Y)	6	N	Y	0.3095	1.0000	2	O	 
34	4	Y (Y)	6	N	Y	0.2619	0.8888	2	O	 
35	3	Y (Y)	6	N	Y	0.2936	0.8333	2	O	 
36	1	Y (Y)	6	N	Y	0.5317	0.9722	3	X	 
