Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IEE3580-01-00	KOREAN GOVERNMENT AND PUBLIC POLICY	3	이사빈	월3,4,수4	연218	40	47	0 (N)	0	0	0	0	O	36	1	36	14.04
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	3	N	Y	0.5000	0.8750	3	O	 
2	36	N (N)	2	N	Y	0.5000	0.8750	3	O	 
3	35	N (N)	3	N	Y	0.7500	1.0000	4	O	 
4	27	N (N)	4	N	Y	0.7500	0.8750	4	O	 
5	25	N (N)	6	N	Y	0.5000	0.8750	3	O	 
6	24	N (N)	3	N	Y	0.5000	0.8750	3	O	 
7	22	N (N)	4	N	Y	0.7500	1.0000	4	O	 
8	20	N (N)	5	N	Y	0.5000	0.8750	3	O	 
9	20	N (N)	5	N	Y	0.5000	0.8750	3	O	 
10	20	N (N)	4	N	Y	0.7500	0.9375	4	O	 
11	19	N (N)	5	N	Y	0.5000	0.8750	3	O	 
12	19	N (N)	4	N	Y	0.7500	0.9375	4	O	 
13	18	N (N)	6	N	Y	0.5000	0.8750	3	O	 
14	18	N (N)	5	N	Y	0.5000	0.8750	3	O	 
15	18	N (N)	4	N	Y	0.7500	0.8750	4	O	 
16	18	N (N)	4	N	Y	0.7500	0.8750	4	O	 
17	16	N (N)	4	N	Y	0.7500	0.8750	4	O	 
18	16	N (N)	4	N	Y	0.5000	0.9375	3	O	 
19	16	N (N)	4	N	Y	0.5000	0.8750	3	O	 
20	15	N (N)	5	N	Y	0.7500	1.0000	4	O	 
21	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
22	15	N (N)	5	N	Y	0.5000	0.8750	3	O	 
23	14	N (N)	5	N	Y	0.7500	0.8750	4	O	 
24	14	N (N)	5	N	Y	0.7500	0.8750	4	O	 
25	14	N (N)	5	N	Y	0.5000	0.9375	3	O	 
26	12	N (N)	6	N	Y	0.5000	0.9375	3	O	 
27	12	N (N)	5	N	Y	0.7500	0.9375	4	O	 
28	12	N (N)	5	N	Y	0.5000	0.9375	3	O	 
29	12	N (N)	5	N	Y	0.5000	0.8750	3	O	 
30	12	N (N)	4	N	Y	0.5000	0.8750	3	O	 
31	11	N (N)	5	N	Y	0.5000	0.9375	3	O	 
32	10	N (N)	6	N	Y	0.5000	0.8750	3	O	 
33	10	N (N)	6	N	Y	0.5000	0.8750	3	O	 
34	10	N (N)	4	N	Y	0.2500	0.8750	2	O	 
35	9	N (N)	5	N	Y	0.5000	0.9722	3	O	 
36	8	N (N)	6	N	Y	0.5000	0.8750	3	O	 
37	8	N (N)	5	N	Y	0.5000	0.8750	3	O	 
38	6	N (N)	5	N	Y	0.5000	0.8750	3	O	 
39	4	N (N)	6	N	Y	0.7500	0.8750	4	O	 
40	3	N (N)	6	N	Y	0.7500	0.8750	4	O	 
41	3	N (N)	5	N	Y	0.5000	0.8750	3	X	 
42	2	N (N)	5	N	Y	0.7500	0.8750	4	X	 
43	2	N (N)	5	N	Y	0.7500	0.8750	4	X	 
44	1	N (N)	6	N	Y	0.5000	0.9375	3	X	 
45	1	N (N)	5	N	Y	0.2500	0.8750	2	X	 
46	1	N (N)	4	N	Y	0.7500	0.8750	4	X	 
47	1	N (N)	4	N	Y	0.2500	0.9375	2	X	 
