Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
IIT4312-01-00	메카트로닉스프로젝트	4	서지원	목7,8,9,10,11,12,13,14	I자A311	25	31	0 (N)	0	0	0	0	X	36	1	36	15.61
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.6392	0.9375	3	O	 
2	36	Y (Y)	6	N	Y	0.3607	1.0000	2	O	 
3	36	Y (Y)	6	N	Y	0.3214	0.9583	2	O	 
4	36	Y (Y)	6	N	Y	0.3178	0.9375	2	O	 
5	36	Y (Y)	6	N	Y	0.3142	0.9166	2	O	 
6	35	Y (Y)	4	N	Y	0.5785	0.4375	3	O	 
7	31	Y (Y)	6	N	Y	0.6357	0.9375	3	O	 
8	26	Y (Y)	6	N	Y	0.3214	0.9583	2	O	 
9	24	Y (Y)	6	N	Y	0.6500	0.7708	3	O	 
10	23	Y (Y)	6	N	Y	0.3035	0.8125	2	O	 
11	21	Y (Y)	6	N	Y	0.3535	1.0000	2	O	 
12	20	Y (Y)	6	N	Y	0.3500	0.9583	2	O	 
13	18	Y (Y)	6	N	Y	0.5964	0.8750	3	O	 
14	18	Y (Y)	6	N	Y	0.3214	0.9583	2	O	 
15	16	Y (Y)	6	N	Y	0.2535	0.6875	2	O	 
16	14	Y (Y)	6	N	Y	0.6428	0.8125	3	O	 
17	14	Y (Y)	6	N	Y	0.2964	0.8125	2	O	 
18	12	Y (Y)	6	N	Y	0.6035	0.7916	3	O	 
19	10	Y (Y)	6	N	Y	0.6142	0.9166	3	O	 
20	4	Y (Y)	6	N	Y	0.6178	0.8541	3	O	 
21	3	Y (Y)	6	N	Y	0.6428	0.7916	3	O	 
22	2	Y (Y)	6	N	Y	0.7535	0.7708	3	O	 
23	2	Y (Y)	6	N	Y	0.6214	0.8541	3	O	 
24	2	Y (Y)	6	N	Y	0.6178	0.8125	3	O	 
25	2	Y (Y)	6	N	Y	0.6071	0.9375	3	O	 
26	2	Y (Y)	6	N	Y	0.5964	0.7708	3	X	 
27	1	Y (Y)	6	N	Y	0.6142	0.8541	3	X	 
28	1	Y (Y)	6	N	Y	0.6000	1.0000	3	X	 
29	1	Y (Y)	6	N	Y	0.6000	0.9375	3	X	 
30	1	Y (Y)	6	N	Y	0.3214	0.9166	2	X	 
31	1	Y (Y)	6	N	Y	0.2607	0.5833	2	X	 
