Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
ISM3528-01-00	EAST AND WEST: FUNDAMENTALS OF WORLD POLITICS	3	최영진	월7,8,9	새천215	27	33	27 (Y)	0	0	0	0	X	36	1	36	11.3
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.3253	0.9444	2	O	 
2	36	Y (Y)	4	Y	Y	0.9047	1.0000	4	O	 
3	36	Y (Y)	4	N	Y	0.8095	0.6666	4	O	 
4	26	Y (Y)	6	N	Y	0.5555	1.0000	3	O	 
5	19	Y (Y)	6	N	Y	0.5873	0.8333	3	O	 
6	17	Y (Y)	5	N	Y	0.6666	1.0000	3	O	 
7	15	Y (Y)	5	N	Y	0.6666	0.6666	4	O	 
8	13	Y (Y)	4	N	Y	0.5714	0.8611	3	O	 
9	12	Y (Y)	5	N	Y	0.8412	0.7222	4	O	 
10	11	Y (Y)	6	N	Y	0.7996	0.6666	4	O	 
11	11	Y (Y)	5	N	Y	0.7380	1.0000	3	O	 
12	11	Y (Y)	4	N	Y	0.8571	1.0000	4	O	 
13	10	Y (Y)	6	N	Y	0.9285	0.8333	4	O	 
14	10	Y (Y)	6	N	Y	0.7222	0.5000	4	O	 
15	10	Y (Y)	6	N	Y	0.5952	1.0000	3	O	 
16	10	Y (Y)	6	N	Y	0.5476	1.0000	3	O	 
17	10	Y (Y)	6	N	Y	0.4246	1.0000	2	O	 
18	10	Y (Y)	6	N	Y	0.2698	0.8888	2	O	 
19	9	Y (Y)	6	N	Y	0.8015	1.0000	4	O	 
20	7	Y (Y)	5	N	Y	0.4007	0.8611	2	O	 
21	6	Y (Y)	5	N	Y	0.6825	0.8333	3	O	 
22	5	Y (Y)	6	N	Y	0.5714	0.8611	3	O	 
23	4	Y (Y)	6	N	Y	0.5198	0.8611	3	O	 
24	4	Y (Y)	6	N	Y	0.5039	0.8333	3	O	 
25	3	Y (Y)	6	N	Y	0.5793	0.9444	3	O	 
26	3	Y (Y)	6	N	Y	0.2539	0.7222	2	X	 
27	1	Y (Y)	6	N	Y	0.7063	1.0000	4	X	 
28	1	Y (Y)	6	N	Y	0.5158	0.8333	3	X	 
29	1	Y (Y)	6	N	Y	0.4880	0.8611	2	X	 
30	1	Y (Y)	6	N	Y	0.3015	0.9444	2	X	 
31	1	Y (Y)	5	N	Y	0.7619	0.8333	4	X	 
0	12	N (N)	6	N	Y	0.0000	0.9375	3	O	* 
0	12	N (N)	6	N	Y	0.0000	0.8750	3	O	* 
