Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
KOR3511-01-00	국어의미론	3	한영균	화8,9,목7	외106	35	31	0 (N)	0	0	0	0	O	36	1	35	10.06
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	N (N)	2	Y	Y	0.9555	0.9473	4	O	 
2	19	N (N)	6	Y	Y	0.9703	0.6315	4	O	 
3	18	N (N)	6	Y	Y	0.8222	0.7894	4	O	 
4	17	N (N)	6	N	Y	0.7629	1.0000	4	O	 
5	17	N (N)	6	N	Y	0.7481	1.0000	4	O	 
6	17	N (N)	6	N	Y	0.4666	0.7105	3	O	 
7	17	N (N)	5	Y	Y	0.8888	0.9473	4	O	 
8	16	N (N)	6	N	Y	0.5185	0.9473	3	O	 
9	15	N (N)	6	N	Y	0.2500	0.9375	2	O	 
10	14	N (N)	6	N	Y	0.6592	1.0000	3	O	 
11	12	N (N)	6	Y	Y	0.9126	0.8333	4	O	 
12	12	N (N)	6	N	Y	0.7777	0.9473	4	O	 
13	12	N (N)	6	N	Y	0.6370	0.9473	3	O	 
14	11	N (N)	6	N	Y	0.7629	0.9473	4	O	 
15	11	N (N)	6	N	Y	0.5629	0.3157	3	O	 
16	10	N (N)	6	N	Y	0.7777	0.8947	4	O	 
17	10	N (N)	6	N	Y	0.5703	0.7894	3	O	 
18	9	N (N)	6	N	Y	0.7777	0.9473	4	O	 
19	6	N (N)	6	N	Y	0.7629	0.7894	4	O	 
20	6	N (N)	6	N	Y	0.6888	0.9473	4	O	 
21	5	N (N)	6	N	Y	0.4962	0.9473	3	O	 
22	4	N (N)	6	N	Y	0.6031	1.0000	3	O	 
23	4	N (N)	6	N	Y	0.6031	1.0000	3	O	 
24	3	N (N)	6	N	Y	0.6296	0.7894	4	O	 
25	3	N (N)	6	N	Y	0.5037	0.8947	3	O	 
26	2	N (N)	6	N	Y	0.6825	1.0000	3	O	 
27	2	N (N)	6	N	Y	0.5703	1.0000	3	O	 
28	2	N (N)	6	N	Y	0.5407	0.8157	3	O	 
29	1	N (N)	6	N	Y	0.8518	1.0000	4	O	 
30	1	N (N)	6	N	Y	0.6000	1.0000	4	O	 
31	1	N (N)	6	N	Y	0.5777	0.9736	3	O	 
