Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
KOR3512-01-00	국어음운론	3	한영균	화5,6,목4	위216	35	42	0 (N)	0	0	0	0	O	36	1	36	15.45
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	N	Y	0.3925	0.9736	2	O	 
2	30	Y (Y)	4	N	Y	0.5000	0.9375	3	O	 
3	30	N (N)	6	N	Y	0.5317	1.0000	3	O	 
4	26	Y (N)	6	N	N	1.0000	1.0000	4	O	 
5	24	N (N)	6	N	Y	0.7555	0.9473	4	O	 
6	20	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
7	20	Y (N)	6	N	Y	0.7539	1.0000	3	O	 
8	20	Y (Y)	6	N	Y	0.4851	0.7894	3	O	 
9	19	Y (N)	6	N	Y	0.8015	0.6666	4	O	 
10	19	Y (Y)	6	N	Y	0.4333	0.9736	2	O	 
11	19	Y (N)	6	N	Y	0.4166	0.8611	2	O	 
12	19	Y (Y)	6	N	Y	0.4037	0.9210	2	O	 
13	18	Y (Y)	6	N	Y	0.5185	0.9473	3	O	 
14	18	Y (N)	6	N	Y	0.4007	0.9722	2	O	 
15	18	Y (Y)	6	N	Y	0.2740	0.9210	2	O	 
16	17	Y (Y)	6	N	Y	0.7407	0.9473	4	O	 
17	17	Y (Y)	6	N	Y	0.4259	0.9210	2	O	 
18	17	Y (Y)	6	N	Y	0.4037	0.8157	2	O	 
19	17	N (N)	5	N	Y	0.3849	0.8888	2	O	 
20	16	Y (Y)	6	N	Y	0.7037	1.0000	3	O	 
21	16	Y (Y)	5	N	Y	0.5000	0.9375	3	O	 
22	15	Y (N)	6	N	Y	1.0000	1.0000	4	O	 
23	15	Y (N)	6	N	Y	0.7407	0.7894	4	O	 
24	15	Y (Y)	6	N	Y	0.6814	0.7894	4	O	 
25	15	N (N)	5	N	Y	0.4246	0.9722	2	O	 
26	15	N (N)	4	N	Y	0.6000	0.6315	3	O	 
27	14	Y (Y)	6	N	Y	0.4185	0.9736	2	O	 
28	14	Y (Y)	6	N	Y	0.4000	0.9473	2	O	 
29	14	Y (Y)	5	N	Y	0.5000	0.9375	3	O	 
30	14	N (N)	6	N	Y	0.7063	0.6666	4	O	 
31	12	Y (N)	6	N	Y	0.9206	1.0000	4	O	 
32	12	Y (Y)	6	N	Y	0.3740	0.8157	2	O	 
33	11	N (N)	5	N	Y	0.4285	1.0000	2	O	 
34	10	Y (N)	6	N	Y	1.0000	1.0000	4	O	 
35	10	Y (Y)	6	N	Y	0.6111	0.7894	3	O	 
36	10	Y (Y)	6	N	Y	0.4333	0.9736	2	X	 
37	7	Y (Y)	6	N	Y	0.5851	0.7894	3	X	 
38	3	Y (N)	6	N	Y	0.7071	1.0000	3	X	 
39	2	Y (Y)	6	Y	Y	0.8000	1.0000	4	X	 
40	2	Y (Y)	6	N	Y	0.4000	0.9736	2	X	 
41	2	Y (Y)	6	N	Y	0.4000	0.9473	2	X	 
42	1	N (N)	6	Y	Y	0.9071	1.0000	4	X	 
