Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
LIS4704-01-00	소셜네트워크서비스론	3	전정현	수9,금9,10	위416	40	42	0 (N)	0	0	0	0	O	36	1	36	15.19
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	5	Y	Y	0.9555	0.7894	4	O	 
2	36	Y (N)	3	Y	Y	1.0000	1.0000	4	O	 
3	33	Y (Y)	4	N	Y	0.8666	1.0000	4	O	 
4	30	Y (Y)	6	N	Y	0.3740	0.8157	2	O	 
5	27	Y (Y)	5	N	Y	0.5407	0.8157	3	O	 
6	25	N (N)	3	Y	Y	1.0000	1.0000	4	O	 
7	20	Y (Y)	6	N	Y	0.2296	0.7894	2	O	 
8	18	Y (Y)	6	N	Y	0.6592	0.9473	4	O	 
9	18	Y (Y)	6	N	Y	0.5777	0.6842	4	O	 
10	18	Y (Y)	6	N	Y	0.3925	0.8157	2	O	 
11	17	Y (Y)	6	N	Y	0.6000	0.7894	3	O	 
12	17	Y (Y)	6	N	Y	0.4814	0.8421	3	O	 
13	17	Y (Y)	6	N	Y	0.4222	0.7894	2	O	 
14	16	Y (Y)	6	N	Y	0.8148	0.9473	4	O	 
15	16	Y (Y)	6	N	Y	0.4074	0.9473	2	O	 
16	16	Y (Y)	6	N	Y	0.3888	0.9736	2	O	 
17	16	Y (Y)	5	Y	Y	0.8962	0.7894	4	O	 
18	15	Y (N)	6	N	Y	0.6814	0.9473	3	O	 
19	15	Y (Y)	6	N	Y	0.6148	0.7894	3	O	 
20	15	Y (Y)	6	N	Y	0.6074	0.9473	4	O	 
21	15	Y (Y)	6	N	Y	0.3703	0.8421	2	O	 
22	15	Y (Y)	6	N	Y	0.3703	0.7894	2	O	 
23	15	Y (Y)	5	Y	Y	0.9222	0.7894	4	O	 
24	15	Y (N)	5	Y	Y	0.9111	0.8333	4	O	 
25	14	Y (Y)	6	N	Y	0.7481	0.7894	4	O	 
26	14	Y (Y)	6	N	Y	0.6518	0.7894	3	O	 
27	14	Y (Y)	6	N	Y	0.3629	0.7894	2	O	 
28	13	Y (Y)	6	N	Y	0.4777	0.9736	2	O	 
29	13	Y (Y)	6	N	Y	0.4185	0.8684	2	O	 
30	13	Y (Y)	6	N	Y	0.3925	0.9473	2	O	 
31	12	Y (Y)	6	N	Y	0.4037	0.9736	2	O	 
32	10	Y (Y)	6	N	Y	0.3740	0.8157	2	O	 
33	9	Y (Y)	6	N	Y	0.6518	0.9473	4	O	 
34	9	Y (Y)	6	N	Y	0.4185	0.9736	2	O	 
35	8	Y (Y)	6	N	Y	0.5555	0.9473	3	O	 
36	8	Y (Y)	6	N	Y	0.3851	0.9473	2	O	 
37	7	Y (Y)	6	N	Y	0.8055	0.8421	4	O	 
38	5	N (N)	6	N	Y	0.6746	0.8333	3	O	 
39	4	Y (Y)	6	N	Y	0.6111	0.7894	3	O	 
40	2	N (N)	6	N	Y	0.6746	1.0000	3	O	 
41	1	Y (Y)	6	N	Y	0.9925	0.8421	4	X	 
42	1	N (N)	6	N	Y	0.6468	0.9444	3	X	 
