Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
LSB3101-02-00	생화학(1)	3	이원태,박현우	화6,7,목5	과B133	60	33	0 (N)	0	0	0	0	X	36	1	16	3.79
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	16	N (N)	4	Y	Y	0.9111	0.7894	4	O	 
2	15	Y (Y)	5	N	Y	0.3714	0.7894	2	O	 
3	10	N (N)	6	N	Y	0.5481	0.8421	3	O	 
4	9	Y (Y)	6	N	Y	0.5814	0.8421	3	O	 
5	8	Y (N)	5	N	Y	0.4037	0.8055	2	O	 
6	7	N (N)	6	N	Y	0.6814	0.7368	3	O	 
7	7	N (N)	6	N	Y	0.3962	0.7631	2	O	 
8	6	Y (Y)	6	N	Y	0.4185	0.7631	2	O	 
9	5	N (N)	6	N	Y	0.9407	1.0000	4	O	 
10	5	N (N)	6	N	Y	0.3629	0.6842	2	O	 
11	4	N (N)	6	N	Y	0.9047	1.0000	4	O	 
12	4	N (N)	6	N	Y	0.2964	1.0000	2	O	 
13	3	Y (Y)	6	N	Y	0.4107	0.9210	2	O	 
14	2	Y (Y)	6	N	Y	0.4250	1.0000	2	O	 
15	2	Y (Y)	6	N	Y	0.3928	1.0000	2	O	 
16	2	Y (Y)	6	N	Y	0.3892	0.9736	2	O	 
17	2	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
18	2	Y (Y)	6	N	Y	0.2785	0.9473	2	O	 
19	2	N (N)	6	N	Y	0.4166	1.0000	2	O	 
20	1	Y (Y)	6	N	Y	0.4607	1.0000	2	O	 
21	1	Y (Y)	6	N	Y	0.4535	1.0000	2	O	 
22	1	Y (Y)	6	N	Y	0.4535	1.0000	2	O	 
23	1	Y (Y)	6	N	Y	0.4392	1.0000	2	O	 
24	1	Y (Y)	6	N	Y	0.4250	0.8684	2	O	 
25	1	Y (Y)	6	N	Y	0.4178	1.0000	2	O	 
26	1	Y (Y)	6	N	Y	0.3964	1.0000	2	O	 
27	1	Y (Y)	6	N	Y	0.3964	0.8684	2	O	 
28	1	Y (Y)	6	N	Y	0.3821	0.9210	2	O	 
29	1	Y (Y)	6	N	Y	0.3666	0.6578	2	O	 
30	1	Y (Y)	6	N	Y	0.3629	0.8157	2	O	 
31	1	Y (Y)	5	N	N	0.4333	1.0000	2	O	 
32	1	N (N)	6	N	Y	0.7261	0.8888	3	O	 
33	1	N (N)	6	N	Y	0.6370	0.7368	3	O	 
