Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MAT2016-06-01	공학수학(3)	3	김재우	수5,6,금4(금5)	공A685(공A685)	36	38	36 (Y)	0	0	0	0	O	36	2	23	10.68
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	23	Y (Y)	6	N	Y	0.2357	0.7368	2	O	 
2	20	Y (Y)	6	N	Y	0.4785	0.7894	3	O	 
3	20	Y (Y)	6	N	Y	0.2714	1.0000	2	O	 
4	20	Y (Y)	4	N	N	0.8214	0.9473	4	O	 
5	18	Y (Y)	6	N	Y	0.2642	0.9473	2	O	 
6	17	Y (Y)	6	N	Y	0.5571	0.8421	3	O	 
7	17	Y (Y)	6	N	Y	0.2892	1.0000	2	O	 
8	17	Y (Y)	6	N	Y	0.2142	1.0000	2	O	 
9	16	Y (Y)	5	N	Y	0.2321	0.8157	2	O	 
10	15	Y (Y)	6	N	Y	0.3535	0.8684	2	O	 
11	15	Y (Y)	4	N	Y	0.2428	0.8157	2	O	 
12	14	Y (Y)	5	N	Y	0.4036	0.6842	3	O	 
13	11	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
14	10	Y (Y)	6	Y	Y	0.8500	0.9473	4	O	 
15	10	Y (Y)	6	N	Y	0.4821	0.6578	3	O	 
16	10	Y (Y)	6	N	Y	0.4638	0.8157	3	O	 
17	10	Y (Y)	6	N	Y	0.3000	1.0000	2	O	 
18	10	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
19	10	Y (Y)	6	N	Y	0.2464	0.9736	2	O	 
20	10	Y (Y)	6	N	N	0.4821	1.0000	3	O	 
21	10	Y (Y)	6	N	N	0.4678	0.8157	3	O	 
22	8	Y (Y)	6	Y	Y	1.0000	0.3157	5	O	 
23	8	Y (Y)	6	N	Y	0.6500	0.8421	4	O	 
24	8	Y (Y)	6	N	Y	0.4857	1.0000	3	O	 
25	8	Y (Y)	6	N	Y	0.3142	1.0000	2	O	 
26	8	Y (Y)	6	N	Y	0.2428	0.8157	2	O	 
27	8	Y (Y)	6	N	Y	0.2178	0.7368	2	O	 
28	7	Y (Y)	6	N	Y	0.2714	1.0000	2	O	 
29	7	Y (Y)	6	N	Y	0.2714	0.9473	2	O	 
30	7	Y (Y)	6	N	Y	0.2714	0.9473	2	O	 
31	7	Y (Y)	6	N	Y	0.2571	0.9473	2	O	 
32	6	Y (Y)	6	N	Y	0.4964	0.9736	3	O	 
33	5	Y (Y)	6	N	Y	0.4071	0.9736	2	O	 
34	4	Y (Y)	6	N	Y	0.3524	0.8157	2	O	 
35	4	Y (Y)	6	N	N	0.5178	0.9736	3	O	 
36	3	Y (Y)	6	N	Y	0.5857	1.0000	3	O	 
37	3	Y (Y)	6	N	Y	0.4397	0.9736	3	X	 
38	2	Y (Y)	6	N	Y	0.3000	1.0000	2	X	 
