Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MAT3104-01-00	해석학(1)	3	장통근	화7,목8,9(화10)	과227(과227)	34	28	28 (Y)	0	22	5	7	O	36	1	36	17.21
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	N (N)	6	N	Y	0.4592	0.9473	3	O	 
2	35	N (N)	6	N	N	0.7851	1.0000	4	O	 
3	34	Y (Y)	6	N	Y	0.5714	0.8611	3	O	 
4	33	N (N)	6	N	Y	0.2851	0.9736	2	O	 
5	30	N (N)	6	N	Y	0.5238	1.0000	3	O	 
6	23	Y (Y)	6	N	Y	0.2592	1.0000	2	O	 
7	23	N (N)	6	N	Y	0.6447	0.7916	2	O	 
8	22	Y (Y)	6	N	Y	0.8518	1.0000	4	O	 
9	22	Y (Y)	6	N	Y	0.2296	1.0000	2	O	 
10	22	N (N)	6	Y	Y	0.8650	1.0000	4	O	 
11	22	N (N)	6	N	Y	0.4571	0.7894	3	X	 
12	20	N (N)	6	N	Y	0.5703	1.0000	3	X	 
13	15	Y (Y)	6	N	Y	0.3111	0.5789	3	O	 
14	15	Y (Y)	6	N	Y	0.1111	0.2105	2	O	 
15	15	N (N)	6	N	Y	0.3037	0.8421	2	X	 
16	15	N (N)	6	N	N	1.0000	0.1578	4	X	 
17	14	Y (Y)	6	N	Y	0.3037	0.7631	2	O	 
18	14	Y (Y)	6	N	Y	0.2222	0.5263	2	O	 
19	14	Y (Y)	5	N	N	0.4666	0.7368	3	O	 
20	13	Y (Y)	6	N	Y	0.4222	0.7894	2	O	 
21	13	Y (Y)	6	N	Y	0.2888	1.0000	2	O	 
22	13	Y (Y)	5	N	Y	0.3111	1.0000	2	O	 
23	10	Y (Y)	6	N	N	0.7703	1.0000	4	O	 
24	5	N (N)	6	N	N	0.7063	0.8333	4	X	 
25	1	Y (Y)	6	N	Y	0.8074	1.0000	4	O	 
26	1	Y (Y)	6	N	Y	0.2074	0.6315	2	O	 
27	1	N (N)	6	Y	Y	0.9777	1.0000	4	X	 
28	1	N (N)	6	N	Y	0.4962	0.7894	3	X	 
