Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MED2224-00-00	Imagination & Technology	3	박종철	금7,8,9	의대131호	99	33	0 (N)	0	0	0	0	O	36	1	1	1
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	1	N (N)	6	N	Y	0.9934	0.9791	2	O	 
2	1	N (N)	6	N	Y	0.9013	0.9375	2	O	 
3	1	N (N)	6	N	Y	0.9013	0.8125	2	O	 
4	1	N (N)	6	N	Y	0.8881	1.0000	2	O	 
5	1	N (N)	6	N	Y	0.8881	1.0000	2	O	 
6	1	N (N)	6	N	Y	0.8881	0.7708	2	O	 
7	1	N (N)	6	N	Y	0.8618	0.9375	2	O	 
8	1	N (N)	6	N	Y	0.8618	0.8125	2	O	 
9	1	N (N)	6	N	Y	0.8486	0.7708	2	O	 
10	1	N (N)	6	N	Y	0.8355	0.8541	2	O	 
11	1	N (N)	6	N	Y	0.8223	0.8125	2	O	 
12	1	N (N)	6	N	Y	0.8223	0.6875	2	O	 
13	1	N (N)	6	N	Y	0.8092	0.6458	2	O	 
14	1	N (N)	6	N	Y	0.8026	1.0000	2	O	 
15	1	N (N)	6	N	Y	0.8026	0.7916	2	O	 
16	1	N (N)	6	N	Y	0.7960	0.9791	2	O	 
17	1	N (N)	6	N	Y	0.7960	0.7291	2	O	 
18	1	N (N)	6	N	Y	0.7960	0.7291	2	O	 
19	1	N (N)	6	N	Y	0.7828	0.8125	2	O	 
20	1	N (N)	6	N	Y	0.7828	0.6875	2	O	 
21	1	N (N)	6	N	Y	0.7828	0.6875	2	O	 
22	1	N (N)	6	N	Y	0.7828	0.6875	2	O	 
23	1	N (N)	6	N	Y	0.7631	0.7708	2	O	 
24	1	N (N)	6	N	Y	0.7565	0.7291	2	O	 
25	1	N (N)	5	N	Y	0.8355	0.8541	2	O	 
26	1	N (N)	5	N	Y	0.8223	0.8125	2	O	 
27	1	N (N)	5	N	Y	0.7960	0.7291	2	O	 
28	1	N (N)	4	N	Y	0.8750	0.9791	2	O	 
29	1	N (N)	4	N	Y	0.8486	0.7708	2	O	 
30	1	N (N)	4	N	Y	0.8486	0.6458	2	O	 
31	1	N (N)	4	N	Y	0.8355	0.8541	2	O	 
32	1	N (N)	3	N	Y	0.9539	0.9791	2	O	 
33	1	N (N)	2	N	Y	0.9276	1.0000	2	O	 
