Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MEU2001-03-00	주니어세미나(머신러닝/제어시스템소개및프로그래밍)	1	최종은	목3	공D509	10	33	0 (N)	0	3	4	3	X	36	1	36	15.33
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	36	Y (Y)	6	Y	Y	1.0000	0.9473	4	O	 
2	36	Y (Y)	6	Y	Y	0.9071	1.0000	4	O	 
3	36	Y (Y)	6	Y	Y	0.9071	0.7894	4	O	 
4	36	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
5	36	Y (Y)	5	Y	Y	0.9071	0.7894	4	X	 
6	36	Y (Y)	5	Y	Y	0.9000	0.9473	4	X	 
7	36	Y (Y)	4	Y	Y	0.9857	0.9473	4	X	 
8	36	Y (Y)	4	N	Y	0.8214	0.8947	4	X	 
9	36	Y (Y)	3	Y	Y	0.9500	0.8947	4	X	 
10	25	N (N)	5	N	Y	0.4642	0.9375	2	O	 
11	20	Y (N)	5	Y	Y	0.9259	1.0000	4	X	 
12	19	N (N)	3	Y	Y	0.9703	0.6315	4	X	 
13	18	Y (Y)	6	N	Y	0.7357	0.9473	4	X	 
14	17	Y (N)	4	Y	Y	1.0000	0.9473	4	X	 
15	15	Y (Y)	3	Y	Y	0.9357	0.7894	4	X	 
16	11	Y (Y)	5	N	Y	0.7714	0.9473	4	X	 
17	10	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
18	9	N (N)	6	N	Y	0.6357	0.8947	3	O	 
19	6	Y (Y)	6	Y	Y	0.8714	0.6315	4	X	 
20	6	Y (Y)	6	N	Y	0.6571	1.0000	3	O	 
21	6	Y (Y)	5	N	Y	0.6928	0.9473	3	X	 
22	4	Y (Y)	6	N	Y	0.6714	0.9736	3	X	 
23	4	Y (Y)	6	N	Y	0.6357	1.0000	3	X	 
24	2	Y (Y)	6	Y	Y	0.9785	0.9473	4	X	 
25	2	Y (Y)	6	N	Y	0.8142	0.9473	4	X	 
26	1	Y (Y)	6	Y	Y	0.9000	0.8421	4	X	 
27	1	Y (Y)	6	N	Y	0.8214	0.7368	4	X	 
28	1	Y (Y)	6	N	Y	0.7642	0.9473	4	X	 
29	1	Y (Y)	6	N	Y	0.6785	0.9473	3	X	 
30	1	Y (Y)	6	N	Y	0.6678	0.9473	3	X	 
31	1	Y (Y)	6	N	Y	0.4571	1.0000	3	X	 
32	1	Y (Y)	4	N	Y	0.6571	0.9473	3	X	 
33	1	N (N)	5	Y	Y	0.8928	0.8421	4	X	 
