Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MEU2610-03-00	열역학	3	송순호	화5,6,목5(목4)	공B040(공B040)	75	143	36 (N)	0	0	0	0	O	36	1	34	12.02
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	34	Y (Y)	3	N	Y	0.5000	0.9722	3	O	 
2	30	Y (Y)	3	N	Y	0.2500	0.9722	2	O	 
3	26	N (N)	3	N	Y	0.2500	0.9722	2	O	 
4	24	Y (Y)	5	N	Y	0.2857	1.0000	2	O	 
5	21	N (N)	6	N	Y	0.5037	0.9473	3	O	 
6	20	Y (Y)	6	N	Y	0.3107	0.6842	2	O	 
7	20	Y (Y)	6	N	Y	0.2607	0.9473	2	O	 
8	20	Y (Y)	6	N	N	0.4857	0.9473	3	O	 
9	20	N (N)	6	N	Y	0.1785	0.5833	2	O	 
10	20	N (N)	4	N	Y	0.5000	0.9722	3	O	 
11	19	Y (Y)	5	N	Y	0.2607	0.8684	2	O	 
12	18	Y (Y)	6	N	Y	0.2714	0.9473	2	O	 
13	18	Y (Y)	6	N	N	0.5000	0.8157	3	O	 
14	17	Y (Y)	6	N	N	0.4285	0.4736	3	O	 
15	16	Y (N)	6	N	Y	0.8814	0.7894	4	O	 
16	16	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
17	16	Y (Y)	6	N	Y	0.2571	0.8421	2	O	 
18	16	Y (Y)	5	N	Y	0.2607	0.8684	2	O	 
19	16	N (N)	6	N	Y	0.3892	0.8157	2	O	 
20	15	Y (Y)	6	N	Y	0.6714	0.6315	4	O	 
21	15	Y (Y)	6	N	Y	0.6071	0.2631	3	O	 
22	15	Y (N)	6	N	Y	0.5285	1.0000	3	O	 
23	15	Y (Y)	6	N	Y	0.2642	0.9473	2	O	 
24	15	Y (Y)	6	N	Y	0.2642	0.9473	2	O	 
25	15	Y (Y)	6	N	Y	0.2428	0.7894	2	O	 
26	15	Y (Y)	6	N	N	0.7928	0.9473	4	O	 
27	15	Y (Y)	6	N	N	0.7714	0.7894	4	O	 
28	15	Y (Y)	6	N	N	0.5071	0.6842	3	O	 
29	15	Y (Y)	6	N	N	0.4785	0.7894	3	O	 
30	14	Y (N)	6	N	Y	0.5571	1.0000	3	O	 
31	14	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
32	14	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
33	14	Y (Y)	6	N	Y	0.2785	0.8947	2	O	 
34	14	Y (Y)	6	N	Y	0.2785	0.8947	2	O	 
35	14	Y (Y)	6	N	Y	0.2714	1.0000	2	O	 
36	14	Y (Y)	6	N	Y	0.2714	0.9473	2	O	 
37	14	Y (Y)	6	N	Y	0.2714	0.8684	2	O	 
38	14	Y (Y)	6	N	Y	0.2500	0.7894	2	O	 
39	14	Y (Y)	6	N	N	0.7714	0.7894	4	O	 
40	14	Y (Y)	6	N	N	0.7142	1.0000	4	O	 
41	14	Y (Y)	6	N	N	0.4714	0.9473	3	O	 
42	14	Y (Y)	6	N	N	0.3785	0.6315	3	O	 
43	13	Y (Y)	6	N	Y	0.5500	1.0000	3	O	 
44	13	Y (Y)	6	N	Y	0.5392	0.8157	3	O	 
45	13	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
46	13	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
47	13	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
48	13	Y (Y)	6	N	Y	0.4142	0.7894	3	O	 
49	13	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
50	13	Y (Y)	6	N	N	0.7785	1.0000	4	O	 
51	13	Y (Y)	6	N	N	0.7571	1.0000	4	O	 
52	13	Y (Y)	6	N	N	0.7500	1.0000	4	O	 
