Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MEU2640-02-00	유체역학및실험	3	이창훈	수5,목6,7(수4)	공B040(공B040)	65	69	0 (N)	0	0	0	0	X	36	1	31	9.46
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	31	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
2	24	Y (Y)	6	N	Y	0.5785	0.9473	3	O	 
3	18	Y (Y)	6	N	Y	0.3785	0.6315	3	O	 
4	16	Y (Y)	6	N	N	0.6428	0.6315	4	O	 
5	13	Y (Y)	6	N	Y	0.5892	0.9736	3	O	 
6	13	Y (Y)	6	N	Y	0.5071	0.9473	3	O	 
7	13	Y (Y)	6	N	Y	0.5071	0.9473	3	O	 
8	13	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
9	12	Y (Y)	6	N	Y	0.5500	1.0000	3	O	 
10	12	Y (Y)	6	N	Y	0.5035	0.8684	3	O	 
11	12	Y (Y)	6	N	Y	0.4642	0.7368	3	O	 
12	12	Y (Y)	6	N	Y	0.3857	0.5789	4	O	 
13	11	Y (Y)	6	N	Y	0.5500	1.0000	3	O	 
14	11	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
15	11	Y (Y)	6	N	Y	0.5357	1.0000	3	O	 
16	11	Y (N)	5	N	Y	0.6814	0.9473	4	O	 
17	11	Y (Y)	5	N	Y	0.5714	0.9473	3	O	 
18	10	Y (Y)	6	N	Y	0.7071	0.9473	4	O	 
19	10	Y (Y)	6	N	Y	0.5785	1.0000	3	O	 
20	10	Y (Y)	6	N	Y	0.5500	0.9210	3	O	 
21	10	Y (Y)	6	N	Y	0.5500	0.6842	3	O	 
22	10	Y (Y)	6	N	Y	0.5214	0.7894	3	O	 
23	10	Y (Y)	6	N	Y	0.5178	0.8157	3	O	 
24	10	Y (Y)	6	N	Y	0.5071	0.9473	3	O	 
25	10	Y (Y)	6	N	Y	0.5071	0.8421	3	O	 
26	10	Y (Y)	6	N	Y	0.5071	0.6842	3	O	 
27	10	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
28	10	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
29	10	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
30	10	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
31	10	Y (Y)	6	N	Y	0.4857	0.8421	3	O	 
32	10	Y (Y)	6	N	Y	0.4642	0.7894	3	O	 
33	10	Y (Y)	6	N	Y	0.4571	1.0000	3	O	 
34	10	Y (Y)	6	N	Y	0.4071	0.8421	3	O	 
35	10	Y (Y)	6	N	Y	0.3857	0.6842	3	O	 
36	9	Y (N)	6	N	Y	0.6666	0.6315	3	O	 
37	9	Y (Y)	6	N	Y	0.5285	0.9473	3	O	 
38	9	Y (Y)	6	N	Y	0.5142	1.0000	3	O	 
39	9	Y (Y)	6	N	Y	0.5071	0.9473	3	O	 
40	9	Y (Y)	6	N	Y	0.4714	1.0000	3	O	 
41	9	Y (Y)	6	N	Y	0.4642	0.9473	3	O	 
42	9	Y (Y)	6	N	N	0.7785	1.0000	4	O	 
43	9	Y (Y)	5	Y	N	0.9357	0.9473	4	O	 
44	8	Y (Y)	6	N	Y	0.8785	0.9473	4	O	 
45	8	Y (Y)	6	N	Y	0.5500	1.0000	3	O	 
46	8	Y (Y)	6	N	Y	0.5214	0.9473	3	O	 
47	8	Y (Y)	6	N	Y	0.5214	0.8157	3	O	 
48	8	Y (Y)	6	N	Y	0.5107	0.8157	3	O	 
49	8	Y (Y)	6	N	Y	0.4928	0.9473	3	O	 
50	8	Y (Y)	6	N	Y	0.4714	0.7894	3	O	 
51	8	N (N)	6	N	Y	0.5071	1.0000	3	O	 
52	7	Y (Y)	6	N	Y	0.6071	0.8421	3	O	 
53	7	Y (Y)	6	N	Y	0.5357	0.9473	3	O	 
54	7	Y (Y)	6	N	Y	0.5142	0.9473	3	O	 
55	7	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
56	7	N (N)	5	N	Y	0.5555	0.9473	3	O	 
57	6	Y (N)	6	N	Y	0.8666	0.6842	4	O	 
58	5	Y (Y)	6	N	Y	0.3678	0.6315	3	O	 
59	5	Y (Y)	6	N	Y	0.2928	1.0000	2	O	 
60	3	Y (N)	6	N	Y	0.8214	1.0000	4	O	 
61	3	Y (Y)	6	N	Y	0.8214	0.9473	4	O	 
62	3	Y (Y)	6	N	Y	0.6071	0.9473	3	O	 
63	3	Y (Y)	6	N	N	0.7928	0.8421	4	O	 
64	2	Y (Y)	6	N	Y	0.7214	1.0000	4	X	 
65	2	Y (Y)	6	N	Y	0.5071	0.9473	3	X	 
66	1	Y (Y)	6	N	Y	0.4357	0.7894	3	X	 
67	1	Y (Y)	3	Y	Y	0.8857	0.9473	4	X	 
0	12	Y (Y)	6	N	Y	0.5107	0.8421	3	O	* 
0	12	Y (Y)	6	N	Y	0.8857	0.7894	4	O	* 
