Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MEU3660-02-00	공학재료와거동학	3	강건욱,장용훈	화7,수8,9	공D404	50	51	0 (N)	0	0	0	0	X	36	1	25	6.29
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	25	Y (Y)	6	N	Y	0.5785	0.9210	3	O	 
2	20	Y (N)	2	Y	Y	1.0000	0.9444	4	O	 
3	13	Y (Y)	6	N	Y	0.4571	0.7894	3	O	 
4	11	Y (Y)	6	N	Y	0.3785	0.6315	3	O	 
5	11	Y (Y)	5	N	Y	0.5714	0.9473	3	O	 
6	10	Y (N)	6	N	Y	0.8592	0.9473	4	O	 
7	10	Y (Y)	6	N	Y	0.5928	0.9736	3	O	 
8	10	Y (N)	6	N	Y	0.5357	1.0000	3	O	 
9	10	Y (N)	5	N	Y	0.8650	1.0000	4	O	 
10	8	Y (Y)	6	N	Y	0.7071	0.9473	4	O	 
11	8	Y (Y)	6	N	Y	0.5500	1.0000	3	O	 
12	8	Y (Y)	6	N	Y	0.5428	0.9473	3	O	 
13	8	Y (Y)	6	N	Y	0.4785	0.8421	3	O	 
14	8	Y (Y)	5	N	Y	0.7785	0.9473	4	O	 
15	7	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
16	7	Y (Y)	6	N	Y	0.5392	0.8947	3	O	 
17	7	Y (Y)	6	N	Y	0.5214	0.7894	3	O	 
18	7	Y (Y)	6	N	Y	0.5000	0.9473	3	O	 
19	6	Y (Y)	6	N	Y	0.6785	0.8421	4	O	 
20	6	Y (Y)	6	N	Y	0.5500	0.9736	3	O	 
21	6	Y (Y)	6	N	Y	0.5357	0.9473	3	O	 
22	6	Y (Y)	6	N	Y	0.5214	0.8157	3	O	 
23	6	Y (Y)	5	N	Y	0.8285	1.0000	4	O	 
24	5	Y (Y)	6	N	Y	1.0000	0.9473	4	O	 
25	5	Y (Y)	6	N	Y	0.9785	1.0000	4	O	 
26	5	Y (N)	6	N	Y	0.8250	1.0000	4	O	 
27	5	Y (Y)	6	N	Y	0.7571	0.7894	4	O	 
28	5	Y (Y)	6	N	Y	0.7571	0.7894	4	O	 
29	5	Y (Y)	6	N	Y	0.5500	1.0000	3	O	 
30	5	Y (Y)	6	N	Y	0.5142	1.0000	3	O	 
31	5	Y (Y)	6	N	Y	0.4928	0.9473	3	O	 
32	5	Y (Y)	6	N	Y	0.4714	0.7894	3	O	 
33	5	Y (Y)	6	N	Y	0.4285	0.7894	3	O	 
34	5	Y (Y)	6	N	N	0.9142	0.7894	4	O	 
35	4	Y (Y)	6	N	Y	0.9857	1.0000	4	O	 
36	4	Y (N)	6	N	Y	0.5571	1.0000	3	O	 
37	4	Y (Y)	6	N	Y	0.5285	0.9473	3	O	 
38	4	Y (Y)	6	N	Y	0.5071	0.7894	3	O	 
39	4	Y (Y)	6	N	Y	0.3785	0.6315	3	O	 
40	3	Y (Y)	6	Y	Y	0.8571	0.8421	4	O	 
41	3	Y (Y)	6	N	Y	0.6857	0.6315	4	O	 
42	3	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
43	3	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
44	3	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
45	3	Y (Y)	5	N	Y	0.8000	0.9473	4	O	 
46	3	Y (Y)	5	N	Y	0.7000	0.9473	4	O	 
47	2	Y (Y)	6	N	Y	0.5000	0.9210	3	O	 
48	2	Y (Y)	5	N	Y	0.8071	1.0000	4	O	 
49	1	Y (Y)	6	N	Y	0.7714	1.0000	4	O	 
50	1	Y (Y)	6	N	Y	0.6714	0.8947	4	O	 
51	1	Y (Y)	6	N	Y	0.5071	0.7894	3	X	 
