Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
MSC3001-01-00	마스터클래스	2	이홍석			100	50	0 (N)	0	0	0	0	O	36	1	35	2.92
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	35	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
2	16	Y (Y)	6	N	Y	0.5285	1.0000	3	O	 
3	15	Y (Y)	6	N	Y	0.5535	1.0000	3	O	 
4	15	Y (Y)	6	N	Y	0.5000	0.8421	3	O	 
5	10	Y (Y)	6	N	Y	0.8285	0.9473	4	O	 
6	5	Y (Y)	6	N	Y	0.2642	0.9210	2	O	 
7	4	Y (Y)	6	N	Y	0.9142	0.8421	4	O	 
8	3	Y (Y)	6	N	Y	0.8571	1.0000	4	O	 
9	2	Y (Y)	6	N	Y	0.2571	0.9210	2	O	 
10	1	Y (Y)	6	Y	Y	0.9928	0.6842	4	O	 
11	1	Y (Y)	6	N	Y	0.8785	1.0000	4	O	 
12	1	Y (Y)	6	N	Y	0.8785	1.0000	4	O	 
13	1	Y (Y)	6	N	Y	0.8142	1.0000	4	O	 
14	1	Y (Y)	6	N	Y	0.8071	0.9473	4	O	 
15	1	Y (Y)	6	N	Y	0.8000	1.0000	4	O	 
16	1	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
17	1	Y (Y)	6	N	Y	0.8000	0.9473	4	O	 
18	1	Y (Y)	6	N	Y	0.8000	0.8947	4	O	 
19	1	Y (Y)	6	N	Y	0.7857	0.9473	4	O	 
20	1	Y (Y)	6	N	Y	0.7785	1.0000	4	O	 
21	1	Y (Y)	6	N	Y	0.7785	1.0000	4	O	 
22	1	Y (Y)	6	N	Y	0.7785	0.9473	4	O	 
23	1	Y (Y)	6	N	Y	0.7571	1.0000	4	O	 
24	1	Y (Y)	6	N	Y	0.7571	0.8947	4	O	 
25	1	Y (Y)	6	N	Y	0.7500	1.0000	4	O	 
26	1	Y (Y)	6	N	Y	0.7357	0.9473	4	O	 
27	1	Y (Y)	6	N	Y	0.7214	0.9473	4	O	 
28	1	Y (Y)	6	N	Y	0.6785	0.8421	4	O	 
29	1	Y (Y)	6	N	Y	0.6714	0.9473	3	O	 
30	1	Y (Y)	6	N	Y	0.6357	1.0000	3	O	 
31	1	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
32	1	Y (Y)	6	N	Y	0.5535	1.0000	3	O	 
33	1	Y (Y)	6	N	Y	0.5428	1.0000	3	O	 
34	1	Y (Y)	6	N	Y	0.5392	1.0000	3	O	 
35	1	Y (Y)	6	N	Y	0.5357	0.9736	3	O	 
36	1	Y (Y)	6	N	Y	0.5321	1.0000	3	O	 
37	1	Y (Y)	6	N	Y	0.5321	1.0000	3	O	 
38	1	Y (Y)	6	N	Y	0.5285	1.0000	3	O	 
39	1	Y (Y)	6	N	Y	0.5214	0.9736	3	O	 
40	1	Y (Y)	6	N	Y	0.5178	1.0000	3	O	 
41	1	Y (Y)	6	N	Y	0.5142	0.9736	3	O	 
42	1	Y (Y)	6	N	Y	0.5071	1.0000	3	O	 
43	1	Y (Y)	6	N	Y	0.5071	0.8684	3	O	 
44	1	Y (Y)	6	N	Y	0.2785	1.0000	2	O	 
45	1	Y (Y)	6	N	Y	0.2714	0.9736	2	O	 
46	1	Y (Y)	6	N	Y	0.2714	0.9736	2	O	 
47	1	Y (Y)	6	N	Y	0.2571	0.9473	2	O	 
48	1	Y (Y)	6	N	Y	0.2357	0.9210	2	O	 
49	1	Y (Y)	6	N	Y	0.2107	0.6578	2	O	 
50	1	Y (Y)	4	N	Y	0.7857	0.9473	4	O	 
