Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
POL3830-01-00	미국정치	3	샤틀한스	월1,2,수2	연112	50	38	40 (Y)	0	0	0	0	O	24	1	25	11.05
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	25	Y (Y)	5	N	Y	0.5000	0.8750	3	O	 
2	24	Y (Y)	6	N	Y	0.5714	1.0000	3	O	 
3	24	Y (Y)	6	N	Y	0.3531	0.6944	2	O	 
4	24	Y (Y)	6	N	Y	0.2777	0.9444	2	O	 
5	24	Y (Y)	5	N	Y	0.5000	0.8750	3	O	 
6	24	Y (Y)	4	Y	Y	0.9047	1.0000	4	O	 
7	24	Y (Y)	4	N	Y	0.5000	0.8750	3	O	 
8	24	N (N)	6	N	Y	0.2888	1.0000	2	O	 
9	24	N (N)	4	Y	Y	1.0000	0.5000	4	O	 
10	18	Y (Y)	5	N	Y	0.5000	0.8750	3	O	 
11	18	Y (Y)	4	Y	Y	0.9206	0.8333	4	O	 
12	18	N (N)	6	N	Y	0.4404	1.0000	2	O	 
13	17	Y (Y)	4	N	Y	0.5000	0.8750	3	O	 
14	15	Y (Y)	5	N	Y	0.7500	0.8750	4	O	 
15	12	Y (Y)	6	Y	Y	0.9047	0.8333	4	O	 
16	12	Y (Y)	5	N	Y	0.3849	0.8611	2	O	 
17	11	Y (Y)	6	N	N	0.5436	0.6666	3	O	 
18	10	Y (Y)	6	N	Y	0.5714	0.6666	3	O	 
19	10	N (N)	6	N	Y	0.4325	0.8611	2	O	 
20	9	Y (Y)	6	N	Y	0.7500	0.8750	4	O	 
21	9	Y (Y)	6	N	Y	0.3849	0.8611	2	O	 
22	7	Y (Y)	5	N	N	0.8492	0.6666	4	O	 
23	6	Y (Y)	6	N	Y	0.7936	1.0000	4	O	 
24	6	Y (Y)	6	N	Y	0.5119	0.8611	3	O	 
25	6	N (N)	6	N	N	0.9404	1.0000	4	O	 
26	3	Y (Y)	6	N	Y	0.3769	0.8611	2	O	 
27	3	Y (Y)	6	N	Y	0.2777	1.0000	2	O	 
28	3	Y (Y)	5	N	Y	0.6694	0.9473	3	O	 
29	1	Y (Y)	6	Y	Y	1.0000	1.0000	4	O	 
30	1	Y (Y)	6	N	Y	0.6000	1.0000	3	O	 
31	1	Y (Y)	6	N	Y	0.5952	0.9444	3	O	 
32	1	Y (Y)	6	N	Y	0.4206	1.0000	2	O	 
33	1	Y (Y)	6	N	Y	0.4047	0.8333	2	O	 
34	1	Y (Y)	6	N	Y	0.4007	0.8611	2	O	 
35	1	Y (Y)	6	N	Y	0.3809	0.8333	2	O	 
36	1	Y (Y)	6	N	Y	0.2857	1.0000	2	O	 
37	1	Y (Y)	5	N	Y	0.3849	0.8611	2	O	 
38	1	N (N)	6	N	Y	0.2740	1.0000	2	O	 
