Class_Info
학정번호	과목명	학점	담당교수	강의시간	강의실	정원	참여인원	전공자정원	1학년정원	2학년정원	3학년정원	4학년정원	교환가능여부	최대마일리지	최소값	최대값	평균값
POL3867-01-00	한국정치론	3	진영재	월9,10,수10	상본B109	60	115	40 (N)	0	0	0	0	X	24	1	24	18.32
Mileage_Result
순위	마일리지	전공자여부	신청과목수	졸업신청	초수강여부	총이수/졸업이수	직전학기이수/학기당수강	학년	수강여부	비고
1	24	N (N)	6	N	Y	0.2962	0.3684	3	O	* 
2	24	N (N)	2	N	Y	0.4761	0.2777	4	O	* 
3	24	N (N)	6	Y	Y	0.9920	1.0000	4	O	 
4	24	N (N)	6	Y	Y	0.9333	1.0000	4	O	 
5	24	N (N)	6	Y	Y	0.8571	0.8333	4	O	 
6	24	N (N)	6	N	Y	0.8174	0.6666	4	O	 
7	24	N (N)	6	N	Y	0.8015	0.6666	4	O	 
8	24	N (N)	6	N	Y	0.8000	0.7894	4	O	 
9	24	N (N)	6	N	Y	0.7857	0.5555	4	O	 
10	24	N (N)	6	N	Y	0.7380	0.9444	4	O	 
11	24	N (N)	6	N	Y	0.6746	1.0000	3	O	 
12	24	N (N)	6	N	Y	0.6507	0.6666	3	O	 
13	24	N (N)	6	N	Y	0.6428	1.0000	3	O	 
14	24	N (N)	6	N	Y	0.6222	1.0000	3	O	 
15	24	N (N)	6	N	Y	0.6111	0.5000	3	O	 
16	24	N (N)	6	N	Y	0.5952	0.8611	3	O	 
17	24	N (N)	6	N	Y	0.5813	0.9166	3	O	 
18	24	N (N)	6	N	Y	0.5476	1.0000	3	O	 
19	24	N (N)	6	N	Y	0.5396	0.9722	3	O	 
20	24	N (N)	6	N	Y	0.5238	0.8333	3	O	 
21	24	N (N)	6	N	Y	0.5079	1.0000	3	X	 
22	24	N (N)	6	N	Y	0.5079	1.0000	3	X	 
23	24	N (N)	6	N	Y	0.2539	0.8333	2	X	 
24	24	N (N)	6	N	Y	0.2380	0.7777	2	X	 
25	24	N (N)	6	N	N	0.8015	1.0000	4	X	 
26	24	N (N)	5	Y	Y	0.8888	1.0000	4	X	 
27	24	N (N)	5	N	Y	0.8253	1.0000	4	X	 
28	24	N (N)	5	N	Y	0.6746	1.0000	3	X	 
29	24	N (N)	5	N	Y	0.3492	1.0000	2	X	 
30	24	N (N)	5	N	Y	0.2857	1.0000	2	X	 
31	24	N (N)	4	Y	Y	0.9126	1.0000	4	X	 
32	24	N (N)	4	N	Y	0.7142	1.0000	4	X	 
33	24	N (N)	4	N	Y	0.6444	0.7894	3	X	 
34	24	N (N)	4	N	Y	0.6111	1.0000	3	X	 
35	24	N (N)	4	N	Y	0.5753	0.6666	3	X	 
36	24	N (N)	4	N	Y	0.4365	0.8333	2	X	 
37	24	N (N)	3	Y	N	0.9444	1.0000	4	X	 
38	24	N (N)	3	N	Y	1.0000	1.0000	4	X	 
39	24	N (N)	3	N	N	1.0000	1.0000	4	X	 
40	24	N (N)	1	Y	N	1.0000	1.0000	4	X	 
41	23	N (N)	6	Y	N	0.9126	0.8333	4	X	 
42	23	N (N)	6	N	Y	0.7777	1.0000	4	X	 
43	23	N (N)	6	N	Y	0.7481	0.9473	4	X	 
44	23	N (N)	6	N	Y	0.3412	0.8333	2	X	 
45	23	N (N)	6	N	Y	0.2738	1.0000	2	X	 
46	23	N (N)	4	Y	N	1.0000	0.6666	4	X	 
47	22	N (N)	5	N	Y	0.7519	0.8333	4	X	* 
48	22	N (N)	6	Y	Y	0.9111	0.9473	4	X	 
49	22	N (N)	6	N	Y	0.7185	1.0000	3	X	 
50	22	N (N)	6	N	Y	0.6984	1.0000	4	X	 
51	22	N (N)	6	N	Y	0.4761	0.8333	3	X	 
52	22	N (N)	6	N	Y	0.4365	0.8333	3	X	 
53	22	N (N)	6	N	Y	0.4285	0.5000	3	X	 
54	22	N (N)	6	N	Y	0.2539	0.7222	2	X	 
55	22	N (N)	5	N	Y	0.4841	0.8611	3	X	 
56	21	N (N)	6	Y	Y	0.8571	1.0000	4	X	 
57	21	N (N)	6	N	Y	0.2936	1.0000	2	X	 
58	21	N (N)	6	N	N	0.6031	0.7222	3	X	 
59	21	N (N)	4	Y	Y	0.9407	0.7368	4	X	 
60	20	N (N)	6	N	Y	0.7936	1.0000	4	X	 
61	20	N (N)	6	N	Y	0.6031	0.9166	3	X	 
62	20	N (N)	6	N	Y	0.5634	1.0000	3	X	 
63	20	N (N)	6	N	Y	0.5396	1.0000	3	X	 
64	20	N (N)	6	N	Y	0.5238	0.8055	3	X	 
65	20	N (N)	6	N	Y	0.5000	0.8333	3	X	 
66	20	N (N)	6	N	Y	0.3650	0.8333	2	X	 
67	20	N (N)	3	N	Y	0.2857	1.0000	2	X	 
68	19	N (N)	4	N	N	0.9841	1.0000	4	X	 
69	18	N (N)	6	N	Y	0.8666	0.6315	4	X	 
70	18	N (N)	6	N	Y	0.7222	0.7222	4	X	 
71	18	N (N)	6	N	Y	0.5000	0.8750	3	X	 
72	18	N (N)	6	N	Y	0.4365	1.0000	2	X	 
73	18	N (N)	5	N	Y	0.8809	1.0000	4	X	 
74	17	N (N)	6	N	Y	0.8657	0.9473	4	X	 
75	17	N (N)	6	N	Y	0.5714	0.8333	3	X	 
76	17	N (N)	4	Y	Y	0.9523	0.6666	4	X	 
77	16	N (N)	6	N	Y	0.9841	1.0000	4	X	 
78	16	N (N)	6	N	Y	0.6031	0.8333	3	X	 
79	16	N (N)	6	N	Y	0.5396	0.8333	3	X	 
80	16	N (N)	5	N	Y	0.5952	1.0000	3	X	 
81	16	N (N)	5	N	Y	0.5000	0.8750	3	X	 
82	15	N (N)	6	N	Y	0.5317	1.0000	3	X	 
83	15	N (N)	6	N	Y	0.2857	1.0000	2	X	 
84	14	N (N)	6	N	Y	0.7481	1.0000	4	X	 
85	14	N (N)	6	N	Y	0.6031	1.0000	3	X	 
86	14	N (N)	6	N	Y	0.2698	0.9444	2	X	 
87	14	N (N)	5	N	Y	0.8015	0.8888	4	X	 
88	13	N (N)	6	N	Y	0.8174	1.0000	4	X	 
89	13	N (N)	6	N	Y	0.7481	0.6315	4	X	 
90	13	N (N)	6	N	Y	0.2103	0.3888	2	X	 
91	12	N (N)	6	N	Y	0.7857	0.6666	4	X	 
92	12	N (N)	6	N	Y	0.6746	1.0000	3	X	 
93	12	N (N)	6	N	Y	0.5000	0.6944	3	X	 
94	12	N (N)	6	N	Y	0.2936	1.0000	2	X	 
95	12	N (N)	6	N	N	0.5317	1.0000	3	X	 
96	12	N (N)	4	Y	Y	0.9206	1.0000	4	X	 
97	11	N (N)	6	Y	Y	0.8666	0.9473	4	X	 
98	11	N (N)	6	N	Y	0.6984	1.0000	3	X	 
99	10	N (N)	6	N	Y	0.9365	0.9444	4	X	 
